# File: R_PRES_2.DAT
# NOTE: Downsampled for only regions of interest (around 675 mm)
#
# Case: AG2/1000
#
# ----------------------------------------------------------------------
#    Pressure distributions at the wall for different xA.
# -----------------------------------------------------------------------
#
#       1.11 :Fluid density [kg/m**3]
#   1.65E-05 :Kinematic viscosity [m**2/s]
#
# A: x [mm]
# B: cp [-] (smoothed spline interpolation)
# C: U/UD calculated from cp by the equation of Bernoulli
# D: cp [-] (measured)
#
#    A         B         C         D

      -100. :xA [mm]
 ***************************************
  650.0   -0.0611    1.0301   -0.0610
  655.0   -0.0618    1.0304
  660.0   -0.0624    1.0307
  665.0   -0.0629    1.0310
  670.0   -0.0633    1.0312
  675.0   -0.0634    1.0312   -0.0637
  680.0   -0.0633    1.0312
  685.0   -0.0629    1.0310
  690.0   -0.0624    1.0307
  695.0   -0.0616    1.0303
  700.0   -0.0606    1.0299   -0.0600

         0. :xA [mm]
 ***************************************
  650.0   -0.0072    1.0036   -0.0085
  655.0    0.0044    0.9978
  660.0    0.0178    0.9911
  665.0    0.0329    0.9834
  670.0    0.0496    0.9749
  675.0    0.0679    0.9655    0.0667
  680.0    0.0876    0.9552
  685.0    0.1083    0.9443
  690.0    0.1297    0.9329
  695.0    0.1515    0.9211
  700.0    0.1732    0.9093    0.1737

        50. :xA [mm]
 ***************************************
  650.0    0.1830    0.9039    0.1836
  655.0    0.2040    0.8922
  660.0    0.2244    0.8807
  665.0    0.2437    0.8697
  670.0    0.2619    0.8591
  675.0    0.2788    0.8492    0.2800
  680.0    0.2941    0.8402
  685.0    0.3079    0.8319
  690.0    0.3203    0.8244
  695.0    0.3313    0.8177
  700.0    0.3410    0.8118    0.3413

       100. :xA [mm]
 ***************************************
  650.0    0.3525    0.8047    0.3526
  655.0    0.3606    0.7996
  660.0    0.3676    0.7952
  665.0    0.3737    0.7914
  670.0    0.3789    0.7881
  675.0    0.3836    0.7851    0.3833
  680.0    0.3877    0.7825
  685.0    0.3914    0.7801
  690.0    0.3947    0.7780
  695.0    0.3977    0.7761
  700.0    0.4005    0.7743    0.4003

       200. :xA [mm]
 ***************************************
  650.0    0.4400    0.7483    0.4400
  655.0    0.4414    0.7474
  660.0    0.4428    0.7465
  665.0    0.4441    0.7456
  670.0    0.4454    0.7447
  675.0    0.4466    0.7439    0.4466
  680.0    0.4478    0.7431
  685.0    0.4489    0.7424
  690.0    0.4499    0.7417
  695.0    0.4509    0.7410
  700.0    0.4519    0.7403    0.4519

       300. :xA [mm]
 ***************************************
  650.0    0.4853    0.7174    0.4854
  655.0    0.4861    0.7169
  660.0    0.4869    0.7163
  665.0    0.4876    0.7158
  670.0    0.4883    0.7153
  675.0    0.4890    0.7148    0.4890
  680.0    0.4897    0.7144
  685.0    0.4904    0.7139
  690.0    0.4910    0.7134
  695.0    0.4916    0.7130
  700.0    0.4922    0.7126    0.4922
