station,y,u
-4,1.1,0.657
-4,1.15,0.696
-4,1.2,0.719
-4,1.3,0.76
-4,1.4,0.79
-4,1.5,0.818
-4,1.7,0.87
-4,2.0,0.926
-4,2.4,0.982
-4,2.8,1.003
-4,3.2,1.003
-4,3.6,1.0
-4,4.0,1.001
-4,5.0,1.001
-4,6.0,1.0
-4,7.5,1.001
-4,8.2,0.943
1,0.1,-0.008
1,0.15,-0.017
1,0.2,-0.027
1,0.3,-0.035
1,0.4,-0.035
1,0.5,-0.035
1,0.6,-0.027
1,0.7,-0.005
1,0.8,0.081
1,0.9,0.292
1,1.0,0.519
1,1.1,0.704
1,1.15,0.74
1,1.2,0.762
1,1.3,0.793
1,1.4,0.827
1,1.5,0.851
1,1.7,0.891
1,2.0,0.942
1,2.4,0.99
1,2.8,1.009
1,3.2,1.003
1,3.6,1.002
1,4.0,1.0
1,5.0,0.997
1,6.0,0.994
1,7.5,0.993
1,8.2,0.919
4,0.1,-0.171
4,0.15,-0.154
4,0.2,-0.134
4,0.3,-0.057
4,0.4,0.052
4,0.5,0.169
4,0.6,0.279
4,0.7,0.381
4,0.8,0.473
4,0.9,0.568
4,1.0,0.656
4,1.1,0.73
4,1.15,0.754
4,1.2,0.778
4,1.3,0.811
4,1.4,0.835
4,1.5,0.856
4,1.7,0.895
4,2.0,0.94
4,2.4,0.978
4,2.8,0.986
4,3.2,0.984
4,3.6,0.985
4,4.0,0.985
4,5.0,0.983
4,6.0,0.98
4,7.5,0.98
4,8.2,0.892
6,0.1,0.147
6,0.15,0.169
6,0.2,0.188
6,0.3,0.248
6,0.4,0.306
6,0.5,0.369
6,0.6,0.435
6,0.7,0.501
6,0.8,0.569
6,0.9,0.632
6,1.0,0.686
6,1.1,0.73
6,1.15,0.747
6,1.2,0.763
6,1.3,0.794
6,1.4,0.815
6,1.5,0.834
6,1.7,0.869
6,2.0,0.915
6,2.4,0.949
6,2.8,0.954
6,3.2,0.956
6,3.6,0.959
6,4.0,0.961
6,5.0,0.963
6,6.0,0.965
6,7.5,0.969
6,8.2,0.87
10,0.1,0.418
10,0.15,0.433
10,0.2,0.447
10,0.3,0.471
10,0.4,0.496
10,0.5,0.526
10,0.6,0.56
10,0.7,0.596
10,0.8,0.638
10,0.9,0.676
10,1.0,0.712
10,1.1,0.745
10,1.15,0.758
10,1.2,0.772
10,1.3,0.798
10,1.4,0.819
10,1.5,0.839
10,1.7,0.871
10,2.0,0.908
10,2.4,0.929
10,2.8,0.933
10,3.2,0.937
10,3.6,0.939
10,4.0,0.94
10,5.0,0.944
10,6.0,0.947
10,7.5,0.949
10,8.2,0.827
