# Driver and Seegmiller backstep, roof angles 0 and 6 deg.
# AIAA J. vol. 23, pp. 163-171, 1985
  6 17
             TABLE C. 5           CASE R.ST0      Station=  1
             X/H=  -4.0      Tunnel Run#=  57   Ue/Uref=   1.000      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
           13  1.10  0.657  0.000  5.16  2.70 -1.02  -0.18 -0.14  0.12  0.22
           14  1.15  0.696  0.000  5.26  2.19 -1.01  -0.29 -0.12  0.11  0.22
           15  1.20  0.719  0.001  4.67  2.23 -1.07  -0.36 -0.13  0.19  0.16
           16  1.30  0.760  0.000  3.86  2.32 -1.07  -0.36 -0.17  0.18  0.14
           17  1.40  0.790  0.001  3.49  2.10 -0.97  -0.17 -0.03  0.02  0.07
           18  1.50  0.818 -0.001  3.06  2.05 -0.92  -0.15 -0.12  0.11  0.13
           19  1.70  0.870  0.000  2.58  1.64 -0.71  -0.25 -0.13  0.14  0.13
           20  2.00  0.926  0.000  1.80  1.18 -0.44  -0.23 -0.10  0.10  0.11
           21  2.40  0.982  0.003  0.86  0.63 -0.10  -0.12 -0.06  0.05  0.04
           22  2.80  1.003  0.007  0.42  0.32  0.02   0.02  0.01  0.00  0.00
           23  3.20  1.003  0.006  0.39  0.30  0.03   0.03  0.02  0.00  0.01
           24  3.60  1.000  0.006  0.37  0.28  0.04   0.02  0.01  0.00  0.00
           25  4.00  1.001  0.003  0.37  0.28  0.03   0.02  0.01 -0.01  0.00
           26  5.00  1.001  0.000  0.37  0.27  0.03   0.02  0.01 -0.01  0.00
           27  6.00  1.000 -0.004  0.36  0.26  0.04   0.01  0.01 -0.01  0.00
           28  7.50  1.001 -0.006  0.37  0.28  0.04   0.02  0.01  0.00  0.00
           29  8.20  0.943  0.002  1.60  1.28  0.46  -0.28 -0.17 -0.13 -0.08

  6 17
             TABLE C. 5  (cont.)  CASE R.ST0      Station=  2
             X/H=  -2.0      Tunnel Run#=  56   Ue/Uref=   1.007      Date=1501.81  Time=12.00
             Parallel  Wall case, alpha=0 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
           13  1.10  0.674 -0.001  5.16  2.46 -1.03  -0.24 -0.13  0.07  0.23
           14  1.15  0.704 -0.001  4.77  2.41 -0.88  -0.16 -0.12  0.08  0.06
           15  1.20  0.733 -0.001  4.70  2.34 -0.93  -0.29 -0.11  0.14  0.11
           16  1.30  0.777 -0.003  4.40  2.08 -0.92  -0.37 -0.10  0.09  0.16
           17  1.40  0.807 -0.004  3.88  1.94 -0.80  -0.28 -0.09  0.13  0.14
           18  1.50  0.831 -0.005  3.62  1.83 -0.80  -0.33 -0.12  0.09  0.15
           19  1.70  0.873 -0.003  2.95  1.60 -0.55  -0.32 -0.10  0.11  0.15
           20  2.00  0.930 -0.003  2.23  1.24 -0.35  -0.24 -0.10  0.13  0.15
