# Driver and Seegmiller backstep, roof angles 0 and 6 deg.
# AIAA J. vol. 23, pp. 163-171, 1985
  6 15
             TABLE C. 6           CASE R.ST6      Station=  1
             X/H=  -4.0      Tunnel Run#=  12   Ue/Uref=   1.000      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
           13  1.10  0.661 -0.005  6.32  1.92 -1.15  -0.07 -0.09  0.09  0.13
           14  1.15  0.694 -0.003  5.95  1.91 -1.18  -0.25 -0.08  0.11  0.07
           15  1.20  0.722 -0.003  5.55  1.96 -1.21  -0.52 -0.09  0.16  0.11
           16  1.30  0.766 -0.003  4.86  1.85 -1.15  -0.68 -0.13  0.21  0.12
           17  1.40  0.802 -0.004  4.30  1.74 -1.06  -0.71 -0.14  0.21  0.15
           18  1.50  0.829 -0.003  3.84  1.66 -0.99  -0.61 -0.16  0.23  0.16
           19  1.70  0.881 -0.004  2.92  1.33 -0.70  -0.58 -0.15  0.23  0.17
           20  2.00  0.942 -0.003  1.68  0.83 -0.31  -0.39 -0.12  0.16  0.11
           21  2.40  0.989 -0.001  0.56  0.37  0.07  -0.04 -0.02  0.03  0.03
           22  2.80  0.996  0.002  0.38  0.25  0.11   0.02  0.01  0.00  0.01
           23  3.20  0.997  0.003  0.38  0.23  0.11   0.04  0.01  0.00  0.00
           24  3.60  0.998  0.003  0.39  0.23  0.10   0.05  0.01  0.01  0.01
           25  4.00  0.998  0.003  0.33  0.21  0.08   0.02  0.01  0.00  0.00
           26  5.00  1.000  0.001  0.32  0.21  0.10   0.01  0.00  0.00  0.00
           27  6.00  1.000  0.001  0.32  0.21  0.10   0.01  0.00  0.00  0.00

  6 16
             TABLE C. 6  (cont.)  CASE R.ST6      Station=  2
             X/H=  -2.0      Tunnel Run#=  13   Ue/Uref=   1.007      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
           13  1.10  0.644 -0.006  6.59  2.11 -1.07  -0.27 -0.11  0.09  0.12
           14  1.15  0.684 -0.001  6.05  1.98 -1.08  -0.29 -0.08  0.12  0.08
           15  1.20  0.711 -0.001  5.67  2.00 -1.25  -0.38 -0.10  0.17  0.11
           16  1.30  0.757 -0.002  5.07  1.92 -1.16  -0.50 -0.10  0.20  0.13
           17  1.40  0.792 -0.002  4.45  1.78 -1.09  -0.59 -0.13  0.19  0.15
           18  1.50  0.818 -0.004  3.98  1.68 -0.92  -0.62 -0.14  0.17  0.15
           19  1.70  0.873 -0.003  2.98  1.33 -0.71  -0.59 -0.15  0.21  0.14
           20  2.00  0.934 -0.002  1.93  0.89 -0.34  -0.45 -0.13  0.16  0.12
           21  2.40  0.986  0.002  0.65  0.41  0.03  -0.08 -0.02  0.03  0.04
           22  2.80  0.996  0.004  0.40  0.25  0.09   0.03  0.01  0.00  0.01
           23  3.20  0.997  0.007  0.44  0.24  0.11   0.07  0.02  0.01  0.00
           24  3.60  0.998  0.007  0.43  0.23  0.09   0.06  0.02  0.00  0.00
           25  4.00  0.998  0.007  0.39  0.22  0.09   0.03  0.01  0.00  0.00
           26  5.00  1.002  0.007  0.37  0.22  0.09   0.03  0.00  0.00  0.00
           27  6.00  1.007  0.008  0.38  0.23  0.10   0.03  0.01  0.01  0.01
           28  8.00  1.008  0.002  0.70  0.49  0.20  -0.12 -0.03 -0.04 -0.03

  6 16
             TABLE C. 6  (cont.)  CASE R.ST6      Station=  3
             X/H=  -1.0      Tunnel Run#=  14   Ue/Uref=   1.006      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
           13  1.10  0.651 -0.006  6.39  1.93 -1.11  -0.09 -0.11  0.16  0.09
           14  1.15  0.687 -0.002  6.00  2.01 -1.13  -0.27 -0.11  0.21  0.13
           15  1.20  0.712 -0.002  5.69  2.00 -1.16  -0.37 -0.08  0.13  0.07
           16  1.30  0.755 -0.002  5.09  1.91 -1.11  -0.42 -0.13  0.18  0.15
           17  1.40  0.791 -0.003  4.47  1.86 -1.07  -0.67 -0.14  0.21  0.16
           18  1.50  0.821 -0.002  4.14  1.68 -0.98  -0.68 -0.16  0.24  0.14
           19  1.70  0.872 -0.002  3.17  1.38 -0.74  -0.64 -0.15  0.21  0.13
           20  2.00  0.933 -0.001  1.97  0.93 -0.37  -0.45 -0.12  0.15  0.12
           21  2.40  0.983  0.003  0.75  0.45  0.01  -0.11 -0.03  0.04  0.03
           22  2.80  0.994  0.005  0.45  0.29  0.09   0.02  0.00 -0.01  0.00
           23  3.20  0.996  0.008  0.44  0.24  0.11   0.07  0.01  0.01  0.01
           24  3.60  0.996  0.009  0.44  0.23  0.10   0.07  0.01  0.01  0.00
           25  4.00  0.997  0.010  0.40  0.22  0.10   0.04  0.01  0.00  0.00
           26  5.00  1.000  0.011  0.38  0.22  0.09   0.02  0.01  0.00  0.00
           27  6.00  1.006  0.013  0.38  0.22  0.11   0.01  0.00  0.00  0.00
           28  8.00  1.017  0.012  0.87  0.57  0.17  -0.16 -0.04 -0.05 -0.05

  6 16
             TABLE C. 6  (cont.)  CASE R.ST6      Station=  4
             X/H=   0.0      Tunnel Run#=  15   Ue/Uref=   1.004      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
           13  1.10  0.638 -0.005  6.62  2.31 -0.75  -0.10 -0.16  0.09  0.13
           14  1.15  0.675 -0.005  6.35  2.14 -1.00  -0.38 -0.06  0.11  0.08
           15  1.20  0.701 -0.005  5.86  1.98 -1.22  -0.14 -0.07  0.10  0.11
           16  1.30  0.745 -0.004  5.30  1.94 -1.19  -0.42 -0.13  0.20  0.10
           17  1.40  0.782 -0.003  4.61  1.85 -1.10  -0.54 -0.14  0.21  0.14
           18  1.50  0.813 -0.003  4.06  1.70 -0.96  -0.66 -0.15  0.23  0.16
           19  1.70  0.865 -0.004  3.22  1.45 -0.79  -0.70 -0.18  0.25  0.17
           20  2.00  0.927 -0.002  2.10  0.97 -0.38  -0.48 -0.13  0.18  0.13
           21  2.40  0.979  0.003  0.76  0.42 -0.03  -0.12 -0.04  0.06  0.04
           22  2.80  0.993  0.006  0.41  0.26  0.07   0.03  0.01  0.00  0.00
           23  3.20  0.995  0.009  0.39  0.23  0.09   0.03  0.01  0.01  0.00
           24  3.60  0.995  0.010  0.39  0.22  0.07   0.04  0.01  0.00  0.00
           25  4.00  0.995  0.011  0.36  0.21  0.08   0.03  0.01  0.00  0.00
           26  5.00  0.998  0.014  0.32  0.19  0.07   0.02  0.01  0.00  0.00
           27  6.00  1.004  0.020  0.30  0.17  0.07   0.02  0.01  0.00  0.00
           28  8.00  1.020  0.033  0.78  0.53  0.14  -0.12 -0.04 -0.04 -0.04

  6 18
             TABLE C. 6  (cont.)  CASE R.ST6      Station=  5
             X/H=   1.0      Tunnel Run#=  16   Ue/Uref=   0.994      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
           10  0.80  0.057 -0.010  7.70  5.41 -2.38   4.57  2.19 -2.28 -3.02
           11  0.90  0.231 -0.020 13.84  9.26 -5.64   2.22  1.09 -1.59 -2.08
           12  1.00  0.418 -0.022 17.25  8.73 -5.91  -2.07 -1.58  1.66  1.48
           13  1.10  0.619 -0.008 11.47  4.49 -2.70  -5.69 -1.94  2.43  1.71
           14  1.15  0.673 -0.004  7.55  3.19 -1.54  -1.78 -0.57  0.64  0.75
           15  1.20  0.705 -0.006  6.44  3.21 -1.13  -0.47 -0.13  0.12  0.22
           16  1.30  0.749 -0.006  5.54  2.78 -1.03  -0.52 -0.10  0.05  0.12
           17  1.40  0.779 -0.003  4.84  2.35 -1.04  -0.67 -0.13  0.13  0.08
           18  1.50  0.810 -0.004  4.32  2.16 -0.98  -0.64 -0.17  0.15  0.16
           19  1.70  0.861 -0.004  3.35  1.78 -0.70  -0.49 -0.13  0.21  0.13
           20  2.00  0.920 -0.003  2.36  1.34 -0.32  -0.37 -0.13  0.14  0.08
           21  2.40  0.975  0.001  1.07  0.73 -0.01  -0.15 -0.03  0.04  0.03
           22  2.80  0.988  0.004  0.55  0.41  0.07   0.04  0.02  0.00  0.00
           23  3.20  0.990  0.007  0.53  0.40  0.08   0.04  0.03  0.00  0.00
           24  3.60  0.989  0.009  0.51  0.37  0.10   0.06  0.02  0.00  0.00
           25  4.00  0.990  0.012  0.47  0.32  0.12   0.04  0.02  0.00  0.00
           26  5.00  0.991  0.016  0.44  0.32  0.12   0.03  0.02  0.00  0.00
           27  6.00  0.994  0.025  0.35  0.26  0.12   0.02  0.02  0.01  0.02

  6 22
             TABLE C. 6  (cont.)  CASE R.ST6      Station=  6
             X/H=   1.5      Tunnel Run#=  17   Ue/Uref=   0.993      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            7  0.50 -0.022  0.013  4.96  2.65 -0.22  -1.57 -0.21  0.47  0.33
            8  0.60 -0.010  0.010  5.07  3.06 -0.49  -0.61  0.05  0.10 -0.21
            9  0.70  0.029  0.005  8.22  5.34 -1.60   3.76  2.03 -1.50 -1.82
           10  0.80  0.131 -0.007 13.72  9.25 -5.00   1.76  2.31 -2.67 -3.33
           11  0.90  0.281 -0.025 15.21 11.10 -6.60   0.02  0.21  0.10 -1.23
           12  1.00  0.435 -0.025 15.50  9.91 -5.90  -1.93 -2.13  2.35  1.73
           13  1.10  0.592 -0.012 12.94  6.75 -3.67  -6.58 -3.06  3.29  2.60
           14  1.15  0.649 -0.007  9.83  5.06 -2.64  -5.13 -2.13  2.21  1.99
           15  1.20  0.688 -0.002  7.43  3.94 -1.76  -2.19 -1.02  1.06  1.08
           16  1.30  0.743 -0.002  5.14  2.80 -1.29  -0.74 -0.25  0.26  0.33
           17  1.40  0.777 -0.002  4.44  2.46 -1.15  -0.46 -0.17  0.14  0.19
           18  1.50  0.808 -0.002  3.86  2.26 -1.02  -0.56 -0.15  0.20  0.14
           19  1.70  0.859 -0.003  3.17  1.78 -0.83  -0.57 -0.18  0.25  0.16
           20  2.00  0.919 -0.002  2.09  1.34 -0.47  -0.39 -0.14  0.19  0.14
           21  2.40  0.974  0.002  0.98  0.70 -0.05  -0.10 -0.03  0.05  0.04
           22  2.80  0.990  0.004  0.57  0.45  0.08   0.06  0.03  0.01  0.01
           23  3.20  0.991  0.007  0.57  0.44  0.08   0.06  0.02  0.00 -0.01
           24  3.60  0.990  0.009  0.56  0.45  0.08   0.06  0.04  0.00  0.00
           25  4.00  0.990  0.011  0.57  0.45  0.10   0.07  0.05  0.01  0.01
           26  5.00  0.988  0.015  0.56  0.46  0.12   0.03  0.03  0.01  0.01
           27  6.00  0.993  0.025  0.53  0.42  0.10   0.03  0.02  0.00  0.00
           28  8.00  1.001  0.053  0.64  0.52  0.13  -0.02  0.00 -0.01 -0.01

  6 27
             TABLE C. 6  (cont.)  CASE R.ST6      Station=  7
             X/H=   2.0      Tunnel Run#=  18   Ue/Uref=   0.984      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10 -0.080  0.005  6.28  2.47 -0.20   0.49  0.01 -0.03  0.07
            3  0.15 -0.085  0.009  6.28  2.94  0.11   0.82  0.01  0.01 -0.02
            4  0.20 -0.088  0.015  6.23  3.26 -0.13   0.87  0.12  0.02 -0.03
            5  0.30 -0.084  0.021  6.39  3.73 -0.27   0.35  0.14 -0.14 -0.11
            6  0.40 -0.072  0.025  6.94  4.11 -0.44   0.41  0.25 -0.02 -0.16
            7  0.50 -0.039  0.021  8.14  4.95 -1.17   0.36  0.65 -0.58 -0.68
            8  0.60  0.009  0.013 11.10  6.56 -2.80   1.33  1.60 -1.83 -2.51
            9  0.70  0.099 -0.005 14.33  9.38 -4.47   1.25  1.75 -2.17 -2.91
           10  0.80  0.208 -0.021 15.12 10.85 -5.67  -1.15 -0.11 -0.11 -1.73
           11  0.90  0.329 -0.027 15.53 11.17 -6.10  -0.81 -0.57  0.86 -0.74
           12  1.00  0.477 -0.033 15.33  9.81 -5.07  -2.36 -1.81  1.99  1.69
           13  1.10  0.583 -0.018 13.70  7.50 -4.22  -6.42 -3.07  3.65  2.79
           14  1.15  0.630 -0.013 11.39  6.14 -3.23  -5.26 -2.35  2.74  2.11
           15  1.20  0.677 -0.008  9.07  4.78 -2.24  -4.10 -1.63  1.82  1.42
           16  1.30  0.734 -0.004  5.86  3.25 -1.29  -1.18 -0.48  0.52  0.54
           17  1.40  0.773 -0.006  4.65  2.68 -1.04  -0.55 -0.19  0.22  0.19
           18  1.50  0.807 -0.006  4.16  2.30 -0.91  -0.50 -0.16  0.15  0.20
           19  1.70  0.860 -0.007  3.28  1.86 -0.76  -0.49 -0.17  0.19  0.18
           20  2.00  0.917 -0.006  2.23  1.32 -0.43  -0.41 -0.13  0.17  0.14
           21  2.40  0.972 -0.003  1.01  0.75 -0.01  -0.11 -0.03  0.03  0.04
           22  2.80  0.985 -0.001  0.66  0.56  0.08   0.02  0.01  0.00  0.00
           23  3.20  0.984  0.002  0.68  0.56  0.13   0.02  0.01 -0.01  0.00
           24  3.60  0.983  0.005  0.67  0.55  0.14   0.03  0.01 -0.01 -0.01
           25  4.00  0.984  0.007  0.63  0.51  0.10   0.03  0.02  0.00  0.00
           26  5.00  0.983  0.014  0.61  0.50  0.10   0.03  0.02  0.00  0.00
           27  6.00  0.984  0.023  0.66  0.53  0.13   0.02  0.01 -0.01  0.00
           28  8.00  0.991  0.051  0.70  0.63  0.12  -0.01 -0.01 -0.01 -0.01

  6 26
             TABLE C. 6  (cont.)  CASE R.ST6      Station=  8
             X/H=   3.0      Tunnel Run#=  19   Ue/Uref=   0.974      Date=1501.81  Time=12.00
             Diverging Wall case, alpha=6 deg.

                                    (1000/Ur^2) x     ...(10000/Ur^3) x ...
           LR   Y/H   U/Ur   V/Ur   uu    vv    uv    uuu   uvv   vuu   vvv
            2  0.10 -0.150  0.000  6.86  4.39 -0.85   1.10  0.55 -0.51 -0.86
            3  0.15 -0.146  0.003  7.06  4.92 -0.79   1.69  0.99 -0.92 -1.18
            4  0.20 -0.136  0.002  8.21  5.91 -1.24   2.46  1.16 -1.19 -1.71
            5  0.30 -0.110  0.001 10.24  7.18 -1.99   4.60  2.05 -2.10 -1.96
            6  0.40 -0.072 -0.001 13.87  9.41 -3.44   6.25  2.89 -2.69 -3.22
            7  0.50 -0.005 -0.009 18.72 11.52 -5.20   6.17  3.03 -2.94 -3.93
            8  0.60  0.083 -0.016 21.73 13.40 -6.38  -2.68  0.25 -0.62 -1.91
            9  0.70  0.184 -0.026 19.98 13.76 -6.41  -6.68 -1.54  0.71 -1.19
           10  0.80  0.279 -0.029 17.72 12.93 -6.25  -4.63 -1.75  1.48 -0.20
           11  0.90  0.373 -0.029 17.08 12.15 -6.36  -3.23 -2.20  1.63  1.21
           12  1.00  0.465 -0.029 16.58 11.08 -5.86  -4.66 -2.68  2.92  2.30
           13  1.10  0.563 -0.026 15.21  9.48 -4.91  -7.17 -3.77  4.15  3.43
           14  1.15  0.609 -0.023 13.32  8.04 -3.99  -6.92 -3.27  3.54  2.81
           15  1.20  0.656 -0.021 11.43  6.60 -3.06  -6.67 -2.78  2.93  2.19
           16  1.30  0.721 -0.016  7.87  4.82 -2.09  -4.17 -2.00  1.94  1.82
           17  1.40  0.766 -0.015  5.31  3.30 -1.21  -1.10 -0.60  0.41  0.61
           18  1.50  0.802 -0.015  4.25  2.72 -0.98  -0.61 -0.32  0.28  0.28
           19  1.70  0.852 -0.015  3.24  2.08 -0.70  -0.45 -0.18  0.17  0.18
           20  2.00  0.908 -0.013  2.28  1.48 -0.41  -0.37 -0.18  0.14  0.11
           21  2.40  0.961 -0.010  1.14  0.86  0.04  -0.14 -0.04  0.07  0.05
           22  2.80  0.978 -0.006  0.70  0.64  0.22   0.00  0.00 -0.02 -0.02
           23  3.20  0.980 -0.002  0.65  0.57  0.21   0.02  0.01 -0.01 -0.01
           24  3.60  0.977  0.001  0.65  0.57  0.21   0.03  0.02 -0.01  0.00
           25  4.00  0.978  0.005  0.65  0.56  0.21   0.02  0.01 -0.01 -0.01
           26  5.00  0.974  0.012  0.69  0.60  0.24   0.02  0.01 -0.01 -0.01
           27  6.00  0.974  0.012  0.69  0.60  0.24   0.02  0.01 -0.01 -0.01

  6 27
             TABLE C. 6  (cont.)  CASE R.ST6      Station=  9
