# Driver and Seegmiller backstep auxiliary data.
# Contents (tables 1-3 for alpha=0 and 6 deg.):

# Table 4a.  PITOT VELOCITY PROFILES FOR REARWARD FACING STEP WITH 9:1   EXPANSION RATIO
#
#   WALL DEFLECTION =  0.0000000E+00      X/H=  -4.000000    
#                     Step side wall                                     Opposite Wall
#        ________________________________________________         _____________________________
#        Centerline Z=0      Z/H = -2         Z/H = +2            Centerline Z=0     Z/H = -2
#        -------------     ------------     ------------          ------------     ------------
#  J     Y(mm)   U/Ue     Y(mm)   U/Ue     Y(mm)   U/Ue          Y(mm)   U/Ue     Y(mm)   U/Ue
   1      0.18  0.442      0.15  0.404      0.15  0.377           0.15  0.397      0.21  0.500
   2      0.23  0.469      0.22  0.476      0.18  0.433           0.26  0.492      0.24  0.528
   3      0.35  0.532      0.34  0.551      0.30  0.540           0.36  0.532      0.34  0.550
   4      0.55  0.575      0.54  0.595      0.49  0.581           0.56  0.566      0.59  0.586
   5      0.85  0.617      0.89  0.635      0.84  0.632           0.81  0.594      1.14  0.641
   6      1.35  0.663      1.39  0.669      1.34  0.674           1.31  0.639      2.14  0.701
   7      1.85  0.697      2.39  0.725      2.34  0.723           2.06  0.687      4.14  0.782
   8      2.35  0.721      3.89  0.772      3.84  0.775           3.06  0.731      8.14  0.898
   9      3.10  0.749      6.39  0.839      6.34  0.838           4.06  0.769     12.14  0.975
  10      3.85  0.774      9.89  0.906      9.84  0.909           5.06  0.804     14.14  0.992
  11      4.85  0.802     14.89  0.988     15.84  0.987           6.56  0.848     16.14  0.997
  12      6.35  0.838     17.89  1.000     17.84  0.998           8.06  0.886     20.14  0.998
  13      7.85  0.867     19.89  1.000     19.84  0.998          10.06  0.932     25.14  1.000
  14      9.85  0.905     24.89  0.999     24.84  1.000          12.06  0.968     35.14  1.000
  15     11.85  0.932     47.89  1.000     47.84  1.000          14.06  0.990     45.14  1.000
  16     13.85  0.959      0.00  0.000      0.00  0.000          16.06  0.999      0.00  0.000
  17     15.85  0.981      0.00  0.000      0.00  0.000          18.06  1.000      0.00  0.000
  18     16.85  0.990      0.00  0.000      0.00  0.000          20.06  1.000      0.00  0.000
  19     17.85  0.994      0.00  0.000      0.00  0.000          25.06  1.000      0.00  0.000
  20     19.85  0.998      0.00  0.000      0.00  0.000          35.06  1.000      0.00  0.000
  21     21.85  0.998      0.00  0.000      0.00  0.000          45.06  1.000      0.00  0.000
  22     24.85  0.998      0.00  0.000      0.00  0.000          47.81  1.000      0.00  0.000
  23     29.85  0.999      0.00  0.000      0.00  0.000           0.00  0.000      0.00  0.000
  24     29.85  0.999      0.00  0.000      0.00  0.000           0.00  0.000      0.00  0.000
  25     47.85  1.000      0.00  0.000      0.00  0.000           0.00  0.000      0.00  0.000

#  J     O(mm) Ue(m/s)    O(mm) Ue(m/s)    O(mm) Ue(m/s)         O(mm) Ue(m/s)    O(mm) Ue(m/s)
  40      1.90 44.879      1.85 44.045      1.83 44.242           1.72 43.852      1.63 43.961

 
# Table 4b.  PITOT VELOCITY PROFILES FOR REARWARD FACING STEP WITH 9:1   EXPANSION RATIO
# 
#   WALL DEFLECTION =  0.0000000E+00      X/H=   36.00000    
#                     Step side wall                                     Opposite Wall
#        ________________________________________________         _____________________________
#        Centerline Z=0      Z/H = -2         Z/H = +2            Centerline Z=0     Z/H = -2
#        -------------     ------------     ------------          ------------     ------------
#  J     Y(mm)   U/Ue     Y(mm)   U/Ue     Y(mm)   U/Ue          Y(mm)   U/Ue     Y(mm)   U/Ue
   1      0.18  0.422      0.15  0.355      0.15  0.369           0.15  0.328      0.20  0.416
   2      0.21  0.451      0.18  0.451      0.18  0.413           0.20  0.382      0.22  0.460
   3      0.26  0.482      0.23  0.493      0.23  0.450           0.25  0.444      0.27  0.471
   4      0.41  0.521      0.38  0.546      0.38  0.523           0.45  0.507      0.47  0.527
   5      0.66  0.562      0.63  0.534      0.72  0.584           0.85  0.550      0.82  0.578
