# Driver and Seegmiller backstep auxiliary data.
# Contents (tables 1-3 for alpha=0 and 6 deg.):
# Alpha = 6 degrees
#                    Uncertainty 
#   X/H      Cf      (dCf/Cf)
-3.854   0.00268   0.09
-1.844   0.00264   0.08
-0.804   0.00258   0.07
 0.000   0.00000   0.00
 0.238   0.00014   0.07
 1.790  -0.00011   0.10
 2.804  -0.00033   0.16
 3.804  -0.00066   0.13
 4.804  -0.00079   0.14
 5.804  -0.00058   0.10
 6.804  -0.00037   0.30
 7.804  -0.00008   0.37
 9.876   0.00031   0.17
11.196   0.00047   0.13
12.196   0.00059   0.12
14.196   0.00066   0.10
16.198   0.00073   0.07
20.196   0.00077   0.06
28.106   0.00077   0.06
36.196   0.00079   0.08
