# Driver and Seegmiller backstep auxiliary data.
#  Contents (tables 1-3 for alpha=0 and 6 deg.):

# Table 2. PRESSURE DISTRIBUTION FOR REARWARD FACING STEP FLOW
#    H=12.7mm,  9:1 Expansion Ratio
#
#              Cp for Stepside wall
#        _________________________________
# X/H    a=-2      a=0      a=6     a=10
 -8.5   0.0000   0.0039   0.0117   0.0088
 -6.5   0.0000   0.0000   0.0136   0.0108
 -4.5  -0.0059  -0.0048   0.0166   0.0187
 -2.5  -0.0296  -0.0231   0.0214   0.0266
 -0.5  -0.0642  -0.0472   0.0283   0.0512
  0.0  -0.0859  -0.0607   0.0361   0.0610
  0.5  -0.0899  -0.0636   0.0331   0.0600
  1.0  -0.0899  -0.0665   0.0312   0.0571
  1.5     --       --     0.0292   0.0571
  2.0  -0.1017  -0.0742   0.0253   0.0571
  2.5     --       --       --     0.0502
  3.0  -0.1037  -0.0762   0.0185   0.0482
  3.5  -0.0830  -0.0665   0.0253     --  
  4.0  -0.0464  -0.0424   0.0400   0.0581
  4.5   0.0049   0.0077   0.0585     --  
  5.0   0.0494   0.0482   0.0829   0.0876
  5.5   0.0771   0.0782     --       --  
  6.0   0.1037   0.1129   0.1297   0.1251
  6.5   0.1205   0.1303     --       --  
  7.0   0.1275   0.1389   0.1667   0.1556
  8.0   0.1304   0.1515   0.1989   0.1871
  8.5     --       --     0.2115     --  
  9.0   0.1225   0.1535   0.2203   0.2117
  9.5     --       --     0.2310     --  
 11.0   0.0978   0.1477   0.2544   0.2551
 12.0     --       --     0.2641     --
 13.0   0.0751   0.1409   0.2749   0.2846
 15.0   0.0534   0.1342   0.2924   0.3073
 17.0   0.0385   0.1303   0.3080   0.3280
 19.5   0.0168   0.1285   0.3265   0.3448
 21.5   0.0010   0.1246   0.3402   0.3596
 23.5  -0.0168   0.1227   0.3528   0.3723
 25.5  -0.0346   0.1227   0.3674   0.3813
 27.5  -0.0494   0.1218   0.3821   0.3921
 29.5  -0.0652   0.1218   0.3889   0.4011
 31.5  -0.0850   0.1199   0.4035   0.4090
 33.5  -0.1048   0.1160   0.4133   0.4139
 35.5  -0.1236   0.1189   0.4279   0.4198
 37.5  -0.1463   0.1141   0.4347   0.4209
