# 2-D converging-diverging channel, Re=12600
# Data from J.-P. Laval, LML
#
#  X	: Streamwise coordinates
#  Y0	: Normal coordinates of the lower wall
#  Y1	: Normal coordinates of the upper wall 
#  Utau0: Friction velocity at the lower wall
#  Utau1: Friction velocity at the upper wall
#  Cp0	: Pressure coefficient at the lower wall
#  Cp1	: Pressure coefficient at the upper wall
#  Cf0	: Skin friction coefficient at the lower wall
#  Cf1	: Skin friction coefficient at the upper wall
#
#  Y1 =  2
#  Re =  12600
#  Uo =  max(U(x=0,y)) = 1.00717
#  Po =  P(x=0,y=1)
#  Cf = (1/Re*(dU/dy))/(0.5*Uo^2)
#  Cp = (P-Po)/(0.5*Uo^2)
#  Nx = 2304
#
# Date File Created: January 6, 2009
#
#       X           Y0            Utau0          Utau1           Cp0             Cp1            Cf0            Cf1
# variables="x","y0","Utau0","Utau1","Cp0","Cp1","Cf0","Cf1"
# zone,t="DNS"
  0.00000E+00    0.00000E+00    4.94499E-02    4.92720E-02    2.59095E-02    7.22975E-03    4.96099E-03    4.92537E-03
  8.17935E-03    0.00000E+00    4.95081E-02    4.93242E-02    2.57444E-02    7.07010E-03    4.97269E-03    4.93580E-03
  1.63587E-02    0.00000E+00    4.95207E-02    4.93356E-02    2.55455E-02    6.87507E-03    4.97520E-03    4.93808E-03
  2.45381E-02    0.00000E+00    4.95328E-02    4.93474E-02    2.53504E-02    6.68243E-03    4.97763E-03    4.94045E-03
  3.27174E-02    0.00000E+00    4.95332E-02    4.93490E-02    2.51536E-02    6.48720E-03    4.97771E-03    4.94076E-03
  4.08968E-02    0.00000E+00    4.95391E-02    4.93557E-02    2.49703E-02    6.30343E-03    4.97890E-03    4.94212E-03
  4.90762E-02    0.00000E+00    4.95375E-02    4.93572E-02    2.47817E-02    6.11371E-03    4.97858E-03    4.94242E-03
  5.72555E-02    0.00000E+00    4.95406E-02    4.93635E-02    2.46106E-02    5.93841E-03    4.97921E-03    4.94367E-03
  6.54349E-02    0.00000E+00    4.95387E-02    4.93654E-02    2.44295E-02    5.75227E-03    4.97882E-03    4.94405E-03
  7.36141E-02    0.00000E+00    4.95390E-02    4.93702E-02    2.42682E-02    5.58279E-03    4.97889E-03    4.94501E-03
  8.17935E-02    0.00000E+00    4.95359E-02    4.93728E-02    2.40935E-02    5.39981E-03    4.97827E-03    4.94554E-03
  8.99730E-02    0.00000E+00    4.95343E-02    4.93762E-02    2.39405E-02    5.23590E-03    4.97794E-03    4.94621E-03
  9.81522E-02    0.00000E+00    4.95298E-02    4.93792E-02    2.37719E-02    5.05599E-03    4.97703E-03    4.94682E-03
