# DNS of separated flow in a three-dimensional diffuser
# Reference:   Ohlsson et al., J. Fluid Mech. 650, 307-318 (2010)
# e-mail:      johan@mech.kth.se, pschlatt@mech.kth.se, henning@mech.kth.se
# Code:        nek5000, spectral-element, 11th order space, 3rd order time
# Domain size: Lx = [0 105.4], Ly = [0 1.0;4.0], Lz = [0 3.33;4.0]
# Elements:    Kx = 365, Ky = 10, Kz = 35 --> K_tot = 127 750
# Grid points: Nx = 4380, Ny = 120, Nz = 420 --> N_tot = 220 752 000
# 
# 
# x/H y/H z/B U/Ubulk V/Ubulk W/Ubulk k/Ubulk^2 uu/Ubulk^2 vv/Ubulk^2 ww/Ubulk^2 uv/Ubulk^2 uw/Ubulk^2 vw/Ubulk^2
-1.9750618 0.0000000 1.6751968 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 
-1.9750618 0.0006743 1.6751968 0.0279806 0.0000006 0.0002256 0.0001636 0.0001192 0.0000000 0.0000444 -0.0000003 0.0000016 -0.0000000 
-1.9750618 0.0022116 1.6751968 0.0915696 0.0000061 0.0006756 0.0016501 0.0012646 0.0000013 0.0003842 -0.0000108 0.0000180 -0.0000004 
-1.9750618 0.0044927 1.6751968 0.1846029 0.0000193 0.0011991 0.0062188 0.0050329 0.0000149 0.0011710 -0.0000923 0.0000756 -0.0000040 
-1.9750618 0.0073482 1.6751968 0.2952798 0.0000326 0.0016522 0.0143231 0.0120430 0.0000682 0.0022119 -0.0003642 0.0001752 -0.0000185 
-1.9750618 0.0105664 1.6751968 0.4060984 0.0000271 0.0019224 0.0235318 0.0201298 0.0001833 0.0032187 -0.0008597 0.0002444 -0.0000508 
-1.9750618 0.0139086 1.6751968 0.5015563 -0.0000121 0.0019368 0.0306648 0.0262761 0.0003577 0.0040311 -0.0014455 0.0002305 -0.0000888 
-1.9750618 0.0171268 1.6751968 0.5751035 -0.0000683 0.0017460 0.0346907 0.0295011 0.0005677 0.0046219 -0.0019674 0.0001844 -0.0001099 
-1.9750618 0.0199823 1.6751968 0.6276298 -0.0001106 0.0015183 0.0363975 0.0306000 0.0007804 0.0050171 -0.0023548 0.0001456 -0.0001087 
-1.9750618 0.0222634 1.6751968 0.6626707 -0.0001276 0.0013784 0.0368881 0.0306602 0.0009631 0.0052648 -0.0026047 0.0001103 -0.0000965 
-1.9750618 0.0238007 1.6751968 0.6834383 -0.0001289 0.0013316 0.0369188 0.0304213 0.0010906 0.0054069 -0.0027429 0.0000822 -0.0000847 
-1.9750618 0.0244750 1.6751968 0.6919177 -0.0001267 0.0013262 0.0368752 0.0302637 0.0011472 0.0054643 -0.0027963 0.0000687 -0.0000790 
-1.9750618 0.0244750 1.6751968 0.6919177 -0.0001267 0.0013262 0.0368752 0.0302637 0.0011472 0.0054643 -0.0027963 0.0000687 -0.0000790 
-1.9750618 0.0264318 1.6751968 0.7145854 -0.0001119 0.0013606 0.0366075 0.0296770 0.0013128 0.0056177 -0.0029292 0.0000268 -0.0000625 
-1.9750618 0.0308928 1.6751968 0.7575703 -0.0000305 0.0017297 0.0354870 0.0278865 0.0016856 0.0059149 -0.0031175 -0.0000729 -0.0000262 
-1.9750618 0.0375125 1.6751968 0.8051034 0.0002097 0.0026715 0.0334438 0.0250044 0.0021930 0.0062464 -0.0032442 -0.0001637 0.0000148 
-1.9750618 0.0457992 1.6751968 0.8477595 0.0007610 0.0037180 0.0309520 0.0217005 0.0027075 0.0065440 -0.0032986 -0.0002106 0.0000616 
-1.9750618 0.0551382 1.6751968 0.8834281 0.0015640 0.0044341 0.0287454 0.0189008 0.0030909 0.0067537 -0.0033208 -0.0002106 0.0000846 
-1.9750618 0.0648368 1.6751968 0.9128463 0.0024031 0.0047934 0.0269823 0.0168117 0.0033665 0.0068040 -0.0033109 -0.0001504 0.0000839 
-1.9750618 0.0741758 1.6751968 0.9364058 0.0032031 0.0049227 0.0255056 0.0152894 0.0035680 0.0066482 -0.0032861 -0.0001580 0.0000556 
-1.9750618 0.0824625 1.6751968 0.9539169 0.0038239 0.0049775 0.0244638 0.0142826 0.0036889 0.0064923 -0.0032648 -0.0001301 0.0000227 
-1.9750618 0.0890821 1.6751968 0.9661558 0.0042409 0.0048508 0.0237667 0.0135830 0.0037467 0.0064369 -0.0032232 -0.0000356 -0.0000081 
-1.9750618 0.0935432 1.6751968 0.9738133 0.0045012 0.0045925 0.0233862 0.0132071 0.0037661 0.0064129 -0.0031880 0.0000640 -0.0000278 
-1.9750618 0.0955000 1.6751968 0.9769924 0.0046042 0.0044554 0.0232350 0.0130684 0.0037705 0.0063962 -0.0031712 0.0001031 -0.0000367 
-1.9750618 0.0955000 1.6751968 0.9769924 0.0046042 0.0044554 0.0232350 0.0130684 0.0037705 0.0063962 -0.0031712 0.0001031 -0.0000367 
-1.9750618 0.0985471 1.6751968 0.9817507 0.0047502 0.0042019 0.0230106 0.0128731 0.0037740 0.0063636 -0.0031489 0.0001606 -0.0000544 
-1.9750618 0.1054938 1.6751968 0.9918635 0.0049983 0.0037302 0.0225178 0.0125054 0.0037725 0.0062399 -0.0031074 0.0002186 -0.0000898 
-1.9750618 0.1158019 1.6751968 1.0056999 0.0051525 0.0032877 0.0218275 0.0120147 0.0037667 0.0060462 -0.0030745 0.0002329 -0.0001184 
-1.9750618 0.1287059 1.6751968 1.0218345 0.0049991 0.0031862 0.0209141 0.0113390 0.0037416 0.0058335 -0.0030325 0.0001958 -0.0001189 
-1.9750618 0.1432486 1.6751968 1.0388417 0.0046629 0.0030105 0.0199366 0.0106449 0.0036755 0.0056162 -0.0029666 0.0001062 -0.0001213 
-1.9750618 0.1583513 1.6751968 1.0557741 0.0044987 0.0024207 0.0190096 0.0099935 0.0036015 0.0054146 -0.0028852 0.0001043 -0.0001061 
-1.9750618 0.1728940 1.6751968 1.0712705 0.0042785 0.0019480 0.0182808 0.0095260 0.0035182 0.0052366 -0.0027937 0.0000940 -0.0001178 
-1.9750618 0.1857980 1.6751968 1.0838786 0.0038549 0.0016677 0.0176554 0.0091772 0.0034403 0.0050379 -0.0026750 0.0001123 -0.0001509 
-1.9750618 0.1961061 1.6751968 1.0932655 0.0035261 0.0014249 0.0171221 0.0089101 0.0033730 0.0048391 -0.0025807 0.0001537 -0.0001718 
-1.9750618 0.2030529 1.6751968 1.0993310 0.0033887 0.0012749 0.0167853 0.0087438 0.0033338 0.0047077 -0.0025176 0.0001694 -0.0001827 
-1.9750618 0.2061000 1.6751968 1.1019156 0.0033558 0.0012002 0.0166597 0.0086824 0.0033180 0.0046593 -0.0024971 0.0001771 -0.0001849 
-1.9750618 0.2061000 1.6751968 1.1019156 0.0033558 0.0012002 0.0166597 0.0086824 0.0033180 0.0046593 -0.0024971 0.0001771 -0.0001849 
-1.9750618 0.2099405 1.6751968 1.1051170 0.0033390 0.0011167 0.0164928 0.0085999 0.0033000 0.0045929 -0.0024651 0.0001815 -0.0001879 
-1.9750618 0.2186962 1.6751968 1.1119741 0.0033668 0.0008790 0.0161539 0.0084246 0.0032568 0.0044724 -0.0024113 0.0002037 -0.0001928 
-1.9750618 0.2316885 1.6751968 1.1215755 0.0035007 0.0004230 0.0156255 0.0081453 0.0031852 0.0042950 -0.0023145 0.0002239 -0.0001932 
-1.9750618 0.2479527 1.6751968 1.1329310 0.0036587 -0.0006484 0.0150160 0.0078337 0.0030862 0.0040960 -0.0022123 0.0002274 -0.0001889 
-1.9750618 0.2662822 1.6751968 1.1454372 0.0037526 -0.0016169 0.0142425 0.0074120 0.0029557 0.0038748 -0.0020690 0.0001557 -0.0001481 
-1.9750618 0.2853177 1.6751968 1.1582122 0.0038338 -0.0018734 0.0133135 0.0068501 0.0028136 0.0036498 -0.0018829 0.0000627 -0.0000952 
-1.9750618 0.3036473 1.6751968 1.1698512 0.0037914 -0.0019232 0.0123966 0.0063822 0.0026631 0.0033513 -0.0017175 -0.0000163 -0.0000592 
-1.9750618 0.3199114 1.6751968 1.1794920 0.0035101 -0.0020340 0.0116840 0.0060289 0.0025374 0.0031177 -0.0015558 -0.0000252 -0.0000512 
-1.9750618 0.3329037 1.6751968 1.1866919 0.0031685 -0.0020852 0.0111234 0.0056974 0.0024510 0.0029749 -0.0014305 -0.0000108 -0.0000547 
-1.9750618 0.3416594 1.6751968 1.1912748 0.0029308 -0.0019607 0.0107635 0.0054755 0.0024008 0.0028872 -0.0013519 -0.0000003 -0.0000486 
-1.9750618 0.3454999 1.6751968 1.1931962 0.0028374 -0.0018804 0.0106113 0.0053836 0.0023807 0.0028469 -0.0013186 -0.0000027 -0.0000409 
-1.9750618 0.3454999 1.6751968 1.1931962 0.0028374 -0.0018804 0.0106113 0.0053836 0.0023807 0.0028469 -0.0013186 -0.0000027 -0.0000409 
-1.9750618 0.3497564 1.6751968 1.1952658 0.0027413 -0.0017480 0.0104542 0.0052881 0.0023604 0.0028056 -0.0012805 -0.0000098 -0.0000325 
