# DNS of separated flow in a three-dimensional diffuser
# Reference:   Ohlsson et al., J. Fluid Mech. 650, 307-318 (2010)
# e-mail:      johan@mech.kth.se, pschlatt@mech.kth.se, henning@mech.kth.se
# Code:        nek5000, spectral-element, 11th order space, 3rd order time
# Domain size: Lx = [0 105.4], Ly = [0 1.0;4.0], Lz = [0 3.33;4.0]
# Elements:    Kx = 365, Ky = 10, Kz = 35 --> K_tot = 127 750
# Grid points: Nx = 4380, Ny = 120, Nz = 420 --> N_tot = 220 752 000
# 
# 
# x/H y/H z/B U/Ubulk V/Ubulk W/Ubulk k/Ubulk^2 uu/Ubulk^2 vv/Ubulk^2 ww/Ubulk^2 uv/Ubulk^2 uw/Ubulk^2 vw/Ubulk^2
12.0249424 0.0000000 1.6692741 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 
12.0249424 0.0022960 1.6692741 0.0231523 0.0000251 0.0005491 0.0002957 0.0001497 0.0000002 0.0001458 -0.0000005 0.0000036 0.0000000 
12.0249424 0.0075305 1.6692741 0.0760794 0.0002336 0.0017010 0.0024833 0.0014015 0.0000120 0.0010698 -0.0000238 0.0000210 0.0000009 
12.0249424 0.0152978 1.6692741 0.1488712 0.0007939 0.0030956 0.0071924 0.0044380 0.0000921 0.0026623 -0.0001644 -0.0000053 0.0000087 
12.0249424 0.0250212 1.6692741 0.2185796 0.0016193 0.0041520 0.0119098 0.0074523 0.0002845 0.0041731 -0.0003944 -0.0001169 0.0000385 
12.0249424 0.0359793 1.6692741 0.2695912 0.0025347 0.0044121 0.0147871 0.0090477 0.0005766 0.0051628 -0.0005764 -0.0002030 0.0000996 
12.0249424 0.0473595 1.6692741 0.3035218 0.0034308 0.0044829 0.0164442 0.0097123 0.0009277 0.0058041 -0.0006779 -0.0002166 0.0001676 
12.0249424 0.0583176 1.6692741 0.3265562 0.0041560 0.0046117 0.0176187 0.0100005 0.0012687 0.0063495 -0.0007505 -0.0002310 0.0002014 
12.0249424 0.0680409 1.6692741 0.3426118 0.0046752 0.0043741 0.0184809 0.0101691 0.0015485 0.0067632 -0.0008342 -0.0001907 0.0002128 
12.0249424 0.0758082 1.6692741 0.3530982 0.0050499 0.0039375 0.0190041 0.0102824 0.0017456 0.0069761 -0.0009109 -0.0001130 0.0002144 
12.0249424 0.0810427 1.6692741 0.3591838 0.0052726 0.0035670 0.0192521 0.0103356 0.0018640 0.0070525 -0.0009681 -0.0000477 0.0002059 
12.0249424 0.0833388 1.6692741 0.3616058 0.0053586 0.0034257 0.0193599 0.0103663 0.0019129 0.0070807 -0.0009965 -0.0000130 0.0002035 
12.0249424 0.0833388 1.6692741 0.3616058 0.0053586 0.0034257 0.0193599 0.0103663 0.0019129 0.0070807 -0.0009965 -0.0000130 0.0002035 
12.0249424 0.0900017 1.6692741 0.3679335 0.0055652 0.0030908 0.0195570 0.0103925 0.0020496 0.0071149 -0.0010751 0.0000974 0.0001833 
12.0249424 0.1051919 1.6692741 0.3793038 0.0057514 0.0021836 0.0198010 0.0104473 0.0023514 0.0070022 -0.0012676 0.0003551 0.0001501 
