X,Y
-4.1576902e-09,1.0
0.032142855,1.0
0.06428571,1.0
0.096428573,1.0
0.1285714,0.9995964
0.1607143,0.9979857
0.1928571,0.9951071
0.225,0.9906321
0.2571428,0.9842215
0.2892857,0.9755536
0.3214286,0.9642857
0.3535714,0.9501964
0.3857143,0.9334786
0.4178571,0.9144214
0.45,0.893325
0.4821429,0.8704785
0.5142857,0.8461857
0.5467321,0.8204715
0.5794821,0.7935643
0.6125428,0.7657179
0.6459143,0.7371786
0.6796,0.7082286
0.7136,0.6791536
0.747925,0.6502071
0.7825714,0.6214179
0.8175429,0.5927607
0.8528464,0.5641929
0.8884785,0.5356857
0.92445,0.5071964
0.9607607,0.4786893
0.9974107,0.4501214
1.034407,0.4214429
1.07175,0.3926072
1.109446,0.3636036
1.1475,0.3345546
1.185911,0.3056304
1.224682,0.2770089
1.263818,0.2488793
1.303321,0.2214393
1.3432,0.1948989
1.383454,0.1694775
1.424086,0.1454079
1.4651,0.12291
1.506504,0.1020868
1.548293,0.082997873
1.590479,0.065705739
1.633061,0.050274987
1.676046,0.036770344
1.719432,0.025260195
1.763229,0.015813058
1.807439,0.0085006468
1.852064,0.0033962007
1.897111,0.00057509169
1.942582,0.0
1.988482,0.0
2.034814,0.0
2.081578,0.0
2.128789,0.0
2.176439,0.0
2.224543,0.0
2.273096,0.0
2.322111,0.0
2.371582,0.0
2.421521,0.0
2.471932,0.0
2.522818,0.0
2.574182,0.0
2.626029,0.0
2.678364,0.0
2.731196,0.0
2.784521,0.0
2.83835,0.0
2.892689,0.0
2.947536,0.0
3.0029,0.0
3.058786,0.0
3.1152,0.0
3.172143,0.0
3.229622,0.0
3.287643,0.0
3.346211,0.0
3.405332,0.0
3.465007,0.0
3.525246,0.0
3.586054,0.0
3.647432,0.0
3.709389,0.0
3.771929,0.0
3.835061,0.0
3.898782,0.0
3.963107,0.0
4.028039,0.0
4.093582,0.0
4.159739,0.0
4.226521,0.0
4.293932,0.0
4.361979,0.0
4.430668,0.0
4.500004,0.0
4.569336,0.0
4.638025,0.0
4.706071,0.0
4.773482,0.0
4.840264,0.0
4.906425,0.0
4.971964,0.0
5.036896,0.0
5.101222,0.0
5.164943,0.0
5.228075,0.0
5.290614,0.0
5.352571,0.0
5.41395,0.0
5.474757,0.0
5.534997,0.0
5.594671,0.0
5.653793,0.0
5.712361,0.0
5.770382,0.0
5.827861,0.0
5.884804,0.0
5.941218,0.0
5.997104,0.0
6.052468,0.0
6.107318,0.0
6.161654,0.0
6.215482,0.0
6.268807,0.0
6.32164,0.0
6.373975,0.0
6.425821,0.0
6.477186,0.0
6.528071,0.0
6.578482,0.0
6.628421,0.0
6.677896,0.0
6.726907,0.0
6.775461,0.0
6.823564,0.0
6.871214,0.0
6.918425,0.0
6.965193,0.0
7.011522,0.0
7.057421,0.0
7.102893,0.00057502516
7.147939,0.0033966
7.192564,0.0085012456
7.236775,0.01581379
7.280571,0.025261126
7.323961,0.036771808
7.366943,0.050276451
7.409525,0.065707467
7.451711,0.082999669
7.493504,0.1020886
7.534904,0.1229118
7.575918,0.14541
7.61655,0.1694804
7.656804,0.1949015
7.696682,0.2214422
7.736186,0.2488821
7.775325,0.2770121
7.814096,0.3056336
7.852507,0.3345578
7.890557,0.3636072
7.928254,0.3926107
7.965597,0.4214464
8.002593,0.450125
8.039247,0.4786929
8.075553,0.5072
8.111525,0.5356893
8.147158,0.5641964
8.182461,0.5927643
8.217432,0.6214214
8.252078,0.6502107
8.286404,0.6791571
8.320407,0.7082322
8.354093,0.7371821
8.387461,0.7657214
8.420522,0.7935715
8.453275,0.820475
8.485718,0.8461893
8.51786,0.8704821
8.550004,0.893325
8.582147,0.914425
8.614289,0.9334786
8.646432,0.9502
8.678576,0.9642892
8.710718,0.9755536
8.742861,0.984225
8.775003,0.9906321
8.807147,0.9951071
8.83929,0.9979857
8.871432,0.9995964
8.903575,1.0
8.935718,1.0
8.96786,1.0
9.000004,1.0
