%
% Basic inner-scaled statistics for turbulent flow in a circular pipe
%
% See the following reference for details
% 
% Pirozzoli, S., Romero, J., Fatica, M., Verzicco, R., & Orlandi, P. (2021). 
% One-point statistics for turbulent pipe flow up to $\Rey_{\tau} \approx 6000$
% arXiv preprint arXiv:2103.13383.
%
% The flow parameters are as follows:
%
%  N_z                         = 1792
%  N_r                         =  140
%  N_theta                     =  768
%  Streamwise domain size      = 15 R
%  Bulk Reynolds number        = 44000
%  Friction Reynolds number    = 1136.6
%  Friction factor             = 0.02136
%
%  Flow variables
%  
%        y^+                  U_z^+               P^+                 u_z^2              u_r^2              u_t^2                u_z u_r              p^2
%
    0.2515637856E-01    0.2513067711E-01    0.2268816853E-07    0.1134980378E-03    0.3202364604E-09    0.5327443210E-04    0.7008516030E-07    0.6885993071E+01
    0.8504320335E-01    0.8495411192E-01    0.3142360168E-08    0.1248014167E-02    0.1134225200E-07    0.5296148231E-03    0.1041161138E-05    0.6883522306E+01
    0.1773978642E+00    0.1772045673E+00   -0.2300694900E-06    0.5391799543E-02    0.1693451743E-06    0.2197942832E-02    0.8317669611E-05    0.6879931910E+01
    0.3298375713E+00    0.3294537216E+00   -0.2296491870E-05    0.1855733897E-01    0.1778520417E-05    0.7255453305E-02    0.5073971352E-04    0.6874586879E+01
    0.5701239950E+00    0.5693805712E+00   -0.1682752363E-04    0.5521144167E-01    0.1406670407E-04    0.2043968884E-01    0.2524314038E-03    0.6867623846E+01
    0.9231827864E+00    0.9216989713E+00   -0.9584012517E-04    0.1440309802E+00    0.8435975450E-04    0.4942902052E-01    0.1040782567E-02    0.6860622535E+01
    0.1409265028E+01    0.1405970366E+01   -0.4276403589E-03    0.3331900546E+00    0.3893574530E-03    0.1033132308E+00    0.3603401180E-02    0.6857232649E+01
    0.2043048531E+01    0.2034608774E+01   -0.1523016423E-02    0.6911352991E+00    0.1417838884E-02    0.1892389636E+00    0.1059594849E-01    0.6863524734E+01
    0.2833514747E+01    0.2810157936E+01   -0.4437350564E-02    0.1294166692E+01    0.4192840561E-02    0.3088594193E+00    0.2668644443E-01    0.6887741323E+01
    0.3784398510E+01    0.3721370623E+01   -0.1085922536E-01    0.2190582430E+01    0.1036786452E-01    0.4572463507E+00    0.5799591215E-01    0.6939159109E+01
    0.4894989452E+01    0.4739624465E+01   -0.2291301170E-01    0.3349632640E+01    0.2204390009E-01    0.6253506266E+00    0.1097590600E+00    0.7026116566E+01
    0.6161090372E+01    0.5819490013E+01   -0.4271872980E-01    0.4638119541E+01    0.4134101844E-01    0.8038872253E+00    0.1831376175E+00    0.7153753748E+01
    0.7575980498E+01    0.6906234299E+01   -0.7192424651E-01    0.5863229535E+01    0.6992718995E-01    0.9854416659E+00    0.2735855432E+00    0.7322225333E+01
    0.9131288162E+01    0.7947978489E+01   -0.1113884804E+00    0.6856560138E+01    0.1086843332E+00    0.1164043462E+01    0.3722923204E+00    0.7525930230E+01
    0.1081772049E+02    0.8906270497E+01   -0.1610486812E+00    0.7533210815E+01    0.1575608223E+00    0.1334097943E+01    0.4696458225E+00    0.7753953449E+01
    0.1262563567E+02    0.9760374431E+01   -0.2199413997E+00    0.7894458619E+01    0.2155902639E+00    0.1490350555E+01    0.5582894007E+00    0.7991715704E+01
