%
% Basic inner-scaled statistics for turbulent flow in a circular pipe
%
% See the following reference for details
% 
% Pirozzoli, S., Romero, J., Fatica, M., Verzicco, R., & Orlandi, P. (2021). 
% One-point statistics for turbulent pipe flow up to $\Rey_{\tau} \approx 6000$
% arXiv preprint arXiv:2103.13383.
%
% The flow parameters are as follows:
%
%  N_z                         = 4608
%  N_r                         =  540
%  N_theta                     = 4608
%  Streamwise domain size      = 15 R
%  Bulk Reynolds number        = 133000
%  Friction Reynolds number    = 3028.1
%  Friction coefficient        = 0.01659
%
%  Flow variables
%  
%        y^+                  U_z^+               P^+                 u_z^2              u_r^2              u_t^2                u_z u_r              p^2
%
    0.2652848266E-01    0.2652523094E-01    0.2601631766E-07    0.1370193287E-03    0.3733589982E-09    0.6061345937E-04    0.9208951507E-07    0.8835555842E+01
    0.8968170253E-01    0.8966982139E-01    0.7594926116E-08    0.1541271899E-02    0.1473134223E-07    0.6437524242E-03    0.1353322409E-05    0.8832653906E+01
    0.1870735254E+00    0.1870455946E+00   -0.2426511200E-06    0.6676422683E-02    0.2310870902E-06    0.2702068417E-02    0.1077480977E-04    0.8828453133E+01
    0.3478275063E+00    0.3477634636E+00   -0.2681263870E-05    0.2299313478E-01    0.2466450672E-05    0.8951771516E-02    0.6561424046E-04    0.8822248892E+01
    0.6012198159E+00    0.6010572688E+00   -0.2077890642E-04    0.6840026251E-01    0.1955448826E-04    0.2520151315E-01    0.3258022774E-03    0.8814313243E+01
    0.9735351757E+00    0.9730279280E+00   -0.1218063152E-03    0.1783305441E+00    0.1166571351E-03    0.6071890129E-01    0.1339965774E-02    0.8806735107E+01
    0.1486129487E+01    0.1484245336E+01   -0.5500256522E-03    0.4119975396E+00    0.5330322750E-03    0.1262858434E+00    0.4618325421E-02    0.8804194569E+01
    0.2154480826E+01    0.2147345742E+01   -0.1960555854E-02    0.8519807658E+00    0.1915006733E-02    0.2300320236E+00    0.1346511557E-01    0.8814354120E+01
    0.2988060753E+01    0.2963534047E+01   -0.5674408201E-02    0.1584990258E+01    0.5573011682E-02    0.3733317198E+00    0.3345104230E-01    0.8847418629E+01
    0.3990807904E+01    0.3917739918E+01   -0.1372973213E-01    0.2652582193E+01    0.1354041665E-01    0.5500201198E+00    0.7134625836E-01    0.8914498040E+01
    0.5161973129E+01    0.4974953279E+01   -0.2856964175E-01    0.3990961932E+01    0.2827272567E-01    0.7496126603E+00    0.1320130333E+00    0.9024938918E+01
    0.6497129666E+01    0.6082575196E+01   -0.5248041738E-01    0.5419889299E+01    0.5208972251E-01    0.9614434997E+00    0.2149388356E+00    0.9183468245E+01
    0.7989191179E+01    0.7180955901E+01   -0.8706581171E-01    0.6714608867E+01    0.8663522093E-01    0.1176383632E+01    0.3133313894E+00    0.9388185328E+01
    0.9629328669E+01    0.8217606662E+01   -0.1329376436E+00    0.7707293178E+01    0.1325433871E+00    0.1386314137E+01    0.4167767661E+00    0.9630043086E+01
    0.1140774294E+02    0.9157379586E+01   -0.1896260760E+00    0.8337824045E+01    0.1893362624E+00    0.1583710930E+01    0.5153706358E+00    0.9893997717E+01
