%
% Basic inner-scaled statistics for turbulent flow in a circular pipe
%
% See the following reference for details
% 
% Pirozzoli, S., Romero, J., Fatica, M., Verzicco, R., & Orlandi, P. (2021). 
% One-point statistics for turbulent pipe flow up to $\Rey_{\tau} \approx 6000$
% arXiv preprint arXiv:2103.13383.
%
% The flow parameters are as follows:
%
%  N_z                         = 768
%  N_r                         = 140
%  N_theta                     = 768
%  Streamwise domain size      = 15 R
%  Bulk Reynolds number        = 17000
%  Friction Reynolds number    = 495.3
%  Friction coefficient        = 0.02716
%
%  Flow variables
%  
%        y^+                  U_z^+               P^+                 u_z^2              u_r^2              u_t^2                u_z u_r              p^2
%
    0.2658225076E-01    0.2655656041E-01    0.3068632504E-07    0.1143166294E-03    0.3595177151E-09    0.5226153845E-04    0.7203428917E-07    0.5120175640E+01
    0.8986360200E-01    0.8977093040E-01   -0.1429337936E-08    0.1233701162E-02    0.1185188875E-07    0.4949373646E-03    0.1077269954E-05    0.5118050533E+01
    0.1874530434E+00    0.1872410473E+00   -0.3412922676E-06    0.5319913717E-02    0.1706995667E-06    0.2033280300E-02    0.8626644000E-05    0.5114969771E+01
    0.3485331034E+00    0.3480798970E+00   -0.3039617353E-05    0.1830739465E-01    0.1768986350E-05    0.6678765976E-02    0.5269439077E-04    0.5110404216E+01
    0.6024393203E+00    0.6014798851E+00   -0.2052818703E-04    0.5449223808E-01    0.1392041386E-04    0.1875466668E-01    0.2624629658E-03    0.5104514617E+01
    0.9755098326E+00    0.9734386719E+00   -0.1104211056E-03    0.1422580388E+00    0.8330430924E-04    0.4522012162E-01    0.1083101365E-02    0.5098746755E+01
    0.1489143833E+01    0.1484408487E+01   -0.4738792846E-03    0.3293695835E+00    0.3840107021E-03    0.9415023743E-01    0.3752085089E-02    0.5096383947E+01
    0.2158850843E+01    0.2147121095E+01   -0.1643698193E-02    0.6836573630E+00    0.1397006954E-02    0.1715904464E+00    0.1103595858E-01    0.5102839730E+01
    0.2994121646E+01    0.2963587657E+01   -0.4703605128E-02    0.1279928100E+01    0.4128024013E-02    0.2783895403E+00    0.2778512781E-01    0.5125397982E+01
    0.3998902631E+01    0.3920791544E+01   -0.1137004132E-01    0.2162356624E+01    0.1020263212E-01    0.4094804629E+00    0.6030135214E-01    0.5172157504E+01
    0.5172443221E+01    0.4986857043E+01   -0.2379005961E-01    0.3292029974E+01    0.2169012607E-01    0.5565176530E+00    0.1138122962E+00    0.5250254889E+01
    0.6510308158E+01    0.6112004749E+01   -0.4410319836E-01    0.4526254911E+01    0.4068799326E-01    0.7115593459E+00    0.1891123030E+00    0.5363865393E+01
    0.8005395886E+01    0.7237260561E+01   -0.7397721995E-01    0.5668355711E+01    0.6885887623E-01    0.8686218933E+00    0.2809858301E+00    0.5512643953E+01
    0.9648860226E+01    0.8308010061E+01   -0.1142844397E+00    0.6555986460E+01    0.1070894902E+00    0.1022707803E+01    0.3799679226E+00    0.5691066267E+01
    0.1143088158E+02    0.9285217128E+01   -0.1649481107E+00    0.7116982553E+01    0.1553220932E+00    0.1168584679E+01    0.4761312907E+00    0.5888857378E+01
    0.1334127152E+02    0.1014932045E+02   -0.2249439799E+00    0.7365274391E+01    0.2125543770E+00    0.1301013158E+01    0.5622232235E+00    0.6092540455E+01
    0.1536991859E+02    0.1089737784E+02   -0.2924589299E+00    0.7363732846E+01    0.2770027375E+00    0.1415977830E+01    0.6346978702E+00    0.6287793751E+01
    0.1750709644E+02    0.1153723709E+02   -0.3651765637E+00    0.7188217873E+01    0.3463897619E+00    0.1511608557E+01    0.6930459105E+00    0.6461849810E+01
    0.1974366000E+02    0.1208202534E+02   -0.4406071541E+00    0.6906698596E+01    0.4182707679E+00    0.1588224244E+01    0.7385409544E+00    0.6605178901E+01
    0.2207115585E+02    0.1254633346E+02   -0.5163751036E+00    0.6571488746E+01    0.4903148360E+00    0.1647753221E+01    0.7731769526E+00    0.6712100243E+01
    0.2448186946E+02    0.1294407748E+02   -0.5904181659E+00    0.6218907834E+01    0.5604981032E+00    0.1692887165E+01    0.7990233994E+00    0.6780500654E+01
    0.2696882848E+02    0.1328753562E+02   -0.6610920578E+00    0.5872097316E+01    0.6272054726E+00    0.1726324636E+01    0.8179265875E+00    0.6811194667E+01
    0.2952577725E+02    0.1358708669E+02   -0.7271906180E+00    0.5544437160E+01    0.6892509372E+00    0.1750382367E+01    0.8314193947E+00    0.6807126490E+01
    0.3214713332E+02    0.1385126989E+02   -0.7879159539E+00    0.5242646539E+01    0.7458496382E+00    0.1766845103E+01    0.8407294583E+00    0.6772506664E+01
    0.3482793423E+02    0.1408696809E+02   -0.8428383702E+00    0.4969128575E+01    0.7965794001E+00    0.1776954002E+01    0.8468169278E+00    0.6712152437E+01
    0.3756378052E+02    0.1429966141E+02   -0.8918433195E+00    0.4723624486E+01    0.8413310826E+00    0.1781551389E+01    0.8504217255E+00    0.6631019432E+01
    0.4035077820E+02    0.1449367475E+02   -0.9350574867E+00    0.4504530674E+01    0.8802378856E+00    0.1781395916E+01    0.8521162009E+00    0.6533748775E+01
    0.4318548386E+02    0.1467239357E+02   -0.9727750893E+00    0.4309689290E+01    0.9136016878E+00    0.1777274612E+01    0.8523368924E+00    0.6424415365E+01
    0.4606485263E+02    0.1483849777E+02   -0.1005396316E+01    0.4136602529E+01    0.9418299024E+00    0.1769922178E+01    0.8514006997E+00    0.6306528521E+01
    0.4898619138E+02    0.1499412990E+02   -0.1033373042E+01    0.3982772339E+01    0.9653810798E+00    0.1759959226E+01    0.8495405122E+00    0.6183095175E+01
    0.5194711551E+02    0.1514098785E+02   -0.1057174058E+01    0.3845925829E+01    0.9847302762E+00    0.1747788598E+01    0.8469415490E+00    0.6056715996E+01
    0.5494551123E+02    0.1528041713E+02   -0.1077267559E+01    0.3723915331E+01    0.1000352324E+01    0.1733752905E+01    0.8437541524E+00    0.5929515128E+01
    0.5797950132E+02    0.1541347700E+02   -0.1094108651E+01    0.3614760077E+01    0.1012709270E+01    0.1718264135E+01    0.8400931560E+00    0.5803041277E+01
    0.6104741576E+02    0.1554100198E+02   -0.1108127802E+01    0.3516713599E+01    0.1022238524E+01    0.1701737222E+01    0.8360387009E+00    0.5678397173E+01
    0.6414776530E+02    0.1566366768E+02   -0.1119719912E+01    0.3428303611E+01    0.1029342037E+01    0.1684527949E+01    0.8316466185E+00    0.5556404730E+01
    0.6727921883E+02    0.1578204704E+02   -0.1129242043E+01    0.3348238966E+01    0.1034383367E+01    0.1666931266E+01    0.8269640016E+00    0.5437707328E+01
    0.7044058337E+02    0.1589663454E+02   -0.1137017967E+01    0.3275390802E+01    0.1037691517E+01    0.1649131263E+01    0.8220404824E+00    0.5322801409E+01
    0.7363078689E+02    0.1600784553E+02   -0.1143335463E+01    0.3208705391E+01    0.1039558802E+01    0.1631216684E+01    0.8169203257E+00    0.5212018228E+01
    0.7684886316E+02    0.1611601857E+02   -0.1148436924E+01    0.3147168763E+01    0.1040232076E+01    0.1613275150E+01    0.8116261308E+00    0.5105506363E+01
    0.8009393877E+02    0.1622143312E+02   -0.1152516928E+01    0.3089998076E+01    0.1039909871E+01    0.1595415826E+01    0.8061641565E+00    0.5003267564E+01
    0.8336522178E+02    0.1632432877E+02   -0.1155729406E+01    0.3036684432E+01    0.1038748906E+01    0.1577723057E+01    0.8005435259E+00    0.4905210523E+01
    0.8666199187E+02    0.1642492744E+02   -0.1158195333E+01    0.2986780316E+01    0.1036871946E+01    0.1560221499E+01    0.7947801422E+00    0.4811173126E+01
    0.8998359171E+02    0.1652344963E+02   -0.1160007466E+01    0.2939791259E+01    0.1034373020E+01    0.1542961769E+01    0.7888884719E+00    0.4720928738E+01
    0.9332941967E+02    0.1662009481E+02   -0.1161239316E+01    0.2895286529E+01    0.1031326019E+01    0.1526024005E+01    0.7828831623E+00    0.4634196681E+01
    0.9669892319E+02    0.1671501154E+02   -0.1161956028E+01    0.2853006521E+01    0.1027795149E+01    0.1509419808E+01    0.7767830391E+00    0.4550683426E+01
    0.1000915933E+03    0.1680830522E+02   -0.1162218807E+01    0.2812723920E+01    0.1023840424E+01    0.1493095916E+01    0.7706010620E+00    0.4470136349E+01
    0.1035069596E+03    0.1690006608E+02   -0.1162086715E+01    0.2774099523E+01    0.1019520417E+01    0.1477003759E+01    0.7643379393E+00    0.4392343654E+01
    0.1069445860E+03    0.1699037292E+02   -0.1161616687E+01    0.2736780933E+01    0.1014892425E+01    0.1461128643E+01    0.7579911872E+00    0.4317146311E+01
    0.1104040671E+03    0.1707930195E+02   -0.1160859276E+01    0.2700533675E+01    0.1010007390E+01    0.1445491725E+01    0.7515637279E+00    0.4244436108E+01
    0.1138850245E+03    0.1716693882E+02   -0.1159852854E+01    0.2665280237E+01    0.1004903363E+01    0.1430141696E+01    0.7450642333E+00    0.4174079688E+01
    0.1173871046E+03    0.1725335609E+02   -0.1158624357E+01    0.2631017937E+01    0.9996061350E+00    0.1415146608E+01    0.7385016005E+00    0.4105884735E+01
    0.1209099755E+03    0.1733860818E+02   -0.1157195666E+01    0.2597745116E+01    0.9941357856E+00    0.1400535546E+01    0.7318796159E+00    0.4039636161E+01
    0.1244533251E+03    0.1742275143E+02   -0.1155587861E+01    0.2565372702E+01    0.9885111951E+00    0.1386250675E+01    0.7251988441E+00    0.3975142385E+01
    0.1280168589E+03    0.1750584002E+02   -0.1153820659E+01    0.2533751039E+01    0.9827500846E+00    0.1372212077E+01    0.7184602494E+00    0.3912236943E+01
    0.1316002986E+03    0.1758791715E+02   -0.1151909423E+01    0.2502783753E+01    0.9768661219E+00    0.1358382852E+01    0.7116640456E+00    0.3850766999E+01
    0.1352033805E+03    0.1766901923E+02   -0.1149861798E+01    0.2472438876E+01    0.9708653512E+00    0.1344759294E+01    0.7048089786E+00    0.3790608737E+01
    0.1388258536E+03    0.1774917604E+02   -0.1147678852E+01    0.2442661308E+01    0.9647474510E+00    0.1331309476E+01    0.6978927273E+00    0.3731690396E+01
    0.1424674795E+03    0.1782841318E+02   -0.1145361926E+01    0.2413365027E+01    0.9585128673E+00    0.1317979258E+01    0.6909148062E+00    0.3673964959E+01
    0.1461280304E+03    0.1790675216E+02   -0.1142917150E+01    0.2384511870E+01    0.9521675783E+00    0.1304739837E+01    0.6838840691E+00    0.3617358072E+01
    0.1498072884E+03    0.1798421179E+02   -0.1140354768E+01    0.2356060259E+01    0.9457216831E+00    0.1291606126E+01    0.6768140784E+00    0.3561772844E+01
    0.1535050450E+03    0.1806082490E+02   -0.1137687171E+01    0.2327910779E+01    0.9391868819E+00    0.1278599640E+01    0.6697059602E+00    0.3507108934E+01
    0.1572211000E+03    0.1813664557E+02   -0.1134927737E+01    0.2299946839E+01    0.9325753048E+00    0.1265703705E+01    0.6625493242E+00    0.3453296531E+01
    0.1609552610E+03    0.1821172314E+02   -0.1132086241E+01    0.2272138938E+01    0.9258957033E+00    0.1252853965E+01    0.6553431597E+00    0.3400307145E+01
    0.1647073427E+03    0.1828606876E+02   -0.1129164613E+01    0.2244581745E+01    0.9191499050E+00    0.1239981193E+01    0.6480981837E+00    0.3348089396E+01
    0.1684771662E+03    0.1835966945E+02   -0.1126159923E+01    0.2217307014E+01    0.9123354594E+00    0.1227040665E+01    0.6408163307E+00    0.3296543342E+01
    0.1722645593E+03    0.1843252510E+02   -0.1123067336E+01    0.2190210071E+01    0.9054480985E+00    0.1214004844E+01    0.6334885317E+00    0.3245540929E+01
    0.1760693548E+03    0.1850464383E+02   -0.1119878569E+01    0.2163217901E+01    0.8984803246E+00    0.1200881157E+01    0.6261111732E+00    0.3194945899E+01
    0.1798913913E+03    0.1857603253E+02   -0.1116583995E+01    0.2136329887E+01    0.8914229092E+00    0.1187727913E+01    0.6186893656E+00    0.3144662578E+01
    0.1837305123E+03    0.1864670505E+02   -0.1113176830E+01    0.2109559280E+01    0.8842684896E+00    0.1174617399E+01    0.6112319632E+00    0.3094676786E+01
    0.1875865656E+03    0.1871667236E+02   -0.1109655679E+01    0.2082964643E+01    0.8770146409E+00    0.1161594238E+01    0.6037479737E+00    0.3045028256E+01
    0.1914594038E+03    0.1878593464E+02   -0.1106028171E+01    0.2056592160E+01    0.8696678513E+00    0.1148638991E+01    0.5962370087E+00    0.2995755583E+01
    0.1953488832E+03    0.1885449359E+02   -0.1102307978E+01    0.2030362628E+01    0.8622410128E+00    0.1135683622E+01    0.5886870230E+00    0.2946863206E+01
    0.1992548642E+03    0.1892235297E+02   -0.1098505849E+01    0.2004185762E+01    0.8547451088E+00    0.1122702424E+01    0.5810885946E+00    0.2898330588E+01
    0.2031772106E+03    0.1898951991E+02   -0.1094627554E+01    0.1978015350E+01    0.8471863975E+00    0.1109714367E+01    0.5734431896E+00    0.2850152638E+01
    0.2071157898E+03    0.1905601378E+02   -0.1090675822E+01    0.1951838565E+01    0.8395677895E+00    0.1096734624E+01    0.5657562358E+00    0.2802340824E+01
    0.2110704724E+03    0.1912186206E+02   -0.1086650469E+01    0.1925630644E+01    0.8318890439E+00    0.1083767371E+01    0.5580320828E+00    0.2754900414E+01
    0.2150411320E+03    0.1918708721E+02   -0.1082548839E+01    0.1899352275E+01    0.8241470560E+00    0.1070829306E+01    0.5502763037E+00    0.2707840523E+01
    0.2190276452E+03    0.1925169117E+02   -0.1078367760E+01    0.1872993136E+01    0.8163376099E+00    0.1057937095E+01    0.5424933371E+00    0.2661199395E+01
    0.2230298912E+03    0.1931566085E+02   -0.1074105421E+01    0.1846574596E+01    0.8084578358E+00    0.1045075231E+01    0.5346808725E+00    0.2615009574E+01
    0.2270477520E+03    0.1937898633E+02   -0.1069761452E+01    0.1820171533E+01    0.8005070646E+00    0.1032158959E+01    0.5268331951E+00    0.2569256043E+01
    0.2310811122E+03    0.1944166669E+02   -0.1065335752E+01    0.1793897298E+01    0.7924864557E+00    0.1019092856E+01    0.5189478117E+00    0.2523894665E+01
    0.2351298586E+03    0.1950370589E+02   -0.1060832060E+01    0.1767786772E+01    0.7844018290E+00    0.1005847916E+01    0.5110261127E+00    0.2478881808E+01
    0.2391938804E+03    0.1956510761E+02   -0.1056260895E+01    0.1741759653E+01    0.7762658324E+00    0.9924600512E+00    0.5030702341E+00    0.2434194744E+01
    0.2432730690E+03    0.1962588216E+02   -0.1051635526E+01    0.1715712324E+01    0.7680937322E+00    0.9790051446E+00    0.4950793387E+00    0.2389832396E+01
    0.2473673179E+03    0.1968605983E+02   -0.1046967291E+01    0.1689581085E+01    0.7598982040E+00    0.9655483257E+00    0.4870491261E+00    0.2345797415E+01
    0.2514765227E+03    0.1974568569E+02   -0.1042265395E+01    0.1663366223E+01    0.7516891147E+00    0.9521240604E+00    0.4789770531E+00    0.2302086838E+01
    0.2556005809E+03    0.1980479476E+02   -0.1037541605E+01    0.1637139197E+01    0.7434786945E+00    0.9387362583E+00    0.4708668267E+00    0.2258710280E+01
    0.2597393918E+03    0.1986339984E+02   -0.1032814527E+01    0.1610984432E+01    0.7352863159E+00    0.9253655948E+00    0.4627244776E+00    0.2215693487E+01
    0.2638928566E+03    0.1992149418E+02   -0.1028106954E+01    0.1584957180E+01    0.7271367707E+00    0.9119798943E+00    0.4545528467E+00    0.2173049943E+01
    0.2680608784E+03    0.1997905136E+02   -0.1023439605E+01    0.1559079270E+01    0.7190545691E+00    0.8985170394E+00    0.4463542688E+00    0.2130781809E+01
    0.2722433616E+03    0.2003603005E+02   -0.1018825667E+01    0.1533339587E+01    0.7110582942E+00    0.8849430383E+00    0.4381324622E+00    0.2088886358E+01
    0.2764402126E+03    0.2009239426E+02   -0.1014267859E+01    0.1507685611E+01    0.7031565354E+00    0.8712807033E+00    0.4298879803E+00    0.2047355124E+01
    0.2806513393E+03    0.2014812384E+02   -0.1009758623E+01    0.1482087427E+01    0.6953471530E+00    0.8575741538E+00    0.4216171422E+00    0.2006180222E+01
    0.2848766509E+03    0.2020320651E+02   -0.1005282880E+01    0.1456565821E+01    0.6876193635E+00    0.8438880939E+00    0.4133151741E+00    0.1965353050E+01
    0.2891160582E+03    0.2025763030E+02   -0.1000821616E+01    0.1431151004E+01    0.6799564597E+00    0.8303113531E+00    0.4049800193E+00    0.1924858006E+01
    0.2933694737E+03    0.2031137617E+02   -0.9963560993E+00    0.1405884869E+01    0.6723398291E+00    0.8169260544E+00    0.3966143562E+00    0.1884671843E+01
    0.2976368109E+03    0.2036442004E+02   -0.9918723969E+00    0.1380797011E+01    0.6647542681E+00    0.8037622294E+00    0.3882218100E+00    0.1844775602E+01
    0.3019179849E+03    0.2041673936E+02   -0.9873639950E+00    0.1355866081E+01    0.6571916196E+00    0.7907971623E+00    0.3798030784E+00    0.1805169915E+01
    0.3062129120E+03    0.2046830683E+02   -0.9828319844E+00    0.1331099723E+01    0.6496518665E+00    0.7779788999E+00    0.3713570771E+00    0.1765886877E+01
    0.3105215096E+03    0.2051909514E+02   -0.9782837316E+00    0.1306541974E+01    0.6421421815E+00    0.7652800980E+00    0.3628836464E+00    0.1726977681E+01
    0.3148436968E+03    0.2056909113E+02   -0.9737318618E+00    0.1282217281E+01    0.6346753172E+00    0.7527165862E+00    0.3543834478E+00    0.1688481337E+01
    0.3191793936E+03    0.2061828990E+02   -0.9691921428E+00    0.1258111524E+01    0.6272671532E+00    0.7403045861E+00    0.3458565124E+00    0.1650415399E+01
    0.3235285210E+03    0.2066667846E+02   -0.9646791395E+00    0.1234208674E+01    0.6199329764E+00    0.7280282346E+00    0.3373031714E+00    0.1612796503E+01
    0.3278910016E+03    0.2071423476E+02   -0.9602030073E+00    0.1210486091E+01    0.6126847025E+00    0.7158760265E+00    0.3287229353E+00    0.1575658629E+01
    0.3322667587E+03    0.2076093962E+02   -0.9557693806E+00    0.1186888924E+01    0.6055301745E+00    0.7038893603E+00    0.3201143947E+00    0.1539038361E+01
    0.3366557169E+03    0.2080678023E+02   -0.9513824500E+00    0.1163375653E+01    0.5984750396E+00    0.6921148615E+00    0.3114794601E+00    0.1502966306E+01
    0.3410578018E+03    0.2085174974E+02   -0.9470478467E+00    0.1139952697E+01    0.5915256422E+00    0.6805578352E+00    0.3028202123E+00    0.1467478796E+01
    0.3454729401E+03    0.2089584985E+02   -0.9427725975E+00    0.1116652627E+01    0.5846898753E+00    0.6692036439E+00    0.2941331245E+00    0.1432614064E+01
    0.3499010593E+03    0.2093908113E+02   -0.9385628923E+00    0.1093516663E+01    0.5779755951E+00    0.6580329177E+00    0.2854163542E+00    0.1398403302E+01
    0.3543420882E+03    0.2098142723E+02   -0.9344212938E+00    0.1070608612E+01    0.5713880318E+00    0.6470270414E+00    0.2766771402E+00    0.1364867540E+01
    0.3587959563E+03    0.2102285814E+02   -0.9303462809E+00    0.1048008910E+01    0.5649288379E+00    0.6361930273E+00    0.2679223144E+00    0.1332019103E+01
    0.3632625941E+03    0.2106334835E+02   -0.9263363515E+00    0.1025766387E+01    0.5585994772E+00    0.6255492983E+00    0.2591488495E+00    0.1299863869E+01
    0.3677419332E+03    0.2110287751E+02   -0.9223953504E+00    0.1003887161E+01    0.5524065508E+00    0.6150994609E+00    0.2503509714E+00    0.1268403834E+01
    0.3722339057E+03    0.2114141700E+02   -0.9185329121E+00    0.9823336696E+00    0.5463627337E+00    0.6048428754E+00    0.2415299120E+00    0.1237654786E+01
    0.3767384451E+03    0.2117893046E+02   -0.9147590281E+00    0.9610487093E+00    0.5404815032E+00    0.5947999639E+00    0.2326909800E+00    0.1207648622E+01
