##
##Surface Skin-Friction Direction from Oil-Flow Visualization
##      CASE A.S1
## ---------------------
## X(mm)  X(in)   B(deg)
  15.9   0.625  25.3
  25.4   1.0    20.5
  38.1   1.5    18.7
  54.0   2.125  13.5
  82.6   3.25   11.8
 104.8   4.125  10.0
 117.5   4.625   9.0
  28.6   1.125  21.0
  44.5   1.75   16.8
  57.15  2.25   14.0
  79.4   3.125  13.0
  95.3   3.75   11.0
 117.5   4.625   9.8
 139.7   5.5     8.8
   8.6   0.34    30.5
  12.7   0.5     27.8
  38.1   1.5     17.8
  63.5   2.5     13.0
  83.8   3.3     11.0
 101.6   4.0      9.8
 127.0   5.0      9.3
 152.4   6.0      8.0
 185.4   7.3      8.8
 223.5   8.8      7.7
 269.2  10.6      7.5
 292.1  11.5      6.8
 360.7  14.2      6.2
 406.4  16.0      6.3
 469.9  18.5      4.8
 514.4  20.25     4.9
 577.9  22.75     3.8
 641.4  25.25     4.0
   6.4   0.25    33.5
  12.7   0.5     27.2
   6.4   0.25    33.0
   9.1   0.36    30.2
   9.5   0.375   30.5
