#
#Skin-Friction Measurements with Laser Oil-Flow Interferometer
#      CASE A.S1
# --------------------------------
#  X(mm)  X(in)    Cfx         Cfz   
   6.4   0.25   0.00396      0.00257
  12.7   0.50   0.00399      0.00208
  25.4   1.00   0.00373      0.00147
  50.8   2.00   0.00361      0.00097
 101.6   4.00   0.00351      0.00065
 152.4   6.00   0.00331      0.00048
 228.6   9.00   0.00327      0.00044
 304.8  12.00   0.00324      0.00037
 457.2  18.00   0.00302      0.00027
 609.6  24.00   0.00316      0.00022
