##
##    SURFACE PRESSURE DISTRIBUTIONS
##              CASE B.S0
##              ---------
##     X(mm)       Cp    
   -914.400     0.007
   -762.000    -0.005
   -609.600     0.000
   -457.200     0.000
   -203.200     0.053
   -152.400     0.133
   -101.600     0.226
    -50.800     0.325
      0.000     0.388
      3.175     0.403
      6.350     0.405
     12.700     0.410
     19.050     0.410
     25.400     0.417
     38.100     0.430
     50.800     0.439
     76.200     0.456
    101.600     0.471
    127.000     0.488
    152.400     0.500
    177.800     0.507
    203.200     0.519
    228.600     0.532
    254.000     0.539
    304.800     0.551
    381.000     0.568
    457.200     0.570
    533.400     0.549
    609.600     0.481
    609.854     0.483
    660.400     0.410
    711.200     0.330
    762.000     0.274
    812.800     0.267
