##
##    SURFACE PRESSURE DISTRIBUTIONS
##              CASE B.S1
##              ---------
##     X(mm)       Cp
   -914.400     0.017
   -762.000     0.005
   -609.600     0.002
   -457.200     0.000
      3.175     0.387
      6.350     0.389
     12.700     0.392
     19.050     0.404
     25.400     0.406
     38.100     0.421
     50.800     0.430
     76.200     0.452
    101.600     0.469
    127.000     0.483
    152.400     0.500
    177.800     0.510
    203.200     0.522
    228.600     0.529
    254.000     0.541
    304.800     0.550
    381.000     0.565
    457.200     0.565
    533.400     0.543
    609.600     0.469
    609.854     0.471
    660.400     0.385
    711.200     0.308
    762.000     0.262
    812.800     0.248
