##
##    SURFACE PRESSURE DISTRIBUTIONS
##              CASE C.S0
##              ---------
##     X(mm)       Cp
   -914.400     0.002
   -762.000     0.000
   -609.600    -0.008
   -457.200     0.000
   -355.600     0.016
   -304.800    -0.016
   -254.000     0.016
   -203.200     0.091
   -152.400     0.201
   -101.600     0.311
    -50.800     0.381
      3.175     0.452
      6.350     0.452
     12.700     0.452
     19.050     0.452
     25.400     0.460
     38.100     0.467
     50.800     0.475
     76.200     0.480
    101.600     0.490
    127.000     0.498
    152.400     0.507
    177.800     0.517
    203.200     0.530
    228.600     0.538
    254.000     0.550
    304.800     0.565
    381.000     0.585
    457.200     0.593
    533.400     0.577
    609.600     0.510
    609.854     0.507
    660.400     0.440
    711.200     0.350
    762.000     0.295
    812.800     0.282
