##           
##    SURFACE PRESSURE DISTRIBUTIONS
##              CASE D.S0
##              ---------
##     X(mm)       Cp
   -914.400    -0.017
   -762.000    -0.012
   -609.600    -0.010
   -457.200     0.000
      3.175     0.167
      6.350     0.172
     12.700     0.184
     19.050     0.197
     25.400     0.206
     38.100     0.236
     50.800     0.263
     76.200     0.310
    101.600     0.356
    127.000     0.391
    152.400     0.418
    177.800     0.440
    203.200     0.455
    228.600     0.469
    254.000     0.482
    304.800     0.501
    381.000     0.528
    457.200     0.550
    533.400     0.555
    609.600     0.516
    609.854     0.506
    660.400     0.455
    711.200     0.369
    762.000     0.297
    812.800     0.273
