##
##    SURFACE PRESSURE DISTRIBUTIONS
##              CASE D.S1
##              ---------
##     X(mm)       Cp
   -914.400    -0.012
   -762.000    -0.010
   -609.600    -0.005
   -457.200     0.000
      3.175     0.145
      6.350     0.155
     12.700     0.160
     19.050     0.174
     25.400     0.189
     38.100     0.214
     50.800     0.238
     76.200     0.292
    101.600     0.339
    127.000     0.376
    152.400     0.413
    177.800     0.442
    203.200     0.467
    228.600     0.486
    254.000     0.506
    304.800     0.528
    381.000     0.555
    457.200     0.565
    533.400     0.555
    609.600     0.509
    609.854     0.494
    660.400     0.445
    711.200     0.361
    762.000     0.287
    812.800     0.268
