#
#            Case A.S1       Station=  1
#            X= -330.2 mm      Tunnel Run#= 632   Ue/Uref=   1.000      Date= 426.88  Time=15.21
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ue^2 ----->|  |<------------- normalized by 0.0001 Ue^3 --------------->|
#LR  Y(mm)  U/Ue   V/Ue   W/Ue    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  1.000   0.00   0.00   0.00  -2.44   2.66   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 2  0.25  0.568  0.013  0.356  15.26   3.34  19.13  -1.80   1.79  -7.60  -2.29 -0.10 -6.94  1.15  0.38  1.96  5.37  0.19  5.24 -1.13
 3  0.38  0.608  0.012  0.315  13.16   4.07  16.04  -1.83   1.92  -5.19  -1.43 -0.55 -2.90  0.99  0.43  1.51  2.59  0.36  2.73 -0.73
 4  0.51  0.634  0.000  0.293  12.20   3.94  14.66  -1.99   1.94  -4.27  -1.49 -0.62 -2.82  1.09  0.74  2.01  2.18  0.76  3.32 -1.01
 5  0.63  0.650  0.002  0.280  11.74   4.13  14.14  -1.99   2.01  -4.12  -1.38 -0.60 -2.32  0.99  0.76  1.40  1.58  0.40  2.60 -0.75
 6  0.76  0.663  0.002  0.263  11.20   4.15  13.84  -1.98   1.97  -3.85  -0.56 -0.43 -1.92  0.96  0.65  1.43  1.00  0.38  2.53 -0.50
 7  1.02  0.683  0.002  0.240  11.01   4.04  13.02  -1.99   1.75  -4.10  -1.30 -0.60 -1.90  0.94  0.72  1.53  1.44  0.53  2.40 -0.63
 8  1.27  0.702  0.003  0.224  10.96   4.16  12.32  -2.17   2.07  -4.20  -1.49 -0.62 -1.44  1.06  0.80  1.47  1.28  0.55  2.01 -0.59
 9  1.52  0.712  0.001  0.211  10.07   4.27  11.77  -2.11   2.18  -4.16  -1.70 -0.54 -1.66  1.04  0.91  1.34  1.36  0.61  2.61 -0.52
10  1.78  0.728  0.002  0.199   9.99   4.20  11.06  -2.13   2.13  -3.99  -1.64 -0.63 -1.63  0.99  0.70  1.30  1.56  0.61  2.12 -0.67
