#
#            Case A.S1       Station=  4
#            X=   6.3 mm      Tunnel Run#= 635   Ue/Uref=   0.997      Date= 427.88  Time=13.46
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ue^2 ----->|  |<------------- normalized by 0.0001 Ue^3 --------------->|
#LR  Y(mm)  U/Ue   V/Ue   W/Ue    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -1.96  -1.21   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 2  0.25  0.529  0.019  0.296  12.00   2.77  13.23  -1.87  -0.10  -1.40   0.87 -0.04  0.18  0.29 -0.06  0.56 -2.53 -0.58 -1.48  0.94
 3  0.38  0.594  0.021  0.288  10.80   3.24  13.27  -1.49   0.41  -2.55   1.16 -0.15 -0.46  0.56  0.16  0.60 -0.18 -0.37 -1.45  0.54
 4  0.51  0.629  0.011  0.281  10.54   3.32  13.01  -1.48   1.19  -3.01   1.01 -0.13 -0.78  0.45  0.26  0.33  0.31 -0.32  0.34  0.35
 5  0.63  0.651  0.010  0.269  10.20   3.42  12.55  -1.34   1.54  -3.21   0.90 -0.08 -0.76  0.43  0.05  0.37  0.50 -0.06  0.94  0.12
 6  0.76  0.666  0.011  0.258  10.67   3.72  12.37  -1.50   1.75  -3.39   0.86 -0.09 -1.16  0.42  0.41  0.54  0.80  0.16  1.48  0.07
 7  1.02  0.682  0.009  0.240  11.20   4.00  12.51  -1.91   2.15  -3.53   0.01 -0.43 -1.20  0.54  0.58  0.83  0.84  0.55  1.59 -0.28
 8  1.27  0.699  0.008  0.219  10.75   4.02  11.90  -2.00   2.33  -3.83  -0.33 -0.58 -1.14  0.59  0.69  1.28  0.52  0.70  1.88 -0.23
 9  1.52  0.715  0.011  0.205  10.76   4.11  11.71  -2.14   2.40  -4.01  -0.88 -0.63 -1.72  0.91  1.00  1.34  1.36  0.78  2.61 -0.49
10  1.78  0.728  0.009  0.194  10.60   4.11  11.34  -2.17   2.49  -3.96  -1.86 -0.82 -1.97  1.15  1.03  1.75  1.67  1.05  2.89 -0.66
11  2.03  0.735  0.010  0.183  10.21   4.04  11.10  -2.19   2.48  -4.04  -2.15 -0.82 -1.67  1.11  0.83  1.42  1.69  0.86  3.18 -0.64
12  2.29  0.748  0.009  0.172  10.13   4.16  10.84  -2.33   2.37  -3.82  -2.31 -0.82 -1.91  1.30  0.82  1.67  1.71  1.01  2.88 -0.76
13  2.54  0.755  0.009  0.165   9.60   4.17  10.52  -2.22   2.45  -3.87  -2.00 -0.79 -2.03  1.20  1.01  1.65  1.61  1.06  3.09 -0.87
14  2.79  0.760  0.011  0.161   9.47   4.21  10.21  -2.27   2.36  -3.77  -1.41 -0.86 -1.55  1.23  0.87  1.54  1.40  0.90  2.94 -0.83
15  3.30  0.773  0.011  0.154   9.36   4.35  10.17  -2.38   2.72  -3.93  -1.95 -0.94 -1.83  1.25  1.05  1.96  1.73  1.36  3.53 -1.02
16  3.81  0.782  0.010  0.147   9.15   4.47   9.36  -2.39   2.47  -3.59  -2.37 -0.90 -1.55  1.26  1.03  1.70  1.67  1.15  2.83 -0.82
17  4.32  0.791  0.011  0.139   8.61   4.59   8.95  -2.44   2.42  -3.30  -1.92 -0.79 -1.19  0.97  1.18  1.40  1.27  1.08  2.53 -0.63
18  4.83  0.795  0.010  0.133   8.37   4.51   8.79  -2.39   2.46  -3.21  -2.11 -0.87 -1.29  1.08  1.11  1.69  1.26  1.15  2.88 -0.80
19  5.59  0.805  0.010  0.127   7.95   4.51   7.77  -2.31   2.21  -2.78  -1.75 -0.76 -1.03  0.97  1.17  1.09  1.10  0.98  1.91 -0.60
20  6.35  0.814  0.012  0.123   7.73   4.63   7.89  -2.37   2.36  -2.71  -1.75 -0.74 -0.91  0.91  1.08  1.20  1.01  0.97  1.85 -0.63
21  7.11  0.821  0.011  0.117   7.14   4.46   7.43  -2.13   2.11  -2.26  -1.43 -0.63 -0.57  0.63  1.05  0.83  0.75  0.85  1.54 -0.37
22  8.38  0.834  0.010  0.109   6.88   4.43   7.11  -2.14   2.23  -2.26  -1.63 -0.77 -0.88  0.81  1.13  1.01  0.92  0.92  1.68 -0.57
23 10.16  0.854  0.012  0.100   6.45   4.37   6.69  -2.10   2.04  -1.98  -1.66 -0.72 -0.49  0.72  1.12  0.70  0.64  0.70  1.47 -0.36
24 12.70  0.880  0.014  0.083   5.77   3.78   5.81  -1.82   1.80  -1.65  -1.59 -0.67 -0.61  0.67  1.11  0.72  0.62  0.71  1.58 -0.33
25 15.24  0.904  0.015  0.063   5.16   3.51   5.16  -1.76   1.69  -1.62  -2.13 -0.82 -0.82  0.88  1.31  0.89  0.83  0.87  1.64 -0.48
26 17.78  0.930  0.014  0.045   4.26   2.81   4.38  -1.32   1.34  -1.37  -1.86 -0.75 -0.91  0.77  1.09  0.99  0.83  0.76  1.95 -0.48
27 20.32  0.950  0.014  0.028   3.37   2.30   3.36  -1.11   1.03  -1.12  -1.95 -0.70 -0.82  0.79  1.07  0.79  0.81  0.71  1.81 -0.41
28 22.86  0.969  0.014  0.013   2.36   1.85   2.33  -0.78   0.78  -0.79  -1.60 -0.60 -0.73  0.66  0.95  0.68  0.67  0.61  1.46 -0.38
29 25.40  0.984  0.014  0.002   1.46   1.29   1.52  -0.45   0.47  -0.52  -0.95 -0.37 -0.48  0.41  0.61  0.45  0.46  0.38  1.00 -0.21
30 27.94  0.994  0.013 -0.007   0.82   0.85   0.78  -0.27   0.23  -0.22  -0.57 -0.26 -0.21  0.29  0.46  0.25  0.25  0.23  0.43 -0.11
31 30.48  0.997  0.013 -0.011   0.39   0.52   0.40  -0.14   0.10  -0.08  -0.21 -0.14 -0.07  0.16  0.29  0.12  0.07  0.09  0.15 -0.04
32 33.02  1.000  0.013 -0.013   0.20   0.31   0.23  -0.04   0.04  -0.03  -0.06 -0.03 -0.02  0.06  0.14  0.06  0.02  0.04  0.05 -0.01
33 38.10  1.000  0.012 -0.013   0.07   0.11   0.12   0.00   0.00  -0.01   0.00  0.00  0.00  0.00  0.01  0.00  0.00  0.00  0.01  0.00
34 50.80  1.002  0.013 -0.013   0.05   0.08   0.11   0.00   0.00  -0.02   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
