#
#            Case A.S1       Station=  5
#            X=  12.7 mm      Tunnel Run#= 636   Ue/Uref=   0.998      Date= 428.88  Time= 9.06
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ue^2 ----->|  |<------------- normalized by 0.0001 Ue^3 --------------->|
#LR  Y(mm)  U/Ue   V/Ue   W/Ue    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -1.82  -0.85   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 2  0.25  0.519  0.015  0.245  11.57   2.40  10.01  -1.68  -0.28   1.07  -0.74  0.09 -0.09  0.51  0.27  0.42 -1.58 -0.21 -0.76  0.64
 3  0.38  0.580  0.017  0.253  10.26   2.95  10.66  -1.78   0.16  -0.80  -0.29  0.03  0.13  0.47  0.08  0.50 -0.88 -0.41 -1.55  0.66
 4  0.51  0.616  0.006  0.252   9.97   2.85  10.91  -1.70   0.35  -1.66   0.22 -0.20  0.17  0.41  0.25  0.36 -0.18 -0.44 -1.88  0.43
 5  0.63  0.641  0.005  0.247   9.48   3.06  10.81  -1.62   0.79  -2.06   0.45 -0.26 -0.28  0.47  0.15  0.09  0.11 -0.32 -0.79  0.31
 6  0.76  0.663  0.006  0.243   9.65   3.10  10.86  -1.47   1.25  -2.43   0.79 -0.11 -0.27  0.33  0.22  0.37  0.17 -0.23 -0.52  0.21
 7  1.02  0.686  0.007  0.231   9.08   3.35  10.80  -1.43   1.64  -2.74   0.85 -0.18 -0.33  0.33  0.27  0.39  0.31  0.11  0.29  0.03
 8  1.27  0.704  0.008  0.217   9.52   3.74  11.37  -1.65   2.03  -3.12   0.04 -0.29 -0.65  0.46  0.41  0.46  0.56  0.22  0.88 -0.06
 9  1.52  0.717  0.009  0.210   9.89   3.73  11.21  -1.85   2.20  -3.44  -0.24 -0.28 -1.21  0.40  0.45  0.60  0.86  0.35  1.72 -0.18
10  1.78  0.727  0.009  0.198  10.08   3.91  11.37  -1.94   2.30  -3.83  -0.81 -0.51 -1.13  0.75  0.63  1.11  1.22  0.64  1.71 -0.44
11  2.03  0.737  0.009  0.186  10.07   4.06  10.90  -2.07   2.32  -3.95  -0.98 -0.61 -1.54  1.03  0.64  1.16  1.53  0.73  2.47 -0.55
12  2.29  0.743  0.009  0.179   9.90   4.22  10.75  -2.17   2.43  -3.93  -1.43 -0.81 -1.51  0.98  0.94  1.34  1.56  0.93  2.25 -0.66
