#
#            Case A.S1       Station=  6
#            X=  25.4 mm      Tunnel Run#= 637   Ue/Uref=   0.999      Date= 428.88  Time=10.45
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ue^2 ----->|  |<------------- normalized by 0.0001 Ue^3 --------------->|
#LR  Y(mm)  U/Ue   V/Ue   W/Ue    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -1.74  -0.69   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 2  0.25  0.528  0.016  0.184  11.60   2.01   9.20  -1.62  -0.37   1.31  -1.57 -0.04  0.41  0.59 -0.07  0.41 -1.53 -0.12 -0.92  0.55
 3  0.38  0.576  0.016  0.196  10.02   2.55   9.54  -1.64  -0.08   0.15  -0.59 -0.09  0.64  0.51  0.04  0.44 -0.83 -0.12 -1.45  0.51
 4  0.51  0.611  0.005  0.203   9.29   2.63   9.24  -1.75  -0.11  -0.64  -0.03 -0.27  0.40  0.56  0.15  0.29 -0.37 -0.25 -0.60  0.38
 5  0.63  0.631  0.006  0.201   8.84   2.84   9.35  -1.79   0.33  -1.53   0.63 -0.17  0.16  0.22  0.21  0.21  0.11 -0.02 -0.45  0.19
 6  0.76  0.651  0.005  0.203   8.82   2.90   9.55  -1.77   0.49  -1.71   0.67 -0.07  0.16  0.25  0.14  0.16  0.19 -0.19 -0.43  0.22
 7  1.02  0.680  0.008  0.197   8.69   3.13   9.35  -1.69   0.76  -2.06   0.50 -0.16 -0.55  0.30  0.28  0.26  0.37 -0.09  0.60  0.19
 8  1.27  0.703  0.008  0.194   8.79   3.23   9.27  -1.69   1.12  -2.34   0.24 -0.34 -0.32  0.50  0.39  0.33  0.34  0.02  0.40  0.12
 9  1.52  0.724  0.009  0.188   8.64   3.30   9.58  -1.60   1.34  -2.51   0.44 -0.21 -0.72  0.40  0.33  0.47  0.67  0.10  0.82  0.06
10  1.78  0.737  0.008  0.182   8.64   3.39   9.63  -1.50   1.67  -2.69  -0.14 -0.28 -0.74  0.66  0.38  0.41  0.61  0.24  0.83 -0.12
11  2.03  0.749  0.008  0.172   8.57   3.55   9.45  -1.59   1.86  -2.82  -0.36 -0.38 -0.92  0.65  0.41  0.72  0.73  0.47  1.31 -0.23
12  2.29  0.755  0.010  0.168   8.59   3.67   9.69  -1.53   2.04  -3.11  -0.47 -0.39 -0.83  0.61  0.50  0.74  1.00  0.50  1.49 -0.34
13  2.54  0.760  0.009  0.164   8.59   3.69   9.65  -1.65   2.05  -3.14  -0.28 -0.34 -1.01  0.47  0.53  0.93  0.91  0.60  1.70 -0.32
14  2.79  0.769  0.011  0.159   8.42   4.03   9.74  -1.88   2.32  -3.27  -0.65 -0.53 -1.06  0.73  0.65  1.08  1.00  0.79  1.57 -0.33
15  3.30  0.777  0.009  0.152   8.60   4.04   9.40  -1.89   2.35  -3.43  -1.32 -0.57 -1.21  0.86  0.69  1.08  1.24  0.82  1.92 -0.58
16  3.81  0.782  0.011  0.145   8.37   4.32   9.12  -2.06   2.39  -3.41  -0.99 -0.59 -1.13  0.70  0.88  1.12  1.04  0.94  2.27 -0.52
17  4.32  0.791  0.010  0.138   7.87   4.22   9.03  -2.06   2.35  -3.19  -1.35 -0.55 -1.10  0.83  0.83  1.51  0.99  1.07  2.53 -0.60
18  4.83  0.797  0.011  0.135   7.92   4.49   8.51  -2.22   2.38  -3.17  -1.55 -0.66 -1.16  0.90  1.05  1.17  1.21  0.97  2.15 -0.70
19  5.59  0.808  0.013  0.128   7.90   4.60   8.44  -2.33   2.47  -3.08  -1.76 -0.67 -1.08  1.01  1.12  1.25  1.28  1.00  2.44 -0.67
20  6.35  0.813  0.011  0.123   7.57   4.51   7.78  -2.30   2.38  -2.85  -1.58 -0.82 -0.99  0.90  1.10  1.17  0.94  0.92  2.08 -0.67
21  7.11  0.822  0.012  0.121   7.21   4.65   7.45  -2.28   2.44  -2.54  -1.64 -0.63 -0.89  0.79  1.04  1.01  0.93  0.97  1.95 -0.58
22  8.38  0.836  0.011  0.111   6.69   4.56   7.03  -2.16   2.16  -2.17  -1.71 -0.60 -0.70  0.72  0.94  0.73  0.81  0.77  1.64 -0.42
