#
#            Case A.S1       Station=  9
#            X= 152.4 mm      Tunnel Run#= 640   Ue/Uref=   0.993      Date= 428.88  Time=12.51
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ue^2 ----->|  |<------------- normalized by 0.0001 Ue^3 --------------->|
#LR  Y(mm)  U/Ue   V/Ue   W/Ue    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -1.65  -0.27   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 2  0.25  0.503  0.011  0.077  13.41   1.31   5.96  -1.13  -0.11   1.04  -2.31  0.02  0.42  0.47 -0.05  0.15 -0.95 -0.01  1.29  0.13
 3  0.38  0.561  0.015  0.082  11.15   1.84   6.40  -1.49  -0.11   0.34  -2.88 -0.15  0.24  0.78  0.03  0.25 -0.47  0.00  0.32  0.20
 4  0.51  0.593  0.005  0.087   9.59   1.80   6.28  -1.62  -0.17   0.17  -2.22 -0.28  0.18  0.91  0.09  0.23 -0.50  0.00  0.20  0.19
 5  0.63  0.615  0.006  0.090   8.69   1.98   6.14  -1.53  -0.23   0.15  -1.56 -0.25  0.22  0.76  0.08  0.29 -0.10 -0.09 -0.12  0.14
 6  0.76  0.633  0.006  0.090   7.92   2.19   6.09  -1.57  -0.21  -0.08  -0.66 -0.25 -0.12  0.55  0.20  0.39 -0.24 -0.09 -0.13  0.22
 7  1.02  0.657  0.007  0.093   7.44   2.24   5.87  -1.53  -0.13  -0.18  -0.37 -0.21  0.26  0.48  0.23  0.19 -0.08 -0.13 -0.22  0.16
 8  1.27  0.679  0.007  0.097   6.81   2.41   5.81  -1.52  -0.02  -0.15  -0.37 -0.19  0.12  0.41  0.33  0.27 -0.15 -0.09 -0.16  0.13
 9  1.52  0.691  0.009  0.097   6.72   2.48   5.82  -1.56   0.02  -0.37   0.00 -0.19  0.15  0.31  0.26  0.29  0.01 -0.02 -0.24  0.08
10  1.78  0.708  0.008  0.097   6.66   2.53   5.60  -1.54   0.10  -0.55  -0.16 -0.14  0.29  0.34  0.23  0.18 -0.04 -0.05  0.09  0.11
11  2.03  0.722  0.007  0.099   6.37   2.52   5.50  -1.50   0.21  -0.53   0.11 -0.14  0.39  0.24  0.15  0.20  0.02  0.03 -0.05  0.05
12  2.29  0.733  0.008  0.100   6.08   2.53   5.50  -1.47   0.20  -0.59   0.09 -0.04  0.17  0.18  0.12  0.14  0.01 -0.04 -0.11  0.11
13  2.54  0.741  0.008  0.101   6.20   2.58   5.48  -1.51   0.29  -0.68  -0.02 -0.12  0.20  0.30  0.18  0.12 -0.04 -0.03 -0.21  0.13
14  2.79  0.749  0.008  0.101   5.86   2.54   5.41  -1.50   0.24  -0.54   0.06 -0.12  0.29  0.25  0.09  0.15 -0.15 -0.09 -0.42  0.13
15  3.30  0.766  0.008  0.103   5.77   2.68   5.43  -1.42   0.47  -0.94  -0.11 -0.07  0.28  0.23  0.09  0.15  0.00 -0.06 -0.37  0.10
16  3.81  0.783  0.008  0.100   5.62   2.69   5.39  -1.39   0.46  -0.84  -0.18 -0.10  0.09  0.26  0.07  0.17  0.14 -0.04 -0.22  0.03
17  4.32  0.793  0.009  0.100   5.34   2.69   5.55  -1.37   0.64  -0.94  -0.07 -0.08  0.02  0.22  0.05  0.20  0.08  0.01  0.00  0.01
18  4.83  0.802  0.010  0.103   5.23   2.88   5.44  -1.30   0.67  -1.06  -0.07 -0.09  0.11  0.26  0.07  0.15  0.02  0.02 -0.11  0.05
19  5.59  0.816  0.010  0.103   5.07   2.95   5.45  -1.20   0.76  -1.06  -0.12 -0.08  0.01  0.24  0.08  0.18  0.24  0.03 -0.04 -0.01
20  6.35  0.827  0.012  0.103   4.95   3.04   5.37  -1.20   0.86  -1.03   0.01 -0.04 -0.08  0.15  0.09  0.13  0.30  0.04  0.13  0.03
21  7.11  0.835  0.012  0.103   4.91   3.26   5.39  -1.24   0.97  -1.16  -0.03 -0.04  0.08  0.22  0.05  0.11  0.04  0.09 -0.10  0.01
22  8.38  0.846  0.013  0.101   4.75   3.28   5.20  -1.29   1.17  -1.06  -0.11 -0.13  0.00  0.21  0.18  0.18  0.12  0.10  0.20 -0.01
23 10.16  0.858  0.015  0.099   4.60   3.56   5.29  -1.33   1.33  -1.06  -0.13 -0.07  0.01  0.13  0.28  0.12  0.03  0.18  0.21  0.00
24 12.70  0.879  0.015  0.091   4.60   3.61   5.06  -1.46   1.49  -1.19  -0.47 -0.10 -0.14  0.16  0.46  0.18  0.12  0.23  0.52 -0.03
25 15.24  0.896  0.014  0.077   4.63   3.49   4.91  -1.49   1.54  -1.22  -0.79 -0.35 -0.30  0.38  0.75  0.40  0.36  0.49  0.83 -0.18
26 17.78  0.913  0.014  0.063   4.47   3.13   4.53  -1.44   1.49  -1.35  -1.22 -0.54 -0.47  0.51  0.87  0.56  0.54  0.62  1.32 -0.28
27 20.32  0.930  0.014  0.048   3.98   2.72   3.99  -1.25   1.26  -1.27  -1.53 -0.62 -0.58  0.65  0.92  0.67  0.65  0.62  1.41 -0.31
28 22.86  0.947  0.014  0.034   3.23   2.34   3.32  -0.96   1.04  -0.96  -1.52 -0.57 -0.57  0.63  0.90  0.72  0.59  0.67  1.51 -0.28
29 25.40  0.965  0.014  0.018   2.52   1.88   2.51  -0.81   0.81  -0.85  -1.53 -0.57 -0.74  0.62  0.80  0.68  0.66  0.58  1.46 -0.32
30 27.94  0.975  0.016  0.010   1.95   1.59   1.96  -0.60   0.58  -0.63  -1.21 -0.45 -0.54  0.49  0.76  0.54  0.52  0.44  1.09 -0.24
31 30.48  0.985  0.016  0.001   1.33   1.25   1.35  -0.50   0.44  -0.44  -0.89 -0.43 -0.45  0.46  0.64  0.42  0.39  0.39  0.82 -0.22
32 33.02  0.998  0.012 -0.007   0.46   0.58   0.49  -0.14   0.13  -0.11  -0.23 -0.15 -0.11  0.15  0.27  0.14  0.09  0.13  0.19 -0.06
33 35.56  0.998  0.012 -0.009   0.29   0.38   0.31  -0.08   0.05  -0.07  -0.12 -0.06 -0.06  0.08  0.14  0.06  0.05  0.04  0.09 -0.03
34 38.10  1.000  0.013 -0.010   0.16   0.27   0.22  -0.03   0.03  -0.03  -0.03 -0.03 -0.01  0.05  0.11  0.03  0.02  0.02  0.05 -0.01
37 40.64  1.001  0.012 -0.010   0.09   0.16   0.14  -0.01   0.00  -0.02   0.00 -0.01  0.00  0.01  0.03  0.01  0.00  0.00  0.00  0.00
36 50.80  1.002  0.012 -0.011   0.05   0.08   0.10   0.00   0.00  -0.01   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
