#
#            Case A.S1       Station= 10
#            X= 228.6 mm      Tunnel Run#= 641   Ue/Uref=   0.992      Date= 428.88  Time=13.57
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ue^2 ----->|  |<------------- normalized by 0.0001 Ue^3 --------------->|
#LR  Y(mm)  U/Ue   V/Ue   W/Ue    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -1.59  -0.26   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 2  0.25  0.484  0.010  0.065  12.83   1.22   6.92  -1.11  -0.20   0.61  -1.54  0.03  0.32  0.37 -0.07  0.14 -0.58  0.01  1.55  0.11
 3  0.38  0.548  0.011  0.072  11.40   1.59   6.56  -1.31  -0.13   0.53  -2.35 -0.12  0.36  0.58  0.02  0.20 -0.35  0.02  0.63  0.07
 4  0.51  0.586  0.004  0.074   9.25   1.64   6.08  -1.41  -0.13   0.13  -1.38 -0.21  0.12  0.61  0.04  0.34 -0.41  0.04  0.25  0.06
 5  0.63  0.605  0.004  0.076   8.42   1.81   5.59  -1.44  -0.11   0.04  -1.07 -0.29  0.18  0.63  0.15  0.23 -0.14  0.00  0.38  0.02
 6  0.76  0.622  0.005  0.079   8.09   1.97   5.55  -1.41  -0.14  -0.04  -0.62 -0.22  0.33  0.47  0.17  0.25 -0.26 -0.04 -0.12  0.09
 7  1.02  0.648  0.005  0.082   7.25   2.10   5.18  -1.48  -0.13   0.06  -0.02 -0.26  0.22  0.40  0.23  0.25 -0.11 -0.01  0.05  0.06
 8  1.27  0.669  0.006  0.083   7.09   2.09   5.35  -1.49  -0.12   0.03  -0.30 -0.16  0.09  0.35  0.15  0.27 -0.11 -0.02  0.03  0.10
 9  1.52  0.686  0.007  0.085   6.92   2.23   5.16  -1.56  -0.06  -0.12  -0.28 -0.11  0.27  0.26  0.20  0.21  0.04 -0.04 -0.15  0.06
10  1.78  0.703  0.006  0.086   6.70   2.26   5.12  -1.51   0.00  -0.18  -0.19 -0.18  0.20  0.30  0.21  0.20 -0.32  0.00 -0.10  0.11
11  2.03  0.717  0.005  0.088   6.55   2.27   4.93  -1.53   0.06  -0.18  -0.46 -0.12  0.20  0.35  0.15  0.22  0.08 -0.03  0.01  0.03
12  2.29  0.726  0.008  0.088   6.32   2.36   5.07  -1.51   0.10  -0.34  -0.31 -0.15  0.22  0.29  0.22  0.24 -0.06 -0.02 -0.12  0.08
13  2.54  0.733  0.007  0.089   6.05   2.31   4.89  -1.40   0.14  -0.33  -0.29 -0.14  0.18  0.28  0.19  0.13  0.01 -0.02 -0.28  0.06
14  2.79  0.745  0.006  0.090   5.92   2.36   4.70  -1.38   0.15  -0.33  -0.44 -0.13  0.19  0.31  0.11  0.18  0.07  0.00 -0.21  0.04
15  3.30  0.756  0.008  0.091   5.80   2.46   4.84  -1.48   0.21  -0.28  -0.34 -0.15  0.23  0.39  0.22  0.15 -0.04 -0.04 -0.45  0.04
16  3.81  0.771  0.008  0.092   5.38   2.43   4.67  -1.38   0.27  -0.43  -0.22 -0.08  0.03  0.26  0.18  0.20  0.12 -0.04 -0.11  0.08
17  4.32  0.786  0.007  0.091   5.22   2.54   4.80  -1.39   0.30  -0.47  -0.34 -0.12  0.01  0.26  0.15  0.20 -0.01 -0.06 -0.21  0.11
18  4.83  0.793  0.008  0.092   5.09   2.55   4.92  -1.33   0.43  -0.56  -0.41 -0.13  0.09  0.31  0.18  0.17 -0.09  0.01 -0.09  0.06
19  5.59  0.809  0.009  0.092   4.88   2.56   4.61  -1.24   0.46  -0.57  -0.09 -0.14  0.01  0.23  0.12  0.18  0.10 -0.03 -0.15  0.06
20  6.35  0.822  0.009  0.094   4.79   2.60   4.60  -1.23   0.50  -0.52  -0.32 -0.13  0.02  0.28  0.11  0.09  0.08 -0.05 -0.30  0.11
21  7.11  0.833  0.009  0.095   4.65   2.66   4.59  -1.24   0.60  -0.65  -0.27 -0.06  0.00  0.25  0.06  0.17  0.07  0.04 -0.13  0.05
22  8.38  0.847  0.011  0.093   4.38   2.74   4.60  -1.16   0.80  -0.69  -0.29 -0.06  0.12  0.19  0.07  0.07  0.09 -0.04 -0.22  0.06
23 10.16  0.865  0.009  0.090   4.00   2.89   4.44  -1.08   0.88  -0.67  -0.14 -0.06 -0.05  0.14  0.18  0.09  0.10  0.07  0.06  0.00
24 12.70  0.883  0.011  0.087   3.95   2.98   4.23  -1.16   0.97  -0.68  -0.27 -0.06 -0.09  0.11  0.22  0.13  0.05  0.09  0.19  0.02
25 15.24  0.897  0.013  0.079   3.86   2.94   4.14  -1.13   1.13  -0.75  -0.34 -0.14 -0.06  0.13  0.41  0.22  0.09  0.20  0.40 -0.03
26 17.78  0.911  0.014  0.069   3.77   2.83   4.00  -1.18   1.14  -0.88  -0.58 -0.22 -0.15  0.24  0.54  0.31  0.18  0.27  0.66 -0.07
27 20.32  0.928  0.011  0.058   3.57   2.62   3.78  -1.15   1.17  -0.96  -0.89 -0.42 -0.40  0.43  0.73  0.53  0.33  0.47  1.06 -0.19
28 22.86  0.943  0.013  0.046   3.21   2.29   3.36  -1.01   1.00  -0.95  -1.24 -0.46 -0.47  0.52  0.71  0.57  0.44  0.47  1.21 -0.23
29 25.40  0.956  0.014  0.034   2.93   2.05   2.71  -0.96   0.86  -0.85  -1.42 -0.57 -0.58  0.65  0.84  0.59  0.59  0.51  1.31 -0.30
30 27.94  0.970  0.013  0.022   2.20   1.68   2.08  -0.68   0.65  -0.61  -1.25 -0.51 -0.49  0.53  0.75  0.52  0.44  0.47  1.06 -0.23
31 30.48  0.980  0.013  0.014   1.56   1.34   1.55  -0.52   0.45  -0.47  -1.01 -0.39 -0.43  0.46  0.63  0.42  0.39  0.35  0.90 -0.19
32 33.02  0.988  0.011  0.006   0.90   0.90   0.95  -0.28   0.28  -0.28  -0.54 -0.24 -0.26  0.24  0.45  0.28  0.24  0.25  0.55 -0.11
33 35.56  0.996  0.011  0.001   0.46   0.57   0.50  -0.15   0.14  -0.12  -0.22 -0.15 -0.10  0.14  0.31  0.14  0.10  0.15  0.22 -0.07
34 38.10  0.998  0.011 -0.001   0.24   0.36   0.30  -0.05   0.05  -0.05  -0.08 -0.04 -0.03  0.04  0.14  0.08  0.03  0.05  0.08 -0.01
35 40.64  1.000  0.011 -0.002   0.14   0.23   0.18  -0.02   0.01  -0.03  -0.01 -0.01  0.00  0.02  0.05  0.02  0.01  0.01  0.01 -0.01
36 50.80  1.002  0.012 -0.001   0.06   0.09   0.11   0.00   0.00  -0.02   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.01  0.00
