#
#            Case B.S0       Station=  1
#            X= -457.2 mm      Tunnel Run#= 688   Ue/Uref=   0.999      Date= 510.88  Time=11.45
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#          The Y-position has been corrected by adding   0.254 to each measured Y-position in this profile.
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -1.60   0.00   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.51  0.583 -0.001  0.008   8.78   1.62   5.98  -1.40  -0.35  -0.52  -1.49 -0.16 -0.15  0.60  0.02  0.15  0.13 -0.04  0.33  0.04
 2  0.63  0.608  0.000  0.006   8.03   1.92   5.62  -1.49  -0.33  -0.44  -1.32 -0.18 -0.15  0.58  0.14  0.14  0.16 -0.03  0.08  0.02
 3  0.76  0.627 -0.001  0.002   7.19   1.93   5.33  -1.34  -0.32  -0.43  -0.44 -0.11 -0.08  0.27  0.07  0.11  0.06 -0.03 -0.21  0.04
 4  0.89  0.644  0.000  0.006   6.79   2.06   5.09  -1.39  -0.32  -0.35  -0.41 -0.17 -0.11  0.31  0.26  0.20 -0.08 -0.07 -0.24  0.07
 5  1.02  0.651  0.000  0.003   7.03   2.14   4.95  -1.55  -0.32  -0.29  -0.56 -0.24  0.03  0.47  0.22  0.13 -0.04 -0.01 -0.32  0.00
 6  1.27  0.674 -0.001  0.003   6.32   2.24   4.65  -1.50  -0.26  -0.36  -0.13 -0.11  0.02  0.24  0.19  0.15 -0.02 -0.02 -0.24  0.01
 7  1.52  0.692 -0.001  0.002   5.97   2.24   4.26  -1.48  -0.22  -0.23  -0.15 -0.17 -0.11  0.19  0.28  0.17 -0.05 -0.07 -0.09  0.01
 8  1.78  0.707 -0.001  0.003   5.82   2.23   4.11  -1.48  -0.25  -0.12  -0.32 -0.15 -0.05  0.28  0.19  0.13 -0.20 -0.05 -0.12  0.06
 9  2.03  0.724 -0.001  0.002   5.58   2.27   3.78  -1.52  -0.17  -0.11  -0.41 -0.18 -0.02  0.31  0.20  0.14  0.03  0.01 -0.17  0.00
10  2.29  0.738 -0.002  0.003   5.54   2.17   3.64  -1.42  -0.08  -0.15  -0.57 -0.15 -0.11  0.30  0.17  0.14  0.02 -0.02 -0.11 -0.01
11  2.54  0.748 -0.001  0.004   5.37   2.18   3.59  -1.44  -0.19  -0.11  -0.38 -0.16 -0.06  0.23  0.17  0.10 -0.06 -0.04 -0.25  0.03
12  2.79  0.762 -0.003  0.001   5.02   2.08   3.41  -1.35  -0.10  -0.02  -0.69 -0.09 -0.15  0.20  0.14  0.09 -0.09 -0.01 -0.01  0.03
13  3.05  0.771 -0.002  0.002   4.84   2.04   3.42  -1.31  -0.07  -0.19  -0.49 -0.12 -0.14  0.18  0.13  0.16 -0.01 -0.01  0.00  0.02
