#
#            Case B.S0       Station=  8
#            X= 152.4 mm      Tunnel Run#= 608   Ue/Uref=   0.710      Date= 323.88  Time=14.22
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#          The Y-position has been corrected by adding   0.102 to each measured Y-position in this profile.
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -0.17   0.00   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.36  0.095  0.008 -0.016   3.82   0.50   2.90  -0.03  -0.02  -0.30   2.00  0.03  2.32 -0.05 -0.02  0.01 -0.69 -0.01 -1.85  0.00
 2  0.48  0.115  0.008 -0.018   4.25   0.62   2.72  -0.08  -0.02   0.20   1.48  0.06  1.00 -0.07 -0.02 -0.01  0.00  0.00 -0.26 -0.01
 3  0.61  0.131  0.004 -0.022   4.95   0.45   3.00  -0.22  -0.05   0.29   1.49  0.06  1.14 -0.11 -0.04  0.02  0.00 -0.02 -0.28 -0.01
 4  0.74  0.139  0.005 -0.022   5.02   0.56   3.18  -0.29  -0.05   0.37   1.41  0.08  1.09 -0.12 -0.05  0.02  0.05 -0.02 -0.25 -0.02
 5  0.86  0.146  0.005 -0.023   5.16   0.68   3.40  -0.29  -0.06   0.35   1.09  0.08  1.12 -0.10 -0.06  0.01 -0.01 -0.01 -0.12 -0.03
 6  1.12  0.160  0.005 -0.023   5.28   0.90   3.56  -0.38  -0.06   0.45   1.17  0.07  1.07 -0.09 -0.07  0.01  0.15  0.00 -0.29 -0.03
 7  1.37  0.170  0.004 -0.025   5.60   1.04   3.58  -0.46  -0.09   0.54   1.33  0.10  1.05 -0.11 -0.13 -0.01  0.08 -0.01 -0.05  0.01
 8  1.63  0.179  0.004 -0.024   5.76   1.17   3.86  -0.46  -0.07   0.66   1.13  0.10  1.12 -0.10 -0.12  0.02  0.00 -0.05 -0.26  0.01
 9  1.88  0.186  0.006 -0.025   5.81   1.28   3.92  -0.54  -0.08   0.63   1.09  0.12  1.06 -0.15 -0.12 -0.01 -0.16 -0.04 -0.18  0.00
10  2.13  0.184  0.007 -0.026   6.05   1.41   3.85  -0.56  -0.06   0.60   1.30  0.16  1.17 -0.13 -0.15  0.00 -0.11 -0.08 -0.15  0.02
11  2.39  0.192  0.006 -0.026   5.93   1.54   3.92  -0.62  -0.09   0.52   0.94  0.16  0.93 -0.14 -0.20 -0.05 -0.27 -0.07 -0.31  0.01
12  2.64  0.197  0.006 -0.026   6.36   1.59   3.97  -0.74  -0.09   0.80   0.88  0.12  1.02 -0.12 -0.14  0.04 -0.08 -0.05 -0.05  0.07
13  2.90  0.204  0.006 -0.026   6.51   1.69   4.21  -0.76  -0.10   0.70   0.93  0.18  1.18 -0.17 -0.19  0.00  0.07 -0.05 -0.47  0.06
14  3.40  0.210  0.007 -0.026   6.81   1.82   4.17  -0.77  -0.04   0.72   0.89  0.14  0.96 -0.14 -0.16 -0.02 -0.12 -0.07 -0.19  0.06
15  3.91  0.218  0.007 -0.024   6.89   2.02   4.13  -0.95  -0.11   0.63   1.09  0.18  0.85 -0.21 -0.18  0.00 -0.18 -0.07 -0.45 -0.01
16  4.42  0.226  0.006 -0.023   6.76   2.01   4.16  -0.91  -0.08   0.53   1.09  0.14  0.84 -0.10 -0.14 -0.03 -0.11 -0.08 -0.20  0.00
17  4.93  0.233  0.008 -0.024   7.10   2.18   4.39  -1.07  -0.08   0.68   1.17  0.21  0.99 -0.20 -0.22 -0.05 -0.26 -0.03 -0.43  0.02
18  5.69  0.244  0.008 -0.022   7.39   2.29   4.35  -1.20  -0.08   0.60   1.05  0.18  0.95 -0.10 -0.32 -0.03 -0.21 -0.08 -0.73  0.07
19  6.45  0.262  0.008 -0.019   7.52   2.37   4.67  -1.24  -0.07   0.52   1.08  0.08  1.08 -0.14 -0.16 -0.10 -0.29 -0.08 -0.43  0.07
20  7.21  0.273  0.010 -0.020   8.14   2.54   4.93  -1.38  -0.04   0.48   0.11  0.23  0.68 -0.01 -0.21 -0.10 -0.50 -0.08 -0.83  0.11
21  8.48  0.292  0.011 -0.016   7.89   2.73   5.01  -1.50  -0.11   0.31   0.32  0.05  0.80 -0.03 -0.13 -0.05 -0.59 -0.11 -0.57  0.15
22 10.26  0.316  0.013 -0.014   7.97   2.81   4.97  -1.60  -0.16   0.22   0.58  0.03  0.58  0.03 -0.09  0.00 -0.43 -0.13 -0.62  0.17
23 12.80  0.358  0.013 -0.011   8.28   3.07   4.91  -1.65  -0.14   0.01  -0.26  0.06  0.43  0.11 -0.04  0.01 -0.29 -0.07 -0.53  0.16
24 15.34  0.409  0.017 -0.007   7.84   2.93   4.75  -1.58  -0.07  -0.25  -0.37 -0.23  0.25  0.31  0.03  0.04 -0.03 -0.14 -0.44  0.09
25 17.88  0.456  0.020 -0.004   7.81   2.87   4.56  -1.72  -0.06  -0.31  -1.02 -0.20  0.04  0.46  0.09  0.21 -0.19 -0.01 -0.37  0.09
26 20.42  0.499  0.019 -0.001   6.76   2.66   4.06  -1.51   0.03  -0.51  -1.19 -0.44  0.03  0.55  0.31  0.17  0.20 -0.05 -0.28  0.03
27 22.96  0.545  0.023 -0.001   6.25   2.39   3.68  -1.38  -0.03  -0.45  -1.94 -0.52 -0.21  0.82  0.24  0.24  0.10  0.05 -0.14  0.08
28 25.50  0.586  0.025  0.000   5.34   2.08   3.01  -1.18  -0.05  -0.36  -1.74 -0.47 -0.32  0.72  0.31  0.25  0.25 -0.01 -0.02  0.03
29 28.04  0.614  0.027  0.002   4.39   1.84   2.48  -0.95   0.05  -0.53  -2.06 -0.47 -0.33  0.60  0.34  0.18  0.28  0.06  0.17 -0.02
30 30.58  0.653  0.031  0.000   3.10   1.46   1.71  -0.66   0.05  -0.32  -1.61 -0.40 -0.28  0.53  0.33  0.17  0.14  0.03  0.20 -0.01
