#
#            Case B.S0       Station= 10
#            X= 304.8 mm      Tunnel Run#= 605   Ue/Uref=   0.663      Date= 322.88  Time=18.41
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#          The Y-position has been corrected by adding   0.178 to each measured Y-position in this profile.
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -0.16   0.00   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.43  0.106  0.008 -0.006   4.40   0.50   3.37   0.02  -0.03  -0.14   1.99  0.05  3.43 -0.05 -0.01  0.04 -1.17 -0.02 -1.49 -0.01
 2  0.56  0.123  0.008 -0.007   5.46   0.59   4.12  -0.05  -0.03   0.01   2.73  0.04  3.39 -0.08 -0.03  0.03 -1.09 -0.04 -1.71 -0.04
 3  0.69  0.131  0.004 -0.007   5.30   0.42   4.25  -0.24  -0.06   0.03   2.25  0.06  2.91 -0.10 -0.03  0.00 -0.81 -0.01 -1.93  0.00
 4  0.81  0.139  0.003 -0.009   5.94   0.54   4.33  -0.25  -0.06   0.15   2.31  0.07  2.97 -0.12 -0.04  0.01 -0.70 -0.01 -1.15 -0.01
 5  0.94  0.147  0.004 -0.010   5.76   0.64   4.49  -0.29  -0.06   0.34   2.33  0.09  2.34 -0.13 -0.06  0.01 -0.40 -0.01 -1.20 -0.03
 6  1.19  0.154  0.004 -0.010   6.20   0.76   4.57  -0.33  -0.02   0.52   2.36  0.13  2.40 -0.08 -0.07  0.02 -0.46 -0.03 -1.14  0.01
 7  1.45  0.166  0.003 -0.010   5.86   0.95   4.62  -0.34  -0.03   0.66   2.25  0.08  2.32 -0.12 -0.09  0.03 -0.35 -0.04 -1.11  0.00
 8  1.70  0.167  0.004 -0.010   5.94   1.04   4.51  -0.45  -0.06   0.52   1.58  0.13  2.19 -0.11 -0.13  0.03 -0.29 -0.04 -0.94  0.03
 9  1.96  0.177  0.004 -0.008   6.15   1.21   4.73  -0.48  -0.01   0.66   2.13  0.13  2.36 -0.17 -0.11  0.00 -0.22 -0.05 -0.81 -0.03
10  2.21  0.179  0.004 -0.008   6.54   1.27   4.57  -0.54  -0.03   0.79   1.89  0.17  2.06 -0.15 -0.15  0.04 -0.09 -0.05 -0.48  0.03
11  2.46  0.180  0.005 -0.010   6.38   1.41   4.59  -0.56  -0.03   0.94   1.74  0.21  1.65 -0.20 -0.15  0.05 -0.11 -0.03 -0.44  0.02
12  2.72  0.187  0.004 -0.010   6.39   1.47   4.64  -0.60  -0.03   1.00   2.00  0.18  1.54 -0.15 -0.17  0.05  0.20 -0.02 -0.34  0.01
13  2.97  0.186  0.004 -0.012   6.25   1.61   4.58  -0.73  -0.06   0.97   2.24  0.22  1.77 -0.22 -0.24 -0.02  0.06 -0.04 -0.07 -0.01
14  3.48  0.194  0.004 -0.015   7.31   1.76   5.61  -0.88  -0.05   0.47   2.75  0.30  3.29 -0.28 -0.27 -0.05 -0.71 -0.04 -2.19  0.07
15  3.99  0.201  0.003 -0.015   7.70   1.97   5.67  -0.89  -0.02   0.40   3.03  0.24  3.48 -0.29 -0.32  0.04 -0.80 -0.04 -2.25  0.00
16  4.50  0.207  0.002 -0.013   7.53   2.09   5.04  -1.07  -0.01   0.87   2.29  0.36  1.89 -0.42 -0.35 -0.07 -0.07 -0.09 -0.85  0.05
17  5.00  0.217  0.003 -0.017   7.64   2.30   5.13  -1.07  -0.03   0.89   2.11  0.31  1.58 -0.30 -0.36  0.00 -0.10 -0.03 -0.90  0.07
18  5.77  0.221  0.002 -0.016   8.40   2.50   5.18  -1.31   0.02   0.79   1.97  0.31  1.63 -0.23 -0.38 -0.10 -0.06 -0.09 -0.94  0.03
19  6.53  0.236  0.002 -0.015   8.50   2.68   5.28  -1.53   0.15   0.85   2.25  0.38  1.27 -0.34 -0.37  0.01  0.15 -0.15 -0.63  0.05
20  7.29  0.242  0.003 -0.015   8.86   2.88   5.49  -1.67  -0.02   0.95   1.97  0.34  1.30 -0.26 -0.34 -0.17  0.03 -0.07 -0.60  0.12
21  8.56  0.254  0.002 -0.017   9.05   3.10   5.80  -1.78   0.06   0.78   1.68  0.31  1.13 -0.21 -0.33  0.05 -0.17 -0.11 -0.93  0.18
22 10.34  0.293  0.001 -0.008  10.02   3.36   6.19  -2.12   0.00   1.06   0.37  0.13  1.01  0.27 -0.33  0.04 -0.48 -0.21 -1.05  0.33
23 12.88  0.306  0.003 -0.017  10.76   3.61   5.99  -2.45   0.09   0.39   0.35  0.20  0.83  0.09 -0.22  0.02 -0.51 -0.15 -1.01  0.25
24 15.42  0.338  0.005 -0.019  11.51   3.80   6.53  -2.77   0.00   0.45  -1.50 -0.16  0.13  0.49  0.08  0.27 -0.60 -0.09 -0.69  0.39
25 17.96  0.381  0.001 -0.017  10.33   3.81   6.29  -2.63   0.15   0.18  -1.33 -0.55 -0.20  0.75  0.23  0.26 -0.58 -0.11 -1.04  0.33
26 20.50  0.410  0.003 -0.015  11.11   3.90   6.35  -2.79   0.25  -0.27  -4.11 -0.48 -0.28  1.11  0.52  0.46 -0.41 -0.14 -1.09  0.25
27 23.04  0.439  0.005 -0.010  10.33   3.94   6.02  -2.74   0.22  -0.36  -4.61 -1.10 -0.77  1.70  1.01  0.57 -0.18 -0.07 -0.76  0.25
28 25.58  0.472  0.004 -0.011  10.24   3.64   5.56  -2.64   0.22  -0.43  -6.56 -1.17 -1.08  2.13  0.94  0.76 -0.15 -0.03 -0.70  0.13
29 28.12  0.509  0.005 -0.007   8.61   3.24   4.78  -2.44   0.37  -0.61  -5.00 -1.35 -0.91  2.12  0.86  0.78  0.01  0.06 -0.26  0.02
30 30.66  0.532  0.007 -0.007   8.25   3.31   4.32  -2.37   0.33  -0.68  -5.91 -1.47 -1.22  2.23  1.15  0.77  0.44  0.20  0.00  0.03
31 33.20  0.565  0.006 -0.004   6.80   2.77   3.56  -1.99   0.41  -0.72  -5.84 -1.48 -1.04  2.52  1.04  0.78  0.63  0.28  0.44 -0.21
33 35.74  0.593  0.006 -0.004   4.58   2.31   2.77  -1.57   0.30  -0.68  -3.55 -1.07 -0.83  1.83  0.93  0.56  0.47  0.11  0.31 -0.08
34 38.28  0.616  0.007 -0.004   3.72   1.97   2.25  -1.19   0.52  -0.74  -3.15 -1.01 -0.78  1.77  0.78  0.64  0.73  0.31  0.53 -0.18
35 40.82  0.630  0.010 -0.003   2.94   1.86   1.85  -0.82   0.45  -0.46  -2.36 -0.72 -0.55  0.97  0.75  0.50  0.33  0.25  0.53 -0.13
36 45.90  0.654  0.009 -0.006   1.34   1.18   0.98  -0.31   0.32  -0.24  -0.80 -0.40 -0.06  0.62  0.43  0.28  0.15  0.19  0.23 -0.06
37 50.98  0.662  0.003 -0.009   0.60   0.60   0.48   0.13   0.18  -0.15   0.06 -0.04  0.09  0.13  0.14  0.08  0.04  0.07  0.06 -0.02
38 56.06  0.663  0.015 -0.008   0.53   0.80   0.44   0.22   0.08  -0.12   0.05  0.03  0.18  0.05  0.08  0.02 -0.02  0.01  0.07  0.01
39 61.14  0.664  0.015 -0.010   0.45   0.71   0.39   0.19   0.07  -0.15   0.03  0.03  0.19  0.03  0.03  0.01 -0.08  0.01  0.04  0.00
40 66.22  0.662  0.018 -0.010   0.48   0.72   0.45   0.20   0.03  -0.24   0.03  0.04  0.45  0.05  0.02  0.06 -0.15  0.00  0.06 -0.02
42 73.84  0.663  0.000 -0.013   0.47   0.00   0.49   0.00   0.00  -0.17   0.04  0.00  0.34  0.00  0.00  0.00 -0.03  0.00  0.10  0.00
