#
#            Case B.S1       Station=  1
#            X= -457.2 mm      Tunnel Run#= 687   Ue/Uref=   0.832      Date= 510.88  Time=11.21
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  1.000   0.00   0.00   0.00  -2.28   2.45   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.25  0.603 -0.029  0.309  12.86   3.42  15.08  -1.81   1.40  -5.18  -1.65 -0.43 -3.20  1.00  0.32  1.52  2.18  0.37  3.65 -0.65
 2  0.38  0.623 -0.026  0.292  12.54   3.72  14.28  -1.91   1.47  -4.68  -1.64 -0.49 -2.17  0.87  0.63  1.13  1.30  0.37  2.94 -0.27
 3  0.51  0.637 -0.025  0.278  11.68   3.80  13.54  -1.97   1.56  -4.49  -0.76 -0.52 -2.09  0.85  0.53  1.13  1.36  0.37  2.75 -0.38
 4  0.63  0.650 -0.023  0.262  11.72   3.70  13.71  -2.01   1.60  -4.54  -1.58 -0.43 -2.18  1.06  0.55  1.28  1.65  0.37  2.84 -0.42
 5  0.76  0.661 -0.023  0.251  10.86   3.85  12.70  -1.93   1.67  -4.12  -1.09 -0.54 -1.81  0.98  0.65  1.32  1.33  0.49  2.33 -0.56
 6  1.02  0.680 -0.023  0.234  10.43   3.94  11.96  -1.89   1.67  -3.87  -1.68 -0.49 -1.56  0.82  0.49  1.19  1.35  0.54  2.48 -0.50
 7  1.27  0.694 -0.021  0.218  10.02   3.92  11.33  -1.93   1.66  -3.95  -1.15 -0.56 -1.44  0.91  0.60  1.08  0.90  0.59  2.22 -0.42
 8  1.52  0.706 -0.019  0.207   9.79   3.95  11.39  -1.85   1.71  -4.09  -1.23 -0.50 -1.21  0.85  0.52  1.18  0.98  0.66  2.19 -0.57
 9  1.78  0.720 -0.019  0.195   9.71   4.10  10.70  -2.14   1.89  -3.70  -1.25 -0.66 -1.33  1.00  0.75  1.28  1.09  0.55  2.00 -0.59
10  2.03  0.726 -0.017  0.188   9.19   4.07  10.31  -1.92   1.77  -3.75  -1.00 -0.36 -1.13  0.62  0.60  0.94  1.03  0.48  2.37 -0.47
11  2.29  0.732 -0.018  0.180   9.13   4.13   9.99  -2.03   1.81  -3.56  -1.12 -0.46 -1.33  0.61  0.52  1.11  1.06  0.62  1.81 -0.65
12  2.54  0.745 -0.017  0.172   8.85   4.07   9.86  -1.99   1.83  -3.45  -1.34 -0.40 -1.22  0.64  0.46  0.97  1.03  0.54  2.34 -0.50
13  2.79  0.752 -0.015  0.169   8.66   4.19   9.65  -2.10   2.01  -3.39  -0.70 -0.37 -1.12  0.65  0.68  1.02  0.68  0.55  2.52 -0.43
14  3.30  0.765 -0.015  0.156   8.59   4.22   9.33  -2.17   1.97  -3.42  -1.47 -0.39 -0.87  0.62  0.47  0.87  0.90  0.47  1.81 -0.49
15  3.81  0.780 -0.014  0.147   8.34   4.14   8.88  -2.11   1.80  -3.26  -1.50 -0.59 -0.97  0.69  0.77  0.72  0.96  0.67  2.00 -0.44
16  4.32  0.794 -0.012  0.137   7.76   4.09   8.47  -2.02   1.85  -2.88  -1.33 -0.48 -0.97  0.60  0.68  0.92  0.83  0.61  2.11 -0.34
17  4.83  0.804 -0.012  0.126   7.45   3.96   7.94  -2.05   1.68  -2.61  -1.61 -0.64 -0.86  0.69  0.68  0.66  0.85  0.57  1.74 -0.46
18  5.59  0.823 -0.010  0.115   7.28   3.81   7.47  -2.07   1.71  -2.52  -1.90 -0.62 -1.05  0.72  0.79  0.71  0.98  0.56  2.15 -0.51
19  6.35  0.843 -0.010  0.102   6.83   3.53   7.05  -1.90   1.50  -2.29  -2.38 -0.72 -1.20  0.80  0.85  0.73  1.05  0.58  1.93 -0.48
20  7.11  0.861 -0.009  0.089   6.35   3.22   6.53  -1.79   1.42  -2.16  -2.25 -0.65 -1.11  0.81  0.78  0.84  0.99  0.60  2.46 -0.48
21  8.38  0.891 -0.008  0.071   5.38   2.78   5.37  -1.52   1.23  -1.84  -2.49 -0.74 -1.31  0.87  0.79  0.88  1.07  0.65  2.34 -0.54
22 10.16  0.932 -0.007  0.044   3.88   2.03   3.66  -1.11   0.77  -1.32  -2.47 -0.68 -1.17  0.85  0.70  0.68  1.04  0.53  2.03 -0.40
23 12.70  0.970 -0.004  0.018   1.71   1.18   1.63  -0.52   0.40  -0.62  -1.36 -0.41 -0.65  0.52  0.45  0.44  0.67  0.30  1.11 -0.26
24 15.24  0.989 -0.003  0.005   0.38   0.50   0.44  -0.10   0.09  -0.09  -0.17 -0.09 -0.08  0.10  0.20  0.10  0.08  0.08  0.15 -0.05
25 17.78  0.992 -0.004  0.003   0.11   0.18   0.17  -0.01   0.01  -0.02  -0.01 -0.01  0.00  0.01  0.03  0.01  0.00  0.01  0.01  0.00
26 20.32  0.994 -0.004  0.003   0.06   0.11   0.14   0.00   0.00  -0.01   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.01  0.00
27 22.86  0.993 -0.004  0.002   0.05   0.09   0.13   0.00   0.00   0.00   0.00  0.00  0.01  0.00  0.00  0.00  0.00  0.00  0.01  0.00
28 25.40  0.993 -0.004  0.001   0.05   0.09   0.12   0.00   0.00  -0.01   0.00  0.00  0.00  0.00  0.01  0.00  0.00  0.00  0.00  0.00
29 27.94  0.992 -0.004  0.000   0.05   0.08   0.12   0.00   0.00  -0.01   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.01  0.00
30 30.48  0.994 -0.006 -0.001   0.05   0.08   0.12   0.00   0.00   0.00   0.00  0.00  0.01  0.00  0.00  0.00  0.00  0.00  0.01  0.00
31 33.02  0.994 -0.004  0.002   0.06   0.09   0.17   0.00   0.00   0.01   0.01  0.00  0.01  0.00  0.00  0.00  0.01  0.00  0.03  0.00
32 35.56  0.994 -0.004  0.000   0.05   0.08   0.12   0.00   0.00  -0.01   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
33 38.10  0.995 -0.004 -0.001   0.05   0.08   0.13   0.00   0.00  -0.01   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
34 40.64  0.994 -0.004  0.001   0.05   0.11   0.12   0.00   0.00  -0.01   0.00  0.00  0.00  0.00  0.09  0.00  0.00  0.00  0.00  0.00
35 45.72  0.996 -0.004  0.002   0.04   0.09   0.12   0.00   0.00  -0.01   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
36 50.80  0.996  0.003  0.003   0.05   0.49   0.15   0.00   0.00  -0.01   0.00  0.00  0.01  0.00  0.04  0.00  0.00  0.00  0.01  0.00
37 55.88  0.997  0.002  0.002   0.05   0.55   0.12   0.00   0.00  -0.01   0.00  0.00  0.00  0.00  0.72  0.00  0.00 -0.01  0.00  0.00
38 60.96  0.993  0.000 -0.001   0.05   0.00   0.12   0.00   0.00  -0.01   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
39 66.04  0.996  0.000 -0.003   0.05   0.00   0.13   0.00   0.00   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.01  0.00
