#
#            Case B.S1       Station=  6
#            X= 101.6 mm      Tunnel Run#= 612   Ue/Uref=   0.494      Date= 324.88  Time=11.04
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -0.57  -0.16   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.19  0.193  0.000  0.048   5.52   0.00   4.16   0.00   0.00   1.00   1.58  0.00  1.25  0.00  0.00  0.00  0.50  0.00  0.23  0.00
 2  0.25  0.231  0.011  0.057   6.47   0.73   4.53  -0.36  -0.23   0.59   1.80  0.06  2.02 -0.07 -0.06  0.02 -0.47 -0.01 -0.81 -0.04
 3  0.38  0.264  0.011  0.069   6.55   0.95   5.07  -0.44  -0.25   0.42   1.12  0.07  1.90  0.02 -0.04  0.15 -0.71  0.02 -0.53 -0.04
 4  0.51  0.288  0.002  0.076   6.61   0.82   5.23  -0.64  -0.31   0.26   1.37  0.04  1.80  0.06 -0.04  0.10 -0.80  0.01 -0.71  0.03
 5  0.63  0.305  0.001  0.082   6.30   0.98   5.04  -0.67  -0.28   0.38   1.01  0.04  1.28  0.09 -0.06  0.04 -0.26  0.00 -0.30  0.01
 6  0.76  0.315  0.001  0.086   6.54   1.15   5.25  -0.81  -0.37   0.12   1.00  0.05  1.46  0.08 -0.04  0.04 -0.39  0.01 -0.51 -0.01
 7  1.02  0.331  0.001  0.090   6.19   1.41   5.15  -0.78  -0.30  -0.03   1.23  0.07  1.55 -0.02 -0.04  0.11 -0.29 -0.02 -0.27  0.03
 8  1.27  0.344  0.002  0.091   6.38   1.62   5.27  -0.85  -0.21  -0.06   1.20  0.06  1.34 -0.06 -0.05  0.09 -0.34  0.02  0.01  0.02
 9  1.52  0.359  0.002  0.095   6.26   1.84   5.59  -0.92  -0.15  -0.03   1.10  0.06  1.18 -0.09 -0.05  0.08 -0.08 -0.04 -0.20  0.06
10  1.78  0.363  0.001  0.094   6.22   1.84   5.25  -1.01  -0.14  -0.14   1.00  0.13  1.25 -0.09 -0.08  0.13 -0.27 -0.03 -0.14  0.06
