#
#            Case B.S1       Station=  8
#            X= 228.6 mm      Tunnel Run#= 626   Ue/Uref=   0.453      Date= 418.88  Time= 8.38
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -0.43  -0.13   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.19  0.187  0.000  0.032   6.54   0.00   3.39   0.00   0.00   0.86   2.45  0.00  1.47  0.00  0.00  0.00  0.14  0.00  0.64  0.00
 2  0.25  0.220  0.008  0.040   6.99   0.66   3.86  -0.28  -0.08   0.79   2.42  0.10  1.40 -0.09 -0.02  0.02  0.02  0.03  0.71 -0.04
 3  0.38  0.247  0.009  0.042   7.29   0.87   4.39  -0.39  -0.13   0.79   2.02  0.11  1.41 -0.03 -0.04  0.04  0.17  0.00  0.67 -0.05
 4  0.51  0.269  0.002  0.045   7.17   0.68   4.85  -0.53  -0.16   0.50   1.74  0.06  1.40 -0.04 -0.01  0.01  0.12  0.00  0.76 -0.02
 5  0.63  0.277  0.002  0.047   6.77   0.85   5.01  -0.58  -0.18   0.48   1.90  0.06  1.33 -0.07 -0.04  0.05  0.10  0.02  0.69 -0.04
 6  0.76  0.289  0.002  0.049   6.94   0.98   4.99  -0.60  -0.20   0.54   1.31  0.08  1.15 -0.05 -0.01  0.08  0.13  0.00  0.69 -0.03
 7  1.02  0.303  0.002  0.051   6.58   1.20   4.94  -0.68  -0.16   0.50   1.07  0.11  1.05 -0.11 -0.06  0.06  0.29  0.01  0.63 -0.04
 8  1.27  0.316  0.002  0.053   7.10   1.34   5.22  -0.70  -0.24   0.56   1.36  0.10  1.18 -0.05 -0.04  0.11  0.28  0.00  0.94  0.00
 9  1.52  0.325  0.002  0.055   7.09   1.56   5.42  -0.78  -0.20   0.42   1.71  0.07  1.24 -0.15 -0.03  0.20  0.43  0.00  0.65 -0.03
10  1.78  0.336  0.002  0.054   7.07   1.62   5.24  -0.80  -0.11   0.25   1.40  0.07  1.00 -0.01 -0.05  0.07  0.34  0.04  0.67 -0.03
11  2.03  0.340  0.002  0.058   7.31   1.75   5.40  -0.93  -0.10   0.34   1.36  0.05  1.24 -0.05 -0.06  0.06  0.34  0.04  0.60 -0.01
12  2.29  0.344  0.002  0.061   7.60   1.85   5.44  -0.98  -0.17   0.23   1.74  0.11  1.08 -0.06 -0.11  0.15  0.60 -0.01  0.56 -0.10
13  2.54  0.350  0.001  0.059   7.38   1.95   5.36  -0.96  -0.12   0.34   1.39  0.14  0.95 -0.11 -0.14  0.09  0.39  0.03  0.21 -0.06
14  2.79  0.356  0.002  0.059   7.83   2.03   5.47  -0.95  -0.10   0.25   1.11  0.12  1.18  0.03 -0.15  0.08  0.45 -0.07  0.39 -0.02
15  3.30  0.364  0.003  0.058   8.13   2.21   5.52  -1.10  -0.15   0.51   1.14  0.12  1.17 -0.06 -0.15  0.15  0.51 -0.05  0.56  0.02
16  3.81  0.368  0.003  0.059   8.23   2.29   5.31  -1.10  -0.10   0.48   1.95  0.10  0.93 -0.08 -0.12  0.03  0.73 -0.03  0.45  0.01
17  4.32  0.378  0.002  0.061   7.88   2.50   5.55  -1.15  -0.03   0.29   0.70  0.14  0.94  0.05 -0.18  0.08  0.62 -0.02  0.23  0.04
18  4.83  0.387  0.002  0.064   7.94   2.58   5.49  -1.26  -0.01   0.33   0.87  0.18  0.87 -0.09 -0.25  0.03  0.50 -0.01  0.13  0.00
 1  5.59  0.409 -0.002  0.068   8.71   2.76   5.49  -1.39  -0.02   0.33   1.15  0.10  0.65  0.15 -0.12  0.16  0.78  0.02  0.28  0.04
 2  6.35  0.420 -0.002  0.067   8.58   2.87   5.71  -1.42   0.01   0.34   0.87  0.03  0.75  0.09 -0.06  0.11  0.68 -0.01 -0.24  0.04
