#
#            Case C.S0       Station=  2
#            X= -330.2 mm      Tunnel Run#= 686   Ue/Uref=   1.011      Date= 510.88  Time= 9.49
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#          The Y-position has been corrected by adding   0.254 to each measured Y-position in this profile.
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -1.60   0.00   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.51  0.586 -0.002  0.005   8.83   1.67   5.59  -1.42  -0.35  -0.46  -1.59 -0.21 -0.47  0.67  0.03  0.16 -0.05 -0.02  0.90  0.06
 2  0.63  0.609 -0.002  0.004   7.93   1.95   5.18  -1.49  -0.38  -0.17  -0.90 -0.19 -0.21  0.45  0.17  0.11 -0.10 -0.06  0.30  0.13
 3  0.76  0.625 -0.001  0.003   7.34   2.03   5.12  -1.50  -0.28  -0.32  -0.54 -0.24 -0.22  0.42  0.24  0.14 -0.11  0.02  0.13  0.06
 4  0.89  0.639 -0.001  0.002   7.04   2.12   4.70  -1.48  -0.34  -0.16  -0.54 -0.21 -0.29  0.37  0.21  0.22  0.04 -0.07  0.17  0.05
 5  1.02  0.652 -0.001  0.002   6.81   2.12   4.62  -1.47  -0.32  -0.09  -0.26 -0.16 -0.02  0.34  0.17  0.21 -0.05 -0.05  0.12  0.06
 6  1.27  0.673  0.000  0.003   6.47   2.20   4.31  -1.51  -0.27  -0.21  -0.33 -0.18 -0.12  0.23  0.16  0.22 -0.09  0.00  0.03  0.06
 7  1.52  0.691 -0.001  0.002   6.00   2.18   4.27  -1.42  -0.20  -0.20  -0.14 -0.06  0.05  0.19  0.16  0.18 -0.02 -0.03 -0.31 -0.02
 8  1.78  0.707 -0.002  0.001   5.90   2.21   3.86  -1.43  -0.24  -0.13  -0.15 -0.19 -0.07  0.21  0.18  0.16 -0.06 -0.03  0.01 -0.01
 9  2.03  0.724 -0.002  0.001   5.70   2.17   3.72  -1.45  -0.17  -0.20  -0.61 -0.19 -0.13  0.29  0.24  0.15 -0.06 -0.03  0.03  0.02
