#
#            Case C.S0       Station=  3
#            X= -228.6 mm      Tunnel Run#= 682   Ue/Uref=   0.988      Date= 509.88  Time=19.20
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#          The Y-position has been corrected by adding   0.152 to each measured Y-position in this profile.
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -1.30   0.00   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.41  0.483 -0.001 -0.003   9.57   1.44   5.98  -1.29  -0.36  -0.64  -1.08 -0.07  0.12  0.44  0.00  0.16 -0.15  0.00  0.07  0.06
 2  0.53  0.513  0.000 -0.004   8.47   1.68   5.96  -1.25  -0.36  -0.67  -0.41 -0.13  0.19  0.32  0.06  0.05 -0.01 -0.03 -0.01  0.00
 3  0.66  0.533 -0.001 -0.006   7.68   1.82   5.37  -1.30  -0.33  -0.47   0.19 -0.06 -0.07  0.24  0.01  0.15  0.03 -0.04 -0.46 -0.01
 4  0.79  0.547  0.001 -0.004   7.59   1.95   5.20  -1.40  -0.27  -0.48   0.04 -0.12  0.18  0.24  0.09  0.16  0.01 -0.02 -0.31  0.03
 5  0.91  0.562  0.000 -0.006   7.09   2.04   5.06  -1.33  -0.29  -0.43   0.25 -0.13  0.13  0.17  0.14  0.10 -0.06 -0.03 -0.42  0.04
 6  1.17  0.585  0.002 -0.007   7.04   2.21   4.80  -1.53  -0.20  -0.29   0.11 -0.18  0.05  0.27  0.19  0.16  0.02  0.01 -0.47 -0.07
 7  1.42  0.605  0.002 -0.006   6.79   2.25   4.54  -1.47  -0.25  -0.32  -0.05 -0.10  0.15  0.18  0.16  0.01 -0.12  0.04 -0.02 -0.01
 8  1.68  0.624  0.003 -0.006   6.68   2.27   4.39  -1.53  -0.21  -0.30   0.15 -0.04  0.10  0.13  0.17  0.15 -0.11 -0.09 -0.15  0.02
 9  1.93  0.641  0.003 -0.007   6.73   2.20   4.25  -1.52  -0.18  -0.35  -0.09 -0.12  0.11  0.14  0.28  0.07 -0.18 -0.02 -0.30  0.04
10  2.18  0.653  0.003 -0.006   6.52   2.18   4.26  -1.46  -0.18  -0.33   0.00 -0.04  0.02  0.04  0.10  0.05 -0.10 -0.03 -0.19  0.04
11  2.44  0.670  0.004 -0.007   6.49   2.18   4.04  -1.55  -0.15  -0.27  -0.35 -0.14 -0.06  0.25  0.12  0.09  0.01  0.00 -0.14  0.03
12  2.69  0.678  0.004 -0.009   6.34   2.14   3.83  -1.53  -0.10  -0.25  -0.54 -0.14  0.04  0.31  0.13  0.09 -0.06  0.02 -0.20  0.00
13  2.95  0.690  0.004 -0.008   6.14   2.16   3.84  -1.47  -0.08  -0.30  -0.34 -0.15  0.04  0.28  0.11  0.05  0.01  0.04 -0.33 -0.03
14  3.45  0.711  0.003 -0.008   5.79   2.07   3.84  -1.42  -0.10  -0.39  -0.53 -0.12 -0.03  0.29  0.12  0.11  0.04  0.00 -0.25 -0.03
15  3.96  0.727  0.004 -0.007   5.42   2.06   3.59  -1.31  -0.09  -0.29  -0.48 -0.14 -0.07  0.23  0.09  0.08  0.01  0.01 -0.13  0.00
16  4.47  0.744  0.006 -0.009   5.28   2.02   3.48  -1.27  -0.18  -0.23  -0.66 -0.18 -0.07  0.25  0.22  0.06  0.09 -0.02 -0.10  0.01
17  4.98  0.759  0.007 -0.008   4.85   1.93   3.40  -1.19  -0.13  -0.20  -0.70 -0.14 -0.23  0.21  0.16  0.10  0.03 -0.04 -0.10 -0.01
18  5.74  0.781  0.007 -0.009   4.47   1.85   3.25  -1.17  -0.10  -0.11  -0.80 -0.20 -0.15  0.26  0.19  0.10  0.04  0.00 -0.03  0.01
19  6.50  0.799  0.008 -0.007   4.20   1.69   3.02  -1.12  -0.08  -0.19  -0.83 -0.21 -0.20  0.28  0.19  0.12 -0.01  0.01 -0.13 -0.02
20  7.26  0.820  0.010 -0.007   3.77   1.62   2.69  -1.00  -0.06  -0.12  -0.92 -0.20 -0.19  0.32  0.25  0.14  0.06 -0.02 -0.05 -0.02
21  8.53  0.847  0.013 -0.007   3.23   1.37   2.34  -0.87  -0.06  -0.11  -0.91 -0.17 -0.21  0.26  0.25  0.11  0.05 -0.01 -0.08 -0.01
22 10.31  0.886  0.015 -0.007   2.45   1.09   1.80  -0.65  -0.03  -0.06  -0.81 -0.19 -0.26  0.24  0.16  0.09  0.02  0.00  0.07  0.00
23 12.85  0.927  0.020 -0.008   1.43   0.69   0.99  -0.37  -0.06  -0.02  -0.57 -0.15 -0.17  0.19  0.13  0.08  0.01 -0.02 -0.02  0.01
24 15.39  0.961  0.023 -0.006   0.45   0.34   0.42  -0.12   0.00  -0.01  -0.18 -0.05 -0.05  0.07  0.06  0.04  0.00  0.00  0.02  0.00
25 17.93  0.968  0.025 -0.005   0.14   0.16   0.21  -0.02   0.00  -0.01  -0.02 -0.01  0.00  0.01  0.02  0.01  0.00  0.00  0.00  0.00
26 20.47  0.971  0.027 -0.004   0.08   0.09   0.16   0.00   0.00  -0.01   0.00  0.00  0.01  0.00  0.00  0.00  0.00  0.00  0.01  0.00
27 23.01  0.969  0.029 -0.005   0.07   0.08   0.16   0.00   0.00   0.00   0.00  0.00  0.01  0.00  0.00  0.00  0.01  0.00  0.02  0.00
28 25.55  0.971  0.031 -0.005   0.06   0.07   0.16   0.00   0.00  -0.01   0.00  0.00  0.01  0.00  0.00  0.00  0.00  0.00  0.02  0.00
29 28.09  0.971  0.034 -0.006   0.07   0.07   0.17   0.00   0.00   0.00   0.00  0.00  0.01  0.00  0.00  0.00  0.01  0.00  0.02  0.00
30 30.63  0.974  0.036 -0.007   0.07   0.09   0.16   0.00   0.00   0.00   0.00  0.00  0.01  0.00  0.07  0.00  0.01  0.00  0.02  0.00
31 33.17  0.979  0.038 -0.007   0.06   0.08   0.16   0.00   0.00   0.00   0.00  0.00  0.01  0.00  0.03  0.00  0.01  0.00  0.02  0.00
32 35.71  0.978  0.040 -0.007   0.06   0.07   0.16   0.00   0.00   0.00   0.00  0.00  0.01  0.00  0.00  0.00  0.01  0.00  0.02  0.00
33 38.25  0.978  0.044 -0.007   0.06   0.07   0.15   0.00   0.00   0.00   0.00  0.00  0.01  0.00  0.00  0.00  0.00  0.00  0.02  0.00
34 40.79  0.981  0.047 -0.007   0.06   0.09   0.14   0.00   0.00   0.00   0.00  0.00  0.01  0.00  0.08  0.00  0.01  0.00  0.01  0.00
35 45.87  0.985  0.053 -0.006   0.06   0.08   0.15   0.00   0.00   0.00   0.01  0.00  0.02  0.00  0.00  0.00  0.01  0.00  0.02  0.00
36 50.95  0.990  0.064 -0.005   0.06   0.37   0.15   0.00   0.00   0.01   0.00  0.00  0.01  0.00  0.00  0.00  0.01  0.00  0.02  0.00
37 56.03  0.995  0.073 -0.006   0.06   0.37   0.14   0.00   0.00   0.00   0.00  0.00  0.01  0.00  0.00  0.00  0.00  0.00  0.01  0.00
38 61.11  1.001  0.000 -0.008   0.07   0.00   0.16   0.00   0.00  -0.02   0.00  0.00  0.01  0.00  0.00  0.00  0.00  0.00  0.01  0.00
39 66.19  1.014  0.000 -0.011   0.05   0.00   0.15   0.00   0.00   0.00   0.00  0.00  0.01  0.00  0.00  0.00  0.00  0.00  0.01  0.00
