#
#            Case C.S0       Station=  7
#            X=  12.7 mm      Tunnel Run#= 674   Ue/Uref=   0.724      Date= 509.88  Time=11.00
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#          The Y-position has been corrected by adding   0.254 to each measured Y-position in this profile.
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -0.05   0.00   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  1.52  0.038  0.004  0.005   4.40   1.05   2.38  -0.26  -0.06   0.16   1.33  0.15  0.42 -0.15 -0.15 -0.01  0.12  0.01  0.24 -0.02
 2  2.79  0.057  0.005  0.009   5.30   1.61   2.72  -0.55  -0.09   0.14   1.67  0.31  0.56 -0.33 -0.27 -0.08  0.09  0.03  0.32 -0.02
 3  6.60  0.123  0.011  0.009   8.04   2.65   3.81  -1.37  -0.06   0.12   2.69  0.57  0.71 -0.65 -0.32 -0.15  0.07  0.07  0.08  0.02
 4 10.41  0.211  0.017  0.010  10.35   3.20   4.97  -1.77  -0.09   0.21   1.30  0.35  0.46 -0.43 -0.27 -0.10  0.02  0.01  0.11 -0.02
 5 15.49  0.332  0.027  0.008  10.98   3.40   5.54  -2.06  -0.01  -0.07  -1.61 -0.19  0.23  0.27  0.05  0.00  0.02  0.02  0.05 -0.09
 6 20.57  0.463  0.041  0.005   8.51   2.90   5.05  -1.61   0.03  -0.24  -3.15 -0.48 -0.57  0.64  0.40  0.17  0.21 -0.03 -0.02  0.00
 7 25.65  0.571  0.054  0.003   5.74   2.14   3.38  -1.25  -0.03  -0.03  -2.72 -0.50 -0.50  0.60  0.51  0.21  0.12  0.00 -0.09 -0.02
 8 30.73  0.659  0.062  0.002   2.72   1.13   1.70  -0.57  -0.06   0.00  -1.28 -0.29 -0.32  0.36  0.23  0.15 -0.07 -0.05 -0.05  0.03
 9 35.81  0.713  0.066  0.001   0.66   0.49   0.48  -0.17   0.02  -0.03  -0.30 -0.09 -0.02  0.11  0.11  0.05  0.00  0.01 -0.04 -0.02
10 40.89  0.724  0.065  0.002   0.10   0.15   0.16   0.00   0.01   0.00   0.00  0.00  0.02  0.00  0.01  0.00  0.00  0.00 -0.01  0.00
11 45.97  0.723  0.066  0.001   0.07   0.10   0.14   0.00   0.00   0.00   0.01  0.00  0.02  0.00  0.00  0.00  0.00  0.00 -0.01  0.00
12 51.05  0.722  0.066  0.001   0.07   0.09   0.18   0.00   0.00   0.00   0.02  0.00  0.06  0.00  0.00  0.00 -0.01  0.00 -0.01  0.00
13 56.13  0.721  0.069 -0.001   0.07   0.36   0.17   0.00   0.00  -0.01   0.02  0.00  0.06  0.00  0.00  0.00 -0.01  0.00 -0.03  0.00
14 61.21  0.719  0.070  0.000   0.07   0.37   0.20   0.00   0.00  -0.02   0.03  0.00  0.08  0.00  0.00  0.00 -0.03  0.00 -0.09  0.00
15 66.29  0.719  0.000  0.001   0.09   0.00   0.26   0.00   0.00  -0.02   0.05  0.00  0.14  0.00  0.00  0.00 -0.03  0.00 -0.09  0.00
16 71.37  0.716  0.000  0.003   0.10   0.00   0.27   0.00   0.00   0.00   0.04  0.00  0.12  0.00  0.00  0.00 -0.02  0.00 -0.07  0.00
