#
#            Case C.S0       Station=  8
#            X=  25.4 mm      Tunnel Run#= 672   Ue/Uref=   0.722      Date= 509.88  Time= 8.58
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#          The Y-position has been corrected by adding   0.254 to each measured Y-position in this profile.
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -0.03   0.00   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  1.52  0.013  0.002  0.008   3.97   1.02   2.55  -0.28  -0.09   0.07   1.00  0.12  0.55 -0.11 -0.14 -0.04  0.13  0.03  0.33 -0.04
 2  2.79  0.029  0.004  0.009   4.69   1.47   2.74  -0.49  -0.12   0.02   1.67  0.30  0.60 -0.27 -0.25 -0.10  0.09  0.04  0.21 -0.04
 3  6.60  0.086  0.007  0.012   7.36   2.57   3.97  -1.11  -0.14   0.22   2.80  0.53  0.89 -0.75 -0.45 -0.18  0.02  0.10  0.32 -0.03
 4 10.41  0.161  0.012  0.017  10.38   3.33   5.39  -1.77  -0.11   0.05   2.26  0.51  0.86 -0.51 -0.37 -0.12 -0.28  0.06  0.21 -0.03
 5 15.49  0.289  0.022  0.020  11.30   3.81   6.54  -2.13  -0.16  -0.10  -1.61  0.04  0.41 -0.04  0.04 -0.12 -0.22  0.07  0.25  0.03
 6 20.57  0.419  0.034  0.013  10.05   3.34   5.87  -1.87  -0.03  -0.39  -4.02 -0.48 -0.54  0.52  0.42  0.09 -0.20  0.08  0.00  0.01
 7 25.65  0.536  0.047  0.007   6.53   2.49   4.46  -1.36  -0.10  -0.32  -2.97 -0.56 -0.70  0.80  0.52  0.23  0.20  0.06  0.06  0.00
 8 30.73  0.635  0.056  0.004   3.50   1.41   2.36  -0.72  -0.04  -0.05  -1.69 -0.41 -0.36  0.46  0.34  0.15 -0.09  0.00 -0.04  0.02
 9 35.81  0.697  0.062  0.003   1.08   0.67   0.87  -0.22   0.00  -0.10  -0.51 -0.13  0.03  0.14  0.23  0.08 -0.03 -0.01 -0.16  0.00
10 40.89  0.718  0.063  0.003   0.23   0.25   0.42  -0.03   0.01  -0.10   0.06 -0.01  0.25  0.01  0.10  0.01 -0.09  0.00 -0.31 -0.01
11 45.97  0.718  0.063  0.002   0.13   0.13   0.31   0.00   0.00  -0.07   0.07  0.00  0.19  0.00  0.00  0.00 -0.09  0.00 -0.26  0.00
12 51.05  0.716  0.063  0.001   0.11   0.11   0.28   0.00   0.00  -0.04   0.05  0.00  0.15  0.00  0.02  0.00 -0.05  0.00 -0.16  0.00
13 56.13  0.716  0.065 -0.001   0.08   0.37   0.21   0.00   0.00   0.01   0.02  0.00  0.07  0.00  0.00  0.00  0.00  0.00 -0.01  0.00
14 61.21  0.716  0.066 -0.002   0.07   0.39   0.18   0.00   0.00   0.00   0.02  0.00  0.05  0.00  0.00  0.00 -0.01  0.00 -0.03  0.00
15 66.29  0.715  0.000  0.000   0.08   0.00   0.21   0.00   0.00   0.03   0.03  0.00  0.08  0.00  0.00  0.00  0.02  0.00  0.06  0.00
16 71.37  0.712  0.000  0.002   0.06   0.00   0.16   0.00   0.00  -0.01   0.01  0.00  0.03  0.00  0.00  0.00 -0.02  0.00 -0.04  0.00
