#
#            Case C.S0       Station= 10
#            X= 101.6 mm      Tunnel Run#= 668   Ue/Uref=   0.699      Date= 508.88  Time=16.31
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#          The Y-position has been corrected by adding   0.254 to each measured Y-position in this profile.
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00   0.04   0.00   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  1.52 -0.021  0.001  0.002   3.31   0.85   2.32  -0.14  -0.07   0.15   0.56  0.10  0.36 -0.03 -0.12 -0.01  0.13  0.00  0.42 -0.02
 2  2.79 -0.014  0.002  0.002   3.69   1.29   2.42  -0.29  -0.04   0.06   0.89  0.22  0.42 -0.17 -0.18 -0.06  0.08  0.00  0.45 -0.01
 3  6.60  0.017  0.004  0.001   5.48   2.25   3.14  -0.92  -0.05   0.06   2.03  0.52  0.62 -0.54 -0.52 -0.22  0.05  0.05  0.29 -0.01
 4 10.41  0.061  0.005  0.004   7.62   3.13   4.06  -1.50  -0.10   0.18   2.73  0.72  0.89 -0.87 -0.61 -0.29  0.14  0.06  0.50 -0.04
 5 15.49  0.144  0.007  0.006  10.86   4.08   5.56  -2.38  -0.22   0.30   2.80  0.66  0.96 -1.00 -0.63 -0.25 -0.11  0.14  0.23  0.00
 6 20.57  0.241  0.013  0.006  13.40   4.66   6.69  -2.98  -0.14   0.30  -0.72 -0.05  0.30  0.11 -0.13 -0.08 -0.14 -0.05  0.43  0.12
 7 25.65  0.351  0.020  0.007  12.54   4.42   6.55  -2.83   0.00  -0.06  -4.81 -0.67 -0.33  1.25  0.42  0.26 -0.20  0.06  0.29  0.05
 8 30.73  0.461  0.025  0.006  10.17   3.69   5.66  -2.18   0.11  -0.31  -5.98 -1.06 -1.16  1.31  0.80  0.33  0.42  0.14  0.17 -0.10
 9 35.81  0.564  0.033  0.003   6.95   2.49   3.67  -1.61  -0.02  -0.02  -5.55 -1.00 -1.11  1.51  0.76  0.36  0.13  0.04  0.27 -0.03
10 40.89  0.648  0.041  0.003   3.13   1.34   1.73  -0.77  -0.03   0.05  -2.69 -0.47 -0.54  0.73  0.40  0.25 -0.05 -0.02  0.10  0.02
11 45.97  0.692  0.043  0.003   0.58   0.58   0.50  -0.17   0.00   0.04  -0.30 -0.13  0.02  0.16  0.19  0.07  0.03 -0.01  0.12  0.00
12 51.05  0.698  0.042  0.004   0.19   0.23   0.27  -0.01   0.01   0.01   0.04  0.00  0.12  0.01  0.02  0.00  0.00  0.00  0.03  0.00
13 56.13  0.695  0.048  0.003   0.14   0.42   0.25   0.00   0.00   0.02   0.04  0.00  0.11  0.00  0.01  0.00  0.01  0.00  0.04  0.00
14 61.21  0.694  0.047  0.002   0.11   0.39   0.23   0.00   0.01   0.04   0.03  0.00  0.09  0.00  0.00  0.00  0.02  0.00  0.05  0.00
15 66.29  0.693  0.000  0.002   0.11   0.00   0.25   0.00   0.00   0.03   0.04  0.00  0.12  0.00  0.00  0.00  0.02  0.00  0.07  0.00
16 71.37  0.694  0.000  0.003   0.14   0.00   0.34   0.00   0.00   0.12   0.06  0.00  0.20  0.00  0.00  0.00  0.09  0.00  0.30  0.00
