#
#            Case C.S1       Station=  2
#            X= -330.2 mm      Tunnel Run#= 685   Ue/Uref=   1.012      Date= 510.88  Time= 9.09
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  1.000   0.00   0.00   0.00  -2.46   2.74   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.25  0.613 -0.030  0.336  13.94   3.79  17.30  -1.92   1.42  -5.81  -1.76 -0.53 -3.00  1.02  0.47  1.33  2.10  0.63  4.11 -0.48
 2  0.38  0.633 -0.027  0.310  13.06   4.00  15.93  -1.87   1.46  -4.94  -0.89 -0.57 -2.50  0.92  0.80  1.35  1.60  0.37  3.66 -0.38
 3  0.51  0.648 -0.025  0.290  12.73   4.03  14.85  -1.97   1.41  -4.75  -1.18 -0.58 -2.13  1.04  0.74  1.09  1.13  0.49  3.85 -0.35
 4  0.63  0.664 -0.025  0.274  12.04   4.11  14.33  -1.93   1.52  -4.36  -2.11 -0.61 -1.87  1.12  0.92  1.13  1.62  0.42  2.77 -0.34
 5  0.76  0.674 -0.023  0.264  11.95   4.00  13.90  -1.79   1.55  -4.56  -0.43 -0.51 -1.69  0.79  0.64  1.09  1.07  0.45  2.48 -0.32
 6  1.02  0.692 -0.020  0.245  11.41   4.05  13.62  -2.06   1.86  -4.81  -1.05 -0.39 -2.01  0.96  0.66  1.54  1.26  0.53  3.25 -0.46
 7  1.27  0.707 -0.019  0.231  10.87   4.23  13.37  -1.99   2.01  -4.61  -1.42 -0.58 -2.03  0.99  0.85  1.40  1.63  0.71  3.86 -0.53
 8  1.52  0.722 -0.017  0.216  10.40   4.07  12.69  -1.99   1.96  -4.51  -0.82 -0.61 -2.01  0.83  0.73  1.45  1.19  0.66  3.93 -0.52
 9  1.78  0.732 -0.016  0.208  10.31   4.11  12.29  -2.01   1.91  -4.55  -1.30 -0.54 -1.51  0.87  0.52  1.00  1.14  0.60  2.84 -0.51
10  2.03  0.739 -0.014  0.198  10.21   4.28  11.67  -2.18   1.99  -4.36  -1.72 -0.61 -1.52  1.05  0.68  1.46  1.34  0.64  3.44 -0.75
11  2.29  0.746 -0.013  0.191   9.85   4.29  11.27  -2.13   1.90  -4.23  -1.06 -0.59 -1.61  1.01  0.80  1.29  1.23  0.67  2.95 -0.54
12  2.54  0.755 -0.013  0.186   9.54   4.32  11.18  -2.20   1.99  -3.98  -1.66 -0.71 -1.49  1.09  0.93  1.19  1.18  0.90  3.28 -0.63
13  2.79  0.762 -0.013  0.178   9.42   4.29  10.59  -2.24   2.03  -4.00  -1.57 -0.53 -1.88  0.88  0.54  1.12  1.62  0.65  3.69 -0.68
14  3.30  0.772 -0.012  0.168   8.75   4.28  10.07  -2.21   2.05  -3.52  -1.28 -0.69 -1.23  0.78  0.59  1.21  1.02  0.74  2.92 -0.62
