#
#            Case C.S1       Station=  5
#            X= -76.2 mm      Tunnel Run#= 677   Ue/Uref=   0.796      Date= 509.88  Time=14.03
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  1.000   0.00   0.00   0.00  -1.07   2.25   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.25  0.338 -0.020  0.329  11.26   2.72  17.04  -1.27   1.67  -4.77   0.12 -0.37 -4.88  0.69  0.33  1.94  2.03  0.48  7.29 -0.76
 2  0.38  0.357 -0.019  0.300  10.68   3.09  15.01  -1.24   1.60  -3.54   0.13 -0.25 -3.66  0.92  0.34  1.69  2.12  0.63  5.50 -0.67
 3  0.51  0.372 -0.018  0.283  10.28   3.20  13.97  -1.21   1.66  -3.20   0.29 -0.39 -2.18  0.72  0.51  1.44  1.15  0.67  3.60 -0.42
 4  0.63  0.382 -0.014  0.267  10.05   3.45  12.95  -1.44   1.58  -2.93  -0.01 -0.48 -1.75  0.87  0.61  1.24  0.99  0.61  2.72 -0.36
 5  0.76  0.393 -0.014  0.255  10.16   3.45  12.87  -1.40   1.76  -3.11   0.49 -0.42 -1.79  0.83  0.66  1.65  1.46  0.79  3.63 -0.55
 6  1.02  0.406 -0.012  0.236   9.92   3.70  12.27  -1.57   1.76  -2.91   0.37 -0.32 -1.41  0.93  0.79  1.41  1.07  0.66  3.05 -0.33
 7  1.27  0.418 -0.011  0.220   9.37   3.67  11.80  -1.46   1.83  -2.91   0.56 -0.29 -0.54  0.47  0.51  1.40  0.79  0.71  2.51 -0.32
 8  1.52  0.428 -0.010  0.209   9.64   3.72  11.68  -1.77   1.87  -3.23   0.50 -0.23 -1.15  0.74  0.44  1.36  0.91  0.67  3.20 -0.45
 9  1.78  0.435 -0.009  0.198   9.48   3.77  11.54  -1.65   1.83  -3.11   0.39 -0.24 -0.90  0.56  0.43  1.23  0.57  0.71  2.51 -0.25
10  2.03  0.444 -0.006  0.192   9.49   3.97  11.46  -1.88   2.05  -3.44   0.22 -0.35 -0.88  0.53  0.64  1.50  0.72  0.81  2.29 -0.34
11  2.29  0.450 -0.006  0.181   9.11   3.84  10.88  -1.76   1.97  -3.38   0.21 -0.35 -0.73  0.49  0.48  1.24  0.72  0.74  2.54 -0.43
12  2.54  0.456 -0.005  0.177   9.08   4.14  10.82  -1.95   2.06  -3.42  -0.39 -0.51 -0.88  0.69  0.63  1.33  0.79  0.86  2.38 -0.48
13  2.79  0.463 -0.003  0.173   9.38   4.12  11.11  -1.92   2.20  -3.52  -0.31 -0.31 -0.97  0.52  0.68  1.51  1.06  1.02  2.82 -0.43
14  3.30  0.471 -0.002  0.166   8.83   4.33  10.66  -1.99   2.17  -3.40  -0.37 -0.39 -0.72  0.72  0.51  1.38  1.10  0.90  2.34 -0.62
15  3.81  0.483  0.000  0.159   9.08   4.29   9.84  -2.13   2.10  -3.21  -0.49 -0.42 -0.41  0.70  0.60  1.06  0.92  0.70  1.69 -0.42
16  4.32  0.491  0.003  0.154   8.62   4.58   9.55  -2.04   2.12  -2.81  -0.74 -0.46 -0.33  0.64  0.66  1.18  0.77  0.79  1.45 -0.57
17  4.83  0.498  0.004  0.151   8.47   4.54   9.38  -2.10   2.11  -2.79  -0.16 -0.31 -0.35  0.30  0.66  0.92  0.61  0.75  1.67 -0.32
18  5.59  0.506  0.008  0.147   8.43   4.78   9.11  -2.22   2.19  -2.68  -0.57 -0.42 -0.46  0.51  0.69  1.06  0.78  0.85  1.32 -0.45
19  6.35  0.518  0.008  0.143   8.11   4.58   8.58  -2.02   2.10  -2.51  -0.58 -0.33 -0.16  0.32  0.65  0.78  0.54  0.59  1.27 -0.23
20  7.11  0.532  0.010  0.140   8.22   4.60   8.26  -2.24   2.03  -2.32  -0.70 -0.31 -0.25  0.42  0.48  0.77  0.46  0.62  0.82 -0.31
21  8.38  0.546  0.015  0.134   7.87   4.75   8.39  -2.09   2.04  -2.23  -0.36 -0.27 -0.28  0.32  0.66  0.76  0.47  0.53  0.99 -0.32
22 10.16  0.570  0.017  0.124   7.53   4.46   7.97  -1.91   1.86  -1.85  -0.81 -0.26 -0.17  0.42  0.57  0.45  0.40  0.44  0.51 -0.22
23 12.70  0.601  0.023  0.110   7.36   4.24   7.58  -2.01   1.79  -1.80  -0.81 -0.47 -0.31  0.40  0.60  0.48  0.28  0.47  0.79 -0.17
24 15.24  0.634  0.028  0.096   7.18   4.01   7.06  -1.92   1.72  -1.74  -1.25 -0.47 -0.40  0.43  0.70  0.55  0.47  0.50  1.05 -0.28
25 17.78  0.662  0.035  0.081   6.69   3.61   6.31  -1.70   1.58  -1.65  -1.67 -0.44 -0.56  0.41  0.69  0.67  0.55  0.62  1.32 -0.27
26 20.32  0.688  0.040  0.063   5.95   3.14   5.51  -1.66   1.28  -1.48  -1.93 -0.64 -0.75  0.84  0.72  0.67  0.62  0.58  1.65 -0.37
27 22.86  0.710  0.046  0.050   5.64   2.76   4.79  -1.36   1.05  -1.38  -2.10 -0.65 -0.83  0.68  0.76  0.72  0.71  0.62  1.87 -0.30
28 25.40  0.738  0.048  0.031   4.15   2.20   3.60  -1.02   0.80  -1.18  -2.01 -0.66 -0.81  0.74  0.71  0.55  0.78  0.51  1.68 -0.32
29 27.94  0.763  0.049  0.015   2.97   1.61   2.45  -0.69   0.47  -0.91  -1.94 -0.53 -0.74  0.57  0.60  0.44  0.77  0.42  1.35 -0.27
30 30.48  0.783  0.052  0.003   1.83   1.12   1.60  -0.39   0.28  -0.56  -1.41 -0.34 -0.58  0.36  0.38  0.30  0.58  0.29  0.93 -0.16
31 33.02  0.792  0.055 -0.004   0.97   0.78   0.93  -0.27   0.18  -0.28  -0.65 -0.24 -0.28  0.26  0.32  0.20  0.28  0.19  0.57 -0.12
32 35.56  0.799  0.057 -0.009   0.42   0.46   0.46  -0.09   0.08  -0.08  -0.17 -0.08 -0.08  0.08  0.18  0.09  0.09  0.08  0.19 -0.03
33 38.10  0.802  0.059 -0.012   0.23   0.30   0.27  -0.03   0.02  -0.03  -0.05 -0.03 -0.02  0.03  0.08  0.03  0.03  0.02  0.07 -0.01
34 40.64  0.802  0.061 -0.014   0.12   0.19   0.17  -0.02   0.00  -0.01   0.00 -0.01  0.01  0.01  0.04  0.01  0.00  0.00 -0.02  0.00
35 45.72  0.802  0.066 -0.014   0.06   0.10   0.13   0.00   0.00   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
36 50.80  0.801  0.070 -0.013   0.07   0.10   0.15   0.00  -0.01  -0.01   0.01  0.00  0.02  0.00  0.08  0.00 -0.01  0.00 -0.03  0.00
37 55.88  0.797  0.081 -0.012   0.06   0.37   0.14   0.00  -0.01   0.00   0.00  0.00  0.01  0.00  0.00  0.00  0.00  0.00  0.01  0.00
38 60.96  0.796  0.086 -0.013   0.08   0.41   0.21   0.00  -0.01   0.02   0.02  0.00  0.07  0.00 -0.01  0.00  0.01  0.00  0.03  0.00
39 66.04  0.794  0.000 -0.017   0.08   0.00   0.21   0.00   0.00   0.02   0.02  0.00  0.06  0.00  0.00  0.00  0.01  0.00  0.02  0.00
40 68.58  0.792  0.000 -0.015   0.08   0.00   0.22   0.00   0.00   0.02   0.02  0.00  0.07  0.00  0.00  0.00  0.01  0.00  0.04  0.00
