#
#            Case C.S1       Station=  7
#            X=  12.7 mm      Tunnel Run#= 673   Ue/Uref=   0.717      Date= 509.88  Time=10.04
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -0.55  -0.45   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.25  0.216 -0.010  0.171   5.40   0.96   6.28  -0.66  -0.55   0.84   1.35  0.08  0.49 -0.03 -0.01  0.00 -0.01 -0.02  0.21  0.03
 2  0.38  0.236 -0.010  0.182   5.59   1.23   6.69  -0.67  -0.39   0.40   1.11  0.06  0.55 -0.01  0.09  0.17 -0.14 -0.03 -0.41  0.13
 3  0.51  0.253 -0.011  0.190   5.57   1.49   6.62  -0.70  -0.28   0.21   1.08  0.04  0.23  0.03 -0.02  0.12 -0.03 -0.06 -0.30  0.17
 4  0.63  0.265 -0.011  0.192   5.65   1.58   6.93  -0.60  -0.11   0.03   0.87  0.07  0.22  0.03 -0.05 -0.09 -0.03 -0.09 -0.40  0.07
 5  0.76  0.275 -0.011  0.194   5.56   1.73   7.22  -0.51  -0.01  -0.14   0.90  0.07  0.23  0.02  0.01  0.01 -0.17 -0.13 -0.30  0.15
 6  1.02  0.291 -0.009  0.193   5.76   2.04   7.43  -0.58   0.30  -0.17   1.11  0.10  0.16  0.13 -0.16  0.00 -0.09 -0.08  0.10  0.25
 7  1.27  0.300 -0.010  0.191   6.08   2.33   7.81  -0.53   0.61  -0.45   1.18  0.11  0.38  0.11 -0.10  0.16  0.02 -0.06 -0.10  0.11
 8  1.52  0.307 -0.008  0.188   6.07   2.52   7.71  -0.63   0.77  -0.53   1.21  0.11  0.43  0.12 -0.05  0.16 -0.06 -0.08  0.16  0.21
 9  1.78  0.312 -0.007  0.186   5.89   2.59   8.24  -0.66   0.95  -0.81   1.34  0.18  0.46  0.06 -0.13  0.23 -0.16 -0.03  0.08  0.13
10  2.03  0.316 -0.008  0.180   6.24   2.88   8.34  -0.72   1.03  -0.64   1.09  0.10  0.19  0.06  0.01  0.44 -0.12  0.02  0.60  0.14
11  2.29  0.321 -0.008  0.178   6.33   3.02   8.20  -0.87   1.25  -0.90   1.20  0.13  0.37  0.05  0.02  0.47 -0.09  0.26  0.65  0.12
12  2.54  0.326 -0.008  0.175   6.10   3.25   8.36  -1.01   1.34  -0.89   1.06  0.15  0.27  0.08  0.01  0.52 -0.21  0.26  0.76  0.16
13  2.79  0.330 -0.007  0.173   6.28   3.33   8.59  -1.07   1.44  -1.30   1.13  0.11  0.14  0.09  0.09  0.66  0.03  0.29  0.97  0.06
14  3.30  0.339 -0.007  0.164   6.47   3.63   8.16  -1.22   1.51  -1.33   0.79  0.03  0.11  0.04  0.27  0.82  0.04  0.42  1.00 -0.02
15  3.81  0.342 -0.004  0.166   6.75   3.76   8.38  -1.36   1.56  -1.40   0.80  0.04  0.01  0.12  0.16  0.79  0.14  0.43  1.16 -0.07
16  4.32  0.348 -0.004  0.161   6.69   3.89   8.15  -1.43   1.66  -1.48   0.67 -0.11 -0.03  0.15  0.27  1.10  0.18  0.61  1.40 -0.12
17  4.83  0.355 -0.003  0.156   6.73   4.06   7.82  -1.52   1.63  -1.55   0.48 -0.06 -0.05  0.17  0.25  0.83  0.21  0.46  1.44 -0.10
18  5.59  0.366 -0.001  0.152   7.11   4.14   7.84  -1.65   1.70  -1.68   0.19 -0.15  0.12  0.22  0.33  0.88  0.33  0.54  0.97 -0.22
19  6.35  0.375  0.001  0.151   6.92   4.24   7.72  -1.72   1.74  -1.61   0.32 -0.06  0.05 -0.02  0.47  0.77  0.35  0.57  0.86 -0.09
20  7.11  0.383  0.001  0.147   7.12   4.35   7.23  -1.84   1.71  -1.46   0.30 -0.04 -0.03  0.03  0.41  0.69  0.16  0.59  0.73 -0.18
21  8.38  0.400  0.004  0.146   7.16   4.58   7.61  -1.94   1.76  -1.73   0.60 -0.17  0.07  0.08  0.54  0.49  0.12  0.53  0.14 -0.12
22 10.16  0.421  0.008  0.140   7.06   4.30   7.13  -1.96   1.59  -1.46   0.06 -0.17  0.07  0.13  0.34  0.37  0.26  0.38  0.33 -0.16
23 12.70  0.452  0.015  0.135   7.28   4.41   6.97  -1.97   1.67  -1.44  -0.19 -0.19  0.07  0.15  0.44  0.28  0.14  0.34  0.46 -0.12
24 15.24  0.479  0.018  0.125   7.00   4.12   6.77  -1.86   1.52  -1.09  -0.53 -0.19 -0.13  0.22  0.53  0.41  0.12  0.37  0.51 -0.08
25 17.78  0.505  0.024  0.116   6.73   4.02   6.29  -1.84   1.53  -1.13  -0.71 -0.30 -0.23  0.30  0.51  0.33  0.22  0.33  0.38 -0.21
26 20.32  0.533  0.028  0.105   6.55   3.66   6.17  -1.70   1.43  -1.33  -0.86 -0.29 -0.41  0.26  0.54  0.44  0.25  0.36  0.62 -0.20
27 22.86  0.567  0.027  0.086   6.01   3.44   5.70  -1.66   1.22  -1.03  -1.02 -0.44 -0.36  0.50  0.67  0.52  0.39  0.40  1.05 -0.16
28 25.40  0.594  0.027  0.072   5.23   2.98   4.98  -1.32   1.12  -0.96  -1.24 -0.43 -0.51  0.54  0.73  0.49  0.42  0.46  1.19 -0.19
29 27.94  0.613  0.031  0.059   5.20   2.69   4.55  -1.33   1.06  -1.08  -1.65 -0.57 -0.62  0.67  0.79  0.65  0.57  0.53  1.50 -0.30
30 30.48  0.637  0.035  0.048   4.23   2.39   3.74  -1.05   0.84  -0.90  -1.55 -0.56 -0.56  0.64  0.76  0.49  0.43  0.44  1.32 -0.23
31 33.02  0.657  0.038  0.037   3.77   2.03   3.07  -0.97   0.69  -0.97  -1.92 -0.60 -0.65  0.66  0.70  0.51  0.69  0.46  1.21 -0.30
32 35.56  0.672  0.041  0.029   3.03   1.78   2.59  -0.77   0.62  -0.85  -1.68 -0.52 -0.59  0.60  0.62  0.50  0.65  0.45  1.29 -0.26
33 38.10  0.694  0.038  0.014   1.74   1.12   1.48  -0.37   0.32  -0.48  -1.10 -0.32 -0.34  0.35  0.40  0.29  0.42  0.26  0.69 -0.16
34 40.64  0.705  0.039  0.007   1.00   0.79   0.91  -0.23   0.16  -0.24  -0.65 -0.22 -0.17  0.24  0.34  0.19  0.23  0.15  0.36 -0.07
35 45.72  0.713  0.041  0.000   0.32   0.35   0.38  -0.07   0.03  -0.07  -0.08 -0.06  0.06  0.06  0.10  0.03  0.01  0.04 -0.04 -0.02
36 50.80  0.715  0.043 -0.003   0.15   0.18   0.27  -0.01   0.00  -0.03   0.02 -0.01  0.10  0.01  0.02  0.01 -0.03  0.00 -0.07  0.00
37 55.88  0.715  0.049 -0.002   0.10   0.41   0.22   0.00  -0.01  -0.02   0.03  0.00  0.08  0.00  0.00  0.00 -0.03  0.00 -0.08  0.00
38 60.96  0.713  0.053  0.000   0.08   0.39   0.19   0.00   0.00  -0.03   0.02  0.00  0.06  0.00  0.00  0.01 -0.03  0.00 -0.10  0.00
39 66.04  0.711  0.000  0.001   0.08   0.00   0.20   0.00   0.00  -0.02   0.03  0.00  0.08  0.00  0.00  0.00 -0.04  0.00 -0.11  0.00
40 71.12  0.710  0.000  0.003   0.07   0.00   0.20   0.00   0.00   0.02   0.03  0.00  0.08  0.00  0.00  0.00  0.02  0.00  0.06  0.00
