#
#            Case C.S1       Station=  8
#            X=  25.4 mm      Tunnel Run#= 671   Ue/Uref=   0.709      Date= 509.88  Time= 8.19
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -0.55  -0.40   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.25  0.203 -0.009  0.129   4.89   0.80   5.30  -0.59  -0.51   0.77   0.88  0.03  0.76  0.03  0.08  0.07  0.03  0.03  0.53 -0.04
 2  0.38  0.224 -0.010  0.142   5.00   1.04   5.57  -0.65  -0.44   0.51   0.78  0.06  0.61  0.03 -0.01  0.08 -0.11 -0.01  0.33  0.02
 3  0.51  0.233 -0.010  0.145   4.99   1.18   5.75  -0.65  -0.39   0.35   0.93  0.08  0.66 -0.01  0.02  0.07  0.00  0.01  0.26  0.04
 4  0.63  0.245 -0.010  0.150   4.90   1.38   5.85  -0.65  -0.30   0.14   0.89  0.10  0.72 -0.01  0.00  0.09 -0.01 -0.03  0.00  0.02
 5  0.76  0.252 -0.009  0.153   4.86   1.47   5.84  -0.69  -0.24   0.01   0.88  0.12  0.49 -0.03 -0.05  0.06 -0.02 -0.07 -0.10  0.04
 6  1.02  0.266 -0.009  0.157   5.10   1.75   6.04  -0.72  -0.19   0.05   0.92  0.10  0.50  0.00  0.01  0.14 -0.16 -0.02 -0.26  0.11
 7  1.27  0.276 -0.009  0.156   5.21   1.87   6.23  -0.76   0.02  -0.30   1.11  0.10  0.51  0.06 -0.15  0.10 -0.04 -0.10 -0.14  0.08
 8  1.52  0.286 -0.008  0.154   5.26   2.03   6.30  -0.78   0.16  -0.36   0.94  0.18  0.60 -0.09 -0.11  0.04 -0.13 -0.12 -0.36  0.08
 9  1.78  0.296 -0.009  0.157   5.43   2.22   6.62  -0.75   0.29  -0.31   1.23  0.10  0.29  0.01 -0.10  0.06  0.00 -0.13 -0.29  0.11
10  2.03  0.303 -0.008  0.158   5.48   2.39   6.77  -0.82   0.42  -0.46   1.22  0.13  0.36  0.02 -0.11  0.10 -0.20 -0.14  0.01  0.16
