#
#            Case C.S1       Station= 10
#            X= 101.6 mm      Tunnel Run#= 667   Ue/Uref=   0.678      Date= 508.88  Time=15.15
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -0.28  -0.14   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.25  0.143 -0.003  0.059   3.69   0.36   2.97  -0.30  -0.26   0.44   0.94  0.04  0.60 -0.05 -0.02 -0.01  0.06  0.01  0.54 -0.05
 2  0.38  0.165 -0.003  0.068   3.94   0.53   3.26  -0.38  -0.29   0.32   0.86  0.05  0.57 -0.04 -0.02  0.01 -0.02  0.01  0.53 -0.03
 3  0.51  0.178 -0.004  0.076   3.81   0.71   3.49  -0.39  -0.29   0.22   0.77  0.04  0.46  0.00  0.07  0.03  0.02 -0.01  0.48 -0.03
 4  0.63  0.187 -0.003  0.079   4.08   0.80   3.49  -0.48  -0.29   0.24   0.65  0.06  0.49  0.00 -0.02  0.02 -0.02  0.03  0.30 -0.02
 5  0.76  0.195 -0.003  0.081   4.03   0.92   3.80  -0.47  -0.28   0.12   0.84  0.06  0.62 -0.01 -0.04  0.03  0.02  0.02  0.15 -0.04
 6  1.02  0.207 -0.003  0.084   4.07   1.14   3.93  -0.54  -0.28  -0.05   0.85  0.09  0.70 -0.07 -0.02  0.09  0.05  0.03  0.16 -0.05
 7  1.27  0.215 -0.002  0.088   4.04   1.28   4.03  -0.58  -0.22  -0.05   0.74  0.10  0.52 -0.07 -0.05  0.07  0.00 -0.01  0.30 -0.02
 8  1.52  0.224 -0.002  0.091   4.16   1.37   3.98  -0.60  -0.22   0.00   0.83  0.12  0.57 -0.08 -0.09  0.06  0.02 -0.03  0.17  0.00
 9  1.78  0.231 -0.003  0.089   4.41   1.60   4.00  -0.72  -0.20   0.02   0.79  0.11  0.48 -0.05 -0.09  0.05  0.00 -0.03  0.22  0.06
10  2.03  0.237 -0.003  0.093   4.31   1.63   3.97  -0.73  -0.20  -0.08   0.82  0.15  0.55 -0.10 -0.17  0.07  0.01 -0.02  0.22 -0.02
11  2.29  0.240 -0.003  0.093   4.49   1.72   4.13  -0.78  -0.14  -0.14   0.80  0.15  0.55 -0.10 -0.13  0.08 -0.04 -0.03 -0.14  0.02
12  2.54  0.244 -0.003  0.094   4.46   1.84   4.19  -0.82  -0.08  -0.19   0.87  0.15  0.51 -0.13 -0.06  0.03  0.03 -0.04  0.16  0.04
13  2.79  0.252 -0.002  0.095   4.53   1.81   4.23  -0.82  -0.08  -0.15   0.49  0.14  0.47 -0.07 -0.13  0.08 -0.02 -0.08  0.08  0.03
14  3.30  0.260 -0.002  0.097   4.85   2.15   4.24  -0.99  -0.03  -0.34   0.78  0.16  0.53 -0.10 -0.16  0.00 -0.04 -0.06  0.02  0.08
15  3.81  0.266 -0.002  0.097   4.78   2.20   4.43  -1.04  -0.02  -0.24   0.76  0.23  0.43 -0.17 -0.23  0.10 -0.01 -0.10  0.09  0.07
16  4.32  0.275 -0.002  0.097   4.84   2.35   4.50  -1.03   0.04  -0.30   0.76  0.19  0.40 -0.21 -0.23  0.06 -0.01 -0.09  0.16  0.04
17  4.83  0.283 -0.003  0.098   5.23   2.45   4.58  -1.17   0.09  -0.29   0.64  0.19  0.47 -0.18 -0.24 -0.03 -0.12 -0.05  0.22  0.07
18  5.59  0.295 -0.003  0.099   5.15   2.56   4.76  -1.21   0.18  -0.28   0.80  0.22  0.46 -0.14 -0.26  0.06  0.06 -0.05 -0.03  0.02
19  6.35  0.304 -0.002  0.102   5.46   2.89   4.80  -1.43   0.30  -0.45   0.84  0.25  0.42 -0.27 -0.30 -0.09 -0.04 -0.08 -0.02  0.09
20  7.11  0.315 -0.001  0.105   5.52   2.91   5.01  -1.39   0.39  -0.47   0.83  0.29  0.51 -0.21 -0.24 -0.02  0.21 -0.07  0.14  0.06
21  8.38  0.330 -0.001  0.108   5.84   3.15   5.07  -1.55   0.45  -0.57   0.77  0.25  0.41 -0.26 -0.22 -0.03 -0.08 -0.03 -0.20  0.08
22 10.16  0.352 -0.001  0.108   6.02   3.39   5.32  -1.66   0.67  -0.62   0.70  0.23  0.34 -0.30 -0.18  0.03 -0.01  0.00  0.09  0.08
23 12.70  0.382  0.000  0.110   6.23   3.67   5.86  -1.85   0.90  -0.88   0.39  0.08  0.41 -0.03  0.00  0.04 -0.01  0.02 -0.05  0.06
24 15.24  0.408  0.004  0.112   6.28   3.79   6.05  -1.92   1.13  -0.87   0.16 -0.04  0.09  0.03  0.15  0.13 -0.05  0.19  0.12 -0.02
25 17.78  0.433  0.004  0.107   6.33   3.76   6.09  -1.88   1.15  -0.94   0.02 -0.11  0.14  0.05  0.18  0.16  0.14  0.26  0.40  0.02
26 20.32  0.461  0.007  0.103   6.39   3.65   5.99  -1.87   1.19  -0.95  -0.53 -0.26 -0.11  0.27  0.48  0.21  0.20  0.26  0.49 -0.11
27 22.86  0.488  0.010  0.098   6.28   3.59   5.75  -1.73   1.29  -0.98  -0.70 -0.36 -0.20  0.40  0.61  0.44  0.30  0.46  0.66 -0.24
28 25.40  0.511  0.012  0.087   5.85   3.23   5.36  -1.53   1.05  -0.89  -1.07 -0.40 -0.35  0.44  0.69  0.44  0.40  0.37  0.78 -0.20
29 27.94  0.532  0.015  0.079   5.47   3.14   5.11  -1.47   1.10  -0.83  -1.25 -0.44 -0.34  0.53  0.61  0.50  0.46  0.42  1.03 -0.19
30 30.48  0.563  0.016  0.067   4.94   2.80   4.52  -1.36   1.09  -0.89  -1.45 -0.51 -0.43  0.61  0.74  0.58  0.55  0.50  0.98 -0.32
31 33.02  0.577  0.018  0.059   4.32   2.42   3.90  -1.12   0.80  -0.65  -1.39 -0.41 -0.44  0.56  0.56  0.40  0.42  0.42  1.15 -0.20
32 35.56  0.595  0.021  0.047   3.80   2.23   3.44  -1.00   0.75  -0.66  -1.38 -0.45 -0.46  0.57  0.61  0.44  0.43  0.41  1.07 -0.19
33 38.10  0.612  0.022  0.039   3.27   1.95   2.89  -0.83   0.61  -0.63  -1.28 -0.48 -0.48  0.49  0.60  0.42  0.32  0.34  1.02 -0.19
34 40.64  0.630  0.024  0.029   2.70   1.68   2.36  -0.64   0.48  -0.57  -1.24 -0.39 -0.45  0.40  0.65  0.37  0.39  0.32  0.98 -0.16
35 45.72  0.659  0.026  0.015   1.33   1.00   1.30  -0.29   0.23  -0.25  -0.65 -0.25 -0.20  0.23  0.30  0.22  0.31  0.20  0.64 -0.10
36 50.80  0.673  0.026  0.004   0.52   0.51   0.56  -0.11   0.07  -0.07  -0.23 -0.08 -0.06  0.10  0.12  0.09  0.08  0.07  0.21 -0.02
37 55.88  0.677  0.032  0.001   0.18   0.53   0.26  -0.02   0.02   0.00  -0.01 -0.01  0.04  0.02  0.04  0.02  0.01  0.01  0.02  0.00
38 60.96  0.678  0.033  0.001   0.12   0.41   0.24   0.00   0.01   0.02   0.02  0.00  0.07  0.01  0.00  0.01  0.01  0.00  0.06  0.00
39 66.04  0.676  0.000  0.001   0.10   0.00   0.19   0.00   0.00   0.02   0.02  0.00  0.06  0.00  0.00  0.00  0.02  0.00  0.06  0.00
40 71.12  0.675  0.000  0.002   0.09   0.00   0.20   0.00   0.00   0.02   0.02  0.00  0.05  0.00  0.00  0.00  0.01  0.00  0.03  0.00
