#
#            Case D.S0       Station=  4
#            X= -12.7 mm      Tunnel Run#= 787   Ue/Uref=   0.931      Date= 621.88  Time=10.18
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -1.00   0.00   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.25  0.377  0.003 -0.003  10.96   0.99   4.66  -1.19  -0.08  -0.39   0.75  0.13  1.46  0.08  0.15  0.08 -0.34  0.00 -0.98 -0.03
 2  0.63  0.464  0.003 -0.004   8.23   1.73   4.91  -1.32  -0.08  -0.35  -0.04 -0.04  0.98  0.33  0.03  0.21 -0.33  0.03 -1.18 -0.02
 3  1.27  0.516  0.005 -0.005   7.16   2.15   4.64  -1.44  -0.09  -0.30   0.77 -0.05  0.77  0.08  0.15  0.16 -0.26  0.03 -0.73  0.00
 4  2.54  0.586  0.007 -0.005   6.94   2.28   4.08  -1.58  -0.06  -0.17   0.32 -0.13  0.45  0.12  0.14  0.08 -0.08  0.01 -0.44 -0.03
 5  6.35  0.709  0.014 -0.004   5.53   1.98   3.48  -1.31  -0.02  -0.11  -0.68 -0.20  0.27  0.26  0.18  0.10 -0.10  0.01 -0.61 -0.01
 6 10.16  0.796  0.020 -0.004   3.96   1.50   2.64  -0.96  -0.02  -0.12  -0.90 -0.22  0.03  0.31  0.23  0.14 -0.03  0.02 -0.43 -0.02
 7 15.24  0.886  0.027 -0.001   1.77   0.72   1.20  -0.36  -0.04   0.02  -0.72 -0.15 -0.09  0.18  0.12  0.07 -0.02 -0.01  0.03  0.02
 8 20.32  0.926  0.035  0.000   0.28   0.24   0.33  -0.06   0.00   0.00  -0.07 -0.04  0.03  0.03  0.06  0.02  0.01  0.00  0.04  0.00
 9 25.40  0.928  0.040 -0.002   0.08   0.09   0.19   0.00   0.00   0.01   0.01  0.00  0.04  0.00  0.00  0.00  0.02  0.00  0.05  0.00
10 30.48  0.931  0.044 -0.002   0.09   0.09   0.24   0.00   0.00   0.02   0.02  0.00  0.07  0.00  0.03  0.00  0.03  0.00  0.09  0.00
11 35.56  0.929  0.049  0.000   0.07   0.08   0.20   0.00   0.00   0.01   0.02  0.00  0.05  0.00  0.00  0.00  0.02  0.00  0.05  0.00
12 40.64  0.930  0.052  0.002   0.08   0.08   0.21   0.00   0.00   0.01   0.02  0.00  0.05  0.00  0.00  0.00  0.02  0.00  0.07  0.00
13 45.72  0.931  0.055  0.001   0.08   0.08   0.21   0.00   0.00   0.02   0.02  0.00  0.05  0.00  0.00  0.00  0.02  0.00  0.07  0.00
14 50.80  0.931  0.058 -0.001   0.09   0.09   0.25   0.00   0.00   0.02   0.02  0.00  0.07  0.00  0.01  0.00  0.03  0.00  0.10  0.00
15 55.88  0.931  0.066  0.000   0.09   0.37   0.26   0.00  -0.01   0.02   0.02  0.00  0.07  0.00  0.00  0.00  0.03  0.00  0.10  0.00
16 60.96  0.930  0.067 -0.001   0.10   0.38   0.29   0.00   0.00   0.06   0.03  0.00  0.10  0.00  0.00  0.00  0.05  0.00  0.15  0.00
17 66.04  0.929  0.000 -0.004   0.11   0.00   0.31   0.00   0.00   0.08   0.04  0.00  0.11  0.00  0.00  0.00  0.06  0.00  0.18  0.00
18 71.12  0.921  0.000 -0.002   0.10   0.00   0.28   0.00   0.00  -0.02   0.00  0.00 -0.01  0.00  0.00  0.00  0.00  0.00  0.00  0.00
