#
#            Case D.S0       Station=  5
#            X=   0.0 mm      Tunnel Run#= 785   Ue/Uref=   0.917      Date= 621.88  Time= 8.45
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -0.98   0.00   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.25  0.332 -0.018 -0.015  11.39   1.22   7.39  -1.18  -0.06  -2.39   2.09  0.15  5.95  0.08  1.28  0.18 -3.12  0.01 -9.23 -0.06
 2  0.63  0.426 -0.010 -0.005   8.23   1.67   5.19  -1.35  -0.05  -0.56   0.18 -0.01  1.55  0.25  0.04  0.23 -0.33  0.02 -2.22 -0.04
 3  1.27  0.490 -0.003 -0.003   7.56   2.05   4.41  -1.46  -0.09  -0.31   0.30 -0.01  0.95  0.18  0.02  0.12 -0.32  0.00 -1.02 -0.08
 4  2.54  0.555  0.004 -0.003   7.22   2.24   4.22  -1.48  -0.13   0.00   0.25  0.05  0.63  0.06  0.24  0.14 -0.18  0.01 -0.78  0.01
 5  6.35  0.682  0.013 -0.002   5.78   1.99   3.55  -1.32  -0.11  -0.04  -0.70 -0.17  0.15  0.29  0.17  0.18 -0.22 -0.02 -0.59  0.00
 6 10.16  0.772  0.020  0.001   4.12   1.59   2.65  -0.97  -0.02  -0.08  -1.02 -0.19 -0.05  0.28  0.22  0.10  0.01  0.03 -0.08 -0.02
 7 15.24  0.859  0.028  0.003   1.97   0.86   1.38  -0.46   0.01  -0.01  -0.75 -0.16 -0.11  0.22  0.14  0.09 -0.04  0.01 -0.11  0.00
 8 20.32  0.904  0.035  0.004   0.49   0.35   0.45  -0.12   0.01  -0.01  -0.18 -0.06  0.00  0.07  0.07  0.03  0.00  0.00 -0.01  0.00
 9 25.40  0.915  0.039  0.002   0.10   0.11   0.25   0.00   0.00  -0.03   0.03  0.00  0.08  0.00  0.01  0.00 -0.01  0.00 -0.04  0.00
10 30.48  0.916  0.043  0.001   0.08   0.08   0.21   0.00   0.00  -0.01   0.02  0.00  0.06  0.00  0.00  0.00  0.01  0.00  0.01  0.00
11 35.56  0.916  0.047  0.002   0.07   0.07   0.19   0.00   0.00   0.00   0.01  0.00  0.04  0.00  0.00  0.00  0.02  0.00  0.05  0.00
12 40.64  0.918  0.049  0.003   0.07   0.07   0.20   0.00   0.00   0.01   0.01  0.00  0.05  0.00  0.00  0.00  0.01  0.00  0.04  0.00
13 45.72  0.918  0.054  0.004   0.07   0.10   0.20   0.00   0.00   0.01   0.01  0.00  0.04  0.00  0.08  0.00  0.01  0.00  0.04  0.00
14 50.80  0.921  0.056  0.002   0.09   0.08   0.24   0.00   0.00   0.03   0.02  0.00  0.07  0.00  0.00  0.00  0.03  0.00  0.09  0.00
15 55.88  0.922  0.064  0.003   0.09   0.48   0.26   0.00   0.01   0.06   0.02  0.00  0.08  0.00  0.75  0.01  0.04  0.02  0.13  0.00
16 60.96  0.925  0.064  0.002   0.11   0.42   0.31   0.00   0.01   0.06   0.03  0.00  0.10  0.00  0.00  0.00  0.05  0.00  0.14  0.00
17 66.04  0.926  0.000  0.000   0.13   0.00   0.35   0.00   0.00   0.11   0.05  0.00  0.14  0.00  0.00  0.00  0.08  0.00  0.24  0.00
