#
#            Case D.S0       Station=  6
#            X=  12.7 mm      Tunnel Run#= 783   Ue/Uref=   0.905      Date= 617.88  Time= 8.38
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -0.88   0.00   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.38  0.372  0.002 -0.001   9.45   0.95   4.27  -1.05  -0.06  -0.25   0.11  0.02  1.34  0.27  0.03  0.13 -0.28  0.03 -0.93  0.01
 2  0.63  0.419  0.003  0.000   7.78   1.41   4.24  -1.17   0.00  -0.23   0.04  0.00  0.76  0.33 -0.02  0.13 -0.12  0.00 -0.30 -0.01
 3  1.27  0.471  0.003  0.001   7.09   2.01   3.85  -1.38  -0.02  -0.11   0.65 -0.01  0.45  0.03  0.15  0.11 -0.09 -0.04 -0.24  0.03
 4  2.54  0.534  0.007 -0.001   7.27   2.32   4.29  -1.46  -0.06  -0.13   0.37  0.00  0.65  0.14  0.17  0.10 -0.35  0.03 -0.67 -0.02
 5  6.35  0.656  0.014 -0.001   5.96   2.08   3.61  -1.35  -0.05  -0.16  -0.54 -0.11  0.26  0.23  0.15  0.08 -0.16 -0.01 -0.38 -0.02
 6 10.16  0.746  0.021  0.000   4.47   1.67   2.73  -1.05  -0.01  -0.02  -1.00 -0.23  0.05  0.28  0.30  0.08  0.00  0.03 -0.20 -0.01
 7 15.24  0.836  0.030  0.001   2.38   0.95   1.56  -0.55  -0.02   0.00  -0.93 -0.20 -0.10  0.25  0.17  0.11 -0.02 -0.01 -0.10  0.00
 8 20.32  0.891  0.036  0.003   0.53   0.37   0.51  -0.11  -0.01  -0.03  -0.17 -0.06  0.08  0.06  0.13  0.02 -0.05  0.00 -0.14  0.00
 9 25.40  0.904  0.041  0.002   0.13   0.12   0.28  -0.01   0.00  -0.01   0.04  0.00  0.13  0.00  0.01  0.00 -0.02  0.00 -0.06  0.00
10 30.48  0.905  0.045 -0.001   0.08   0.08   0.22   0.00   0.00   0.00   0.02  0.00  0.08  0.00  0.00  0.00 -0.01  0.00 -0.03  0.00
11 35.56  0.907  0.048  0.001   0.09   0.08   0.24   0.00   0.00   0.00   0.03  0.00  0.10  0.00  0.00  0.00  0.00  0.00 -0.01  0.00
12 40.64  0.908  0.051  0.002   0.08   0.11   0.23   0.00   0.00   0.00   0.03  0.00  0.08  0.00  0.09  0.00 -0.01  0.00 -0.04  0.00
13 45.72  0.910  0.057  0.001   0.08   0.10   0.22   0.00   0.00  -0.01   0.02  0.00  0.07  0.00  0.00  0.00 -0.01  0.00 -0.02  0.00
14 50.80  0.910  0.062  0.000   0.07   0.10   0.20   0.00   0.00   0.00   0.02  0.00  0.05  0.00  0.00  0.00  0.00  0.00  0.01  0.00
15 55.88  0.912  0.067  0.000   0.08   0.48   0.22  -0.01   0.00   0.00   0.02  0.00  0.06  0.00  0.24 -0.01  0.00 -0.01  0.00  0.00
16 60.96  0.912  0.074  0.000   0.09   0.69   0.26   0.00   0.00   0.02   0.03  0.01  0.09  0.00  1.75  0.00  0.02  0.02  0.05  0.00
17 66.04  0.915  0.000 -0.003   0.08   0.00   0.23   0.00   0.00   0.02   0.01  0.00  0.02  0.00  0.00  0.00  0.01  0.00  0.04  0.00
