#
#            Case D.S0       Station=  8
#            X=  48.3 mm      Tunnel Run#= 779   Ue/Uref=   0.868      Date= 616.88  Time=17.35
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -0.60   0.00   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.25  0.230  0.004  0.000   8.32   0.53   4.00  -0.57  -0.03  -0.21   2.77  0.10  2.15 -0.21 -0.01  0.06 -0.43  0.01 -1.05  0.02
 2  0.63  0.328  0.004 -0.003   7.52   1.18   4.83  -0.84  -0.13  -0.35   1.05  0.04  1.23  0.13 -0.03  0.12 -0.57 -0.02 -0.99  0.03
 3  1.27  0.384  0.006 -0.001   7.25   1.81   4.22  -1.18  -0.05  -0.33   1.12  0.09  0.76 -0.07 -0.02  0.11 -0.08 -0.01 -0.46  0.01
 4  2.54  0.442  0.009 -0.002   7.13   2.17   3.89  -1.38  -0.05  -0.33   0.65  0.12  0.40 -0.12 -0.01  0.02 -0.05  0.03 -0.22 -0.03
 5  6.35  0.566  0.017 -0.003   6.71   2.23   3.85  -1.39  -0.02  -0.14  -0.56 -0.05  0.10  0.11  0.06  0.06  0.00  0.01 -0.10 -0.06
 6 10.16  0.659  0.027 -0.003   5.45   1.88   3.26  -1.20   0.00  -0.10  -0.95 -0.22 -0.09  0.29  0.21  0.14 -0.03  0.03 -0.22  0.00
 7 15.24  0.760  0.038 -0.004   3.20   1.18   2.12  -0.71   0.01  -0.11  -0.85 -0.22 -0.16  0.26  0.17  0.12 -0.03  0.00 -0.14 -0.03
 8 20.32  0.827  0.048 -0.003   1.36   0.59   0.88  -0.29  -0.02  -0.03  -0.60 -0.14 -0.06  0.18  0.18  0.05 -0.04 -0.02 -0.10  0.00
 9 25.40  0.860  0.054 -0.002   0.23   0.23   0.32  -0.03   0.00  -0.05  -0.01 -0.01  0.10  0.02  0.11  0.00 -0.05  0.00 -0.15  0.00
10 30.48  0.863  0.059 -0.003   0.11   0.10   0.26   0.00   0.00  -0.02   0.04  0.00  0.13  0.00  0.00  0.00 -0.03  0.00 -0.10  0.00
11 35.56  0.868  0.064 -0.003   0.11   0.08   0.28   0.00   0.00  -0.01   0.05  0.00  0.15  0.00  0.00  0.00 -0.03  0.00 -0.10  0.00
12 40.64  0.866  0.068 -0.002   0.10   0.08   0.26   0.00   0.00   0.00   0.04  0.00  0.13  0.00  0.00  0.00 -0.02  0.00 -0.05  0.00
13 45.72  0.873  0.073  0.001   0.15   0.10   0.40   0.00   0.00  -0.01   0.10  0.00  0.28  0.00  0.08  0.00 -0.05  0.00 -0.15  0.00
14 50.80  0.873  0.089  0.004   0.15   0.56   0.34   0.01   0.00   0.04   0.07  0.00  0.20  0.00  0.95  0.00  0.00 -0.01 -0.01  0.00
15 55.88  0.877  0.094  0.008   0.13   0.53   0.34   0.00   0.01   0.09   0.05  0.00  0.15  0.00  0.25  0.01  0.05 -0.01  0.15  0.00
16 60.96  0.889  0.103  0.023   0.12   0.72   0.31   0.00   0.01   0.09   0.03  0.01  0.08  0.00  1.27  0.01  0.03  0.03  0.09  0.00
17 66.04  0.899  0.000  0.037   0.13   0.00   0.42   0.00   0.00   0.12   0.01  0.00  0.03  0.00  0.00  0.00  0.00  0.00 -0.02  0.00
