#
#            Case D.S0       Station=  9
#            X= 101.6 mm      Tunnel Run#= 777   Ue/Uref=   0.802      Date= 616.88  Time=14.36
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -0.37   0.00   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.25  0.136  0.005  0.002   5.35   0.46   2.93  -0.36  -0.06   0.21   2.51  0.11  1.39 -0.15  0.36  0.03  0.16 -0.01  0.25 -0.03
 2  0.63  0.207  0.005  0.002   6.59   0.97   3.42  -0.73  -0.06  -0.01   1.79  0.14  0.78 -0.11 -0.06  0.05 -0.05  0.01  0.07  0.01
 3  1.27  0.241  0.007  0.005   6.72   1.62   3.52  -0.96   0.01  -0.12   1.40  0.19  0.65 -0.11 -0.09  0.05 -0.05  0.02 -0.07 -0.03
 4  2.54  0.290  0.010  0.003   7.67   2.17   3.78  -1.30   0.00  -0.27   1.49  0.22  0.39 -0.27 -0.11  0.00 -0.03 -0.02  0.00 -0.04
 5  6.35  0.414  0.017  0.000   8.49   2.61   4.23  -1.68   0.01  -0.31  -0.20  0.03  0.08  0.07  0.02  0.04  0.08 -0.01 -0.07 -0.02
 6 10.16  0.514  0.027 -0.006   7.12   2.33   3.98  -1.46   0.10  -0.15  -0.88 -0.15 -0.25  0.26  0.12  0.07 -0.06 -0.02 -0.13  0.00
 7 15.24  0.626  0.041 -0.005   5.18   1.76   2.95  -1.08   0.01  -0.07  -1.53 -0.26 -0.22  0.37  0.23  0.09 -0.06  0.02  0.00  0.02
 8 20.32  0.713  0.053 -0.006   3.00   1.11   1.82  -0.59   0.02  -0.10  -0.99 -0.22 -0.21  0.26  0.19  0.10  0.03  0.01  0.05 -0.02
 9 25.40  0.776  0.062 -0.006   1.14   0.54   0.70  -0.24   0.00  -0.02  -0.54 -0.12 -0.09  0.15  0.10  0.05  0.02  0.00  0.05 -0.01
10 30.48  0.799  0.068 -0.006   0.20   0.18   0.25  -0.03   0.00   0.03  -0.01 -0.01  0.04  0.01  0.02  0.01  0.02  0.00  0.06  0.00
11 35.56  0.804  0.071 -0.010   0.08   0.09   0.16   0.00   0.00   0.01   0.01  0.00  0.03  0.00  0.00  0.00  0.01  0.00  0.02  0.00
12 40.64  0.803  0.074 -0.009   0.09   0.07   0.15   0.00   0.00   0.01   0.01  0.00  0.02  0.00  0.00  0.00  0.01  0.00  0.04  0.00
13 45.72  0.804  0.077 -0.008   0.10   0.07   0.16   0.00   0.00   0.02   0.01  0.00  0.03  0.00  0.00  0.00  0.01  0.00  0.03  0.00
14 50.80  0.803  0.080 -0.008   0.08   0.07   0.18   0.00   0.00   0.02   0.02  0.00  0.05  0.00  0.00  0.00  0.01  0.00  0.05  0.00
15 55.88  0.803  0.090 -0.007   0.07   0.36   0.17   0.00   0.00   0.02   0.01  0.00  0.04  0.00  0.02  0.00  0.02  0.00  0.05  0.00
16 60.96  0.798  0.092 -0.008   0.07   0.42   0.18   0.00   0.00   0.02   0.01  0.00  0.04  0.00  0.73  0.00  0.02  0.00  0.05  0.00
17 66.04  0.805  0.000 -0.010   0.12   0.00   0.21   0.00   0.00   0.03   0.02  0.00  0.06  0.00  0.00  0.00  0.02  0.00  0.05  0.00
18 69.85  0.801  0.000 -0.009   0.06   0.00   0.16   0.00   0.00   0.02   0.01  0.00  0.03  0.00  0.00  0.00  0.01  0.00  0.04  0.00
