#
#            Case D.S0       Station= 10
#            X= 152.4 mm      Tunnel Run#= 775   Ue/Uref=   0.755      Date= 616.88  Time=12.37
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -0.20   0.00   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.63  0.107  0.005  0.010   4.98   0.69   2.93  -0.34  -0.04   0.00   1.71  0.11  0.95 -0.14  0.00  0.02 -0.07  0.00 -0.10 -0.02
 2  1.27  0.135  0.006  0.015   5.74   1.23   3.22  -0.54  -0.05  -0.08   1.37  0.19  0.86 -0.18 -0.12 -0.02 -0.28  0.01 -0.13  0.02
 3  2.54  0.169  0.009  0.013   6.91   1.81   3.65  -0.91  -0.03  -0.10   1.87  0.33  0.86 -0.36 -0.23  0.00 -0.04  0.03 -0.18 -0.03
 4  6.35  0.257  0.016  0.011   8.59   2.63   4.44  -1.54  -0.05  -0.09   0.99  0.33  0.66 -0.20 -0.24 -0.08 -0.15 -0.04 -0.15  0.01
 5 10.16  0.354  0.024  0.010   8.98   2.94   4.97  -1.64  -0.02  -0.30  -0.34  0.02  0.29 -0.03  0.19  0.01 -0.07  0.00 -0.17  0.03
 6 15.24  0.477  0.036  0.005   7.70   2.52   4.51  -1.41   0.00  -0.09  -1.59 -0.25 -0.10  0.28  0.21  0.20 -0.05  0.03 -0.14 -0.06
10 20.32  0.580  0.049  0.003   5.34   1.89   3.29  -1.06  -0.02  -0.02  -1.57 -0.29 -0.33  0.34  0.23  0.17  0.09 -0.01  0.05 -0.06
11 25.40  0.666  0.060  0.003   3.24   1.26   1.98  -0.69   0.01  -0.11  -1.20 -0.32 -0.19  0.33  0.32  0.13 -0.06  0.02 -0.08 -0.02
12 30.48  0.722  0.066  0.003   1.27   0.68   0.84  -0.27   0.03  -0.02  -0.60 -0.15 -0.06  0.17  0.23  0.06 -0.02  0.02  0.02  0.00
13 35.56  0.749  0.069  0.001   0.22   0.24   0.28  -0.04   0.00  -0.01  -0.05 -0.02  0.05  0.03  0.10  0.01 -0.01 -0.01 -0.04  0.00
14 40.64  0.752  0.070 -0.001   0.10   0.11   0.22   0.00   0.00  -0.01   0.03  0.00  0.10  0.00  0.00  0.00 -0.03  0.00 -0.08  0.00
15 45.72  0.750  0.070  0.000   0.08   0.09   0.18   0.00   0.01   0.00   0.02  0.00  0.06  0.00  0.01  0.00 -0.01  0.00 -0.02  0.00
16 50.80  0.752  0.071  0.000   0.07   0.10   0.17   0.00   0.00   0.00   0.02  0.00  0.06  0.00  0.07  0.00 -0.01  0.00 -0.03  0.00
17 55.88  0.751  0.076  0.000   0.08   0.37   0.20   0.00   0.00   0.02   0.03  0.00  0.07  0.00  0.02  0.00  0.02  0.00  0.04 -0.01
18 60.96  0.752  0.077  0.000   0.10   0.36   0.25   0.00   0.00  -0.02   0.05  0.00  0.13  0.00  0.00  0.00 -0.03  0.00 -0.09  0.00
19 66.04  0.750  0.000 -0.001   0.09   0.00   0.21   0.00   0.00   0.00   0.03  0.00  0.09  0.00  0.00  0.00 -0.01  0.00 -0.04  0.00
20 71.12  0.753  0.000  0.000   0.07   0.00   0.20   0.00   0.00   0.02   0.02  0.00  0.06  0.00  0.00  0.00  0.01  0.00  0.05  0.00
