#
#            Case D.S0       Station= 11
#            X= 228.6 mm      Tunnel Run#= 773   Ue/Uref=   0.720      Date= 616.88  Time= 9.45
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -0.05   0.00   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  1.27  0.038  0.004  0.001   4.15   0.85   2.62  -0.18  -0.03  -0.06   1.35  0.11  0.64 -0.12 -0.12  0.00  0.12 -0.01  0.31  0.01
 2  2.54  0.055  0.007  0.001   4.77   1.37   2.92  -0.38  -0.08  -0.03   1.49  0.26  0.64 -0.22 -0.18 -0.04  0.07  0.03  0.13 -0.03
 3  6.35  0.106  0.011  0.001   7.08   2.39   3.71  -1.12  -0.07  -0.10   2.42  0.47  0.89 -0.60 -0.42 -0.14  0.03  0.05 -0.10 -0.01
 4 10.16  0.173  0.016  0.005   8.92   2.97   4.64  -1.62  -0.06  -0.12   2.26  0.45  0.66 -0.58 -0.34 -0.17 -0.06  0.07 -0.14 -0.01
 5 15.24  0.279  0.022  0.006  10.47   3.41   5.57  -1.95  -0.02  -0.26   0.03  0.10  0.34 -0.05 -0.12 -0.09 -0.08  0.13 -0.02  0.01
 6 20.32  0.388  0.030  0.004  10.37   3.40   5.61  -2.01  -0.06  -0.35  -2.60 -0.36 -0.20  0.35  0.24  0.14  0.09  0.09 -0.19  0.02
 7 25.40  0.498  0.040  0.004   7.84   2.65   4.56  -1.54   0.02  -0.12  -3.23 -0.52 -0.69  0.77  0.43  0.30  0.22  0.04  0.08 -0.04
 8 30.48  0.595  0.049  0.005   4.87   1.79   2.97  -0.99  -0.05  -0.06  -2.31 -0.46 -0.41  0.56  0.33  0.19 -0.02 -0.02 -0.02  0.05
 9 35.56  0.669  0.055  0.004   2.48   1.04   1.52  -0.53   0.00  -0.06  -1.33 -0.27 -0.19  0.38  0.24  0.13  0.02  0.03  0.01 -0.03
10 40.64  0.711  0.059  0.003   0.65   0.48   0.53  -0.16   0.02  -0.01  -0.27 -0.09  0.00  0.10  0.10  0.05  0.02  0.00  0.03 -0.01
11 45.72  0.719  0.059  0.002   0.15   0.18   0.25  -0.01   0.01  -0.01   0.02  0.00  0.08  0.00  0.01  0.00 -0.02  0.00 -0.06  0.00
12 50.80  0.717  0.059  0.001   0.12   0.11   0.28   0.00   0.00  -0.01   0.05  0.00  0.15  0.00  0.00  0.00 -0.03  0.00 -0.09  0.00
13 55.88  0.719  0.063  0.002   0.10   0.47   0.26   0.00   0.00   0.02   0.04  0.00  0.12  0.00  0.10  0.00  0.01  0.00  0.02  0.00
14 60.96  0.719  0.064  0.003   0.10   0.38   0.27   0.00   0.00   0.05   0.04  0.00  0.11  0.00  0.00  0.00  0.03  0.00  0.09  0.00
15 66.04  0.715  0.000  0.005   0.14   0.00   0.37   0.00   0.00   0.01   0.08  0.00  0.24  0.00  0.00  0.00 -0.02  0.00 -0.06  0.00
16 71.12  0.717  0.000  0.007   0.11   0.00   0.33   0.00   0.00   0.02   0.05  0.00  0.17  0.00  0.00  0.00 -0.01  0.00 -0.04  0.00
