#
#            Case D.S1       Station=  4
#            X= -12.7 mm      Tunnel Run#= 786   Ue/Uref=   0.936      Date= 621.88  Time= 9.42
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  1.000   0.00   0.00   0.00  -2.39   2.73   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.25  0.473 -0.004  0.378  15.51   2.52  22.13  -1.81   1.87  -8.85  -0.11 -0.22 -4.50  1.00 -0.07  2.38  3.18  0.22  2.64 -1.09
 2  0.38  0.512 -0.005  0.340  14.13   3.33  19.18  -1.82   2.12  -5.90   0.48 -0.35 -2.64  0.95  0.24  1.69  2.20  0.56  0.87 -0.98
 3  0.51  0.533 -0.004  0.310  13.36   3.67  16.74  -1.86   2.03  -4.97   0.40 -0.42 -1.53  0.72  0.60  1.86  1.59  0.66  0.76 -0.68
 4  0.63  0.549 -0.004  0.295  13.07   3.78  15.96  -1.93   1.95  -4.49  -0.37 -0.27 -0.48  0.71  0.42  1.48  1.10  0.35  0.48 -0.28
 5  0.76  0.561 -0.003  0.284  13.08   4.10  15.03  -2.16   2.38  -4.59  -0.58 -0.46 -1.26  0.83  0.72  1.62  1.64  0.81  0.79 -0.62
 6  1.02  0.586 -0.003  0.255  12.58   4.14  14.55  -2.28   2.18  -4.42  -0.94 -0.64 -0.96  1.03  1.04  1.46  1.50  0.79  0.82 -0.47
 7  1.27  0.608 -0.003  0.236  12.14   4.05  14.00  -2.02   2.06  -4.21  -0.69 -0.45 -1.11  0.87  0.83  1.44  1.31  0.73  1.32 -0.49
 8  1.52  0.618 -0.001  0.223  12.06   4.14  13.65  -2.12   2.33  -4.41  -1.65 -0.48 -1.24  0.90  0.72  1.84  1.43  0.78  1.28 -0.71
 9  1.78  0.631  0.000  0.211  11.91   4.32  13.32  -2.36   2.40  -4.49  -1.12 -0.73 -1.03  1.24  0.92  1.84  1.50  0.93  1.48 -0.89
10  2.03  0.644 -0.001  0.197  11.35   4.06  12.82  -2.11   2.21  -4.30  -1.72 -0.71 -1.09  1.25  0.83  1.67  1.35  0.81  0.61 -0.69
11  2.29  0.653  0.000  0.187  11.15   4.10  12.30  -2.14   2.30  -4.24  -1.33 -0.75 -1.39  1.18  0.90  1.81  1.73  1.07  1.98 -0.97
12  2.54  0.663  0.002  0.181  10.36   4.30  12.24  -2.20   2.36  -4.09  -1.34 -0.68 -1.20  0.86  1.18  1.86  1.32  0.94  2.03 -0.77
