#
#            Case D.S1       Station=  7
#            X=  25.4 mm      Tunnel Run#= 780   Ue/Uref=   0.896      Date= 616.88  Time=18.56
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -1.29  -0.55   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.25  0.360  0.003  0.161  11.14   1.05   7.87  -1.25  -0.47   2.06   1.18  0.05  1.94  0.18  0.02  0.07 -1.13  0.08  0.85  0.04
 2  0.38  0.414  0.001  0.180  10.04   1.52   8.99  -1.59  -0.48   0.99   0.15  0.00  1.27  0.41 -0.01  0.31 -1.20 -0.06 -1.08  0.31
 3  0.51  0.451  0.001  0.189   9.38   2.03   9.06  -1.66  -0.38   0.14   0.41 -0.03  1.23  0.36  0.00  0.27 -1.11 -0.11 -1.21  0.30
 4  0.63  0.474  0.002  0.197   8.45   2.29   9.18  -1.57  -0.21  -0.26   0.63 -0.12  0.80  0.40  0.08  0.24 -0.51 -0.18 -1.07  0.34
 5  0.76  0.494  0.001  0.198   8.35   2.44   8.89  -1.56  -0.14  -0.73   1.12 -0.06  0.75  0.17  0.07  0.27 -0.48 -0.22 -1.25  0.33
 6  1.02  0.529  0.002  0.197   8.28   2.69   9.63  -1.57   0.16  -1.21   1.18 -0.08  0.34  0.24  0.13  0.11 -0.20 -0.11 -0.51  0.32
 7  1.27  0.554  0.002  0.194   8.13   2.89   9.23  -1.51   0.59  -1.58   0.98 -0.06  0.35  0.22  0.19  0.19  0.23 -0.17 -0.36  0.14
 8  1.52  0.572  0.004  0.190   8.38   3.01   9.42  -1.50   0.80  -1.88   1.03 -0.03  0.06  0.23  0.09  0.20  0.21 -0.03  0.30  0.03
 9  1.78  0.588  0.002  0.186   8.35   3.18   9.82  -1.44   1.02  -1.79   0.68 -0.18  0.05  0.52  0.02  0.34  0.38  0.06  0.36  0.10
10  2.03  0.599  0.003  0.181   8.32   3.27  10.00  -1.41   1.28  -2.08   0.59 -0.27 -0.29  0.43  0.24  0.42  0.34  0.19  0.30 -0.02
11  2.29  0.610  0.003  0.179   8.58   3.43  10.15  -1.49   1.51  -2.41   0.24 -0.24 -0.51  0.56  0.19  0.70  0.51  0.23  1.28 -0.13
12  2.54  0.617  0.005  0.177   8.67   3.62  10.23  -1.49   1.74  -2.65   0.15 -0.18 -0.29  0.54  0.21  0.69  0.64  0.38  0.70 -0.22
13  2.79  0.627  0.004  0.168   8.41   3.71  10.16  -1.55   1.82  -2.35  -0.08 -0.30 -0.69  0.61  0.34  0.94  0.78  0.47  1.35 -0.33
14  3.30  0.636  0.005  0.164   8.69   4.04  10.02  -1.71   2.04  -2.72  -0.19 -0.35 -0.59  0.65  0.50  1.00  0.79  0.54  1.27 -0.35
15  3.81  0.641  0.005  0.158   8.53   4.05  10.03  -1.77   2.11  -2.87  -0.52 -0.57 -0.75  0.69  0.66  1.27  0.96  0.83  1.98 -0.56
16  4.32  0.647  0.006  0.152   8.34   4.32  10.02  -1.85   2.27  -2.84  -0.66 -0.61 -0.75  0.78  0.80  1.41  0.98  0.97  1.69 -0.61
17  4.83  0.656  0.008  0.148   8.52   4.45   9.95  -2.09   2.26  -2.96  -0.74 -0.55 -0.69  0.76  1.02  1.59  0.68  1.00  2.12 -0.58
18  5.59  0.665  0.008  0.145   8.44   4.53   9.62  -2.11   2.37  -2.88  -1.25 -0.57 -0.95  0.79  1.05  1.26  1.06  1.13  1.93 -0.58
19  6.35  0.673  0.010  0.141   8.14   4.69   9.38  -2.13   2.35  -2.84  -0.93 -0.51 -0.80  0.82  0.93  1.27  0.93  0.92  2.14 -0.58
20  7.11  0.677  0.012  0.138   8.12   4.73   8.99  -2.15   2.34  -2.65  -0.96 -0.60 -0.34  0.89  0.84  1.15  0.67  0.88  1.59 -0.46
21  8.38  0.689  0.015  0.131   7.82   4.79   8.61  -2.19   2.43  -2.21  -0.99 -0.64 -0.43  0.73  1.04  1.13  0.48  0.94  1.80 -0.48
22 10.16  0.709  0.017  0.122   7.39   4.66   8.07  -2.08   2.16  -1.96  -0.89 -0.38 -0.38  0.42  0.82  0.80  0.48  0.72  1.27 -0.25
23 12.70  0.728  0.021  0.110   7.09   4.37   7.46  -1.99   1.95  -1.65  -1.34 -0.49 -0.28  0.56  1.03  0.65  0.55  0.71  1.12 -0.26
24 15.24  0.750  0.027  0.099   6.87   4.10   6.70  -2.03   1.84  -1.48  -1.40 -0.57 -0.38  0.60  0.96  0.64  0.54  0.68  1.11 -0.30
25 17.78  0.772  0.031  0.085   6.25   3.67   6.44  -1.77   1.63  -1.47  -1.64 -0.57 -0.64  0.65  0.99  0.86  0.75  0.70  1.61 -0.33
26 20.32  0.797  0.036  0.071   5.69   3.25   5.72  -1.63   1.55  -1.41  -1.89 -0.70 -0.77  0.75  1.05  0.94  0.76  0.74  1.86 -0.45
27 22.86  0.816  0.041  0.057   5.16   2.88   4.88  -1.47   1.36  -1.39  -2.25 -0.70 -0.67  0.87  0.97  0.86  0.78  0.73  1.72 -0.36
28 25.40  0.839  0.044  0.044   4.24   2.38   4.13  -1.15   1.00  -1.13  -2.14 -0.69 -0.85  0.77  0.86  0.79  0.82  0.59  2.04 -0.39
29 27.94  0.855  0.047  0.031   3.46   2.03   3.11  -0.94   0.80  -1.02  -2.24 -0.72 -0.80  0.86  0.89  0.70  0.91  0.58  1.72 -0.38
30 30.48  0.874  0.049  0.019   2.32   1.73   2.30  -0.68   0.63  -0.63  -1.64 -0.58 -0.67  0.70  0.83  0.66  0.67  0.60  1.43 -0.32
31 33.02  0.888  0.050  0.009   1.33   1.15   1.39  -0.39   0.37  -0.32  -0.92 -0.33 -0.33  0.38  0.60  0.42  0.41  0.33  0.88 -0.18
32 35.56  0.896  0.050  0.001   0.61   0.63   0.66  -0.19   0.16  -0.15  -0.37 -0.18 -0.14  0.20  0.34  0.20  0.18  0.18  0.34 -0.10
33 38.10  0.900  0.052 -0.001   0.32   0.40   0.39  -0.10   0.06  -0.05  -0.13 -0.10 -0.02  0.09  0.19  0.08  0.05  0.05  0.14 -0.03
34 40.64  0.902  0.053 -0.001   0.20   0.27   0.26  -0.03   0.02  -0.02  -0.02 -0.03  0.03  0.04  0.10  0.03  0.02  0.02  0.02 -0.01
35 45.72  0.903  0.058  0.001   0.12   0.16   0.24  -0.01   0.00  -0.01   0.03  0.00  0.08  0.00  0.09  0.00 -0.01  0.00 -0.02  0.00
36 50.80  0.902  0.059  0.003   0.09   0.22   0.24   0.00  -0.01   0.01   0.03  0.00  0.09  0.00  0.43  0.00  0.00  0.00 -0.01  0.00
37 55.88  0.904  0.072  0.002   0.09   0.43   0.26   0.00   0.00   0.03   0.03  0.00  0.10  0.00 -0.01  0.00  0.01  0.00  0.01  0.00
38 60.96  0.902  0.075  0.001   0.08   4.46   0.19  -0.01   0.00   0.00   0.02  0.08  0.05  0.00 38.61 -0.01 -0.02  0.13 -0.05  0.00
39 66.04  0.904  0.000 -0.006   0.08   0.00   0.24   0.00   0.00   0.04   0.02  0.00  0.06  0.00  0.00  0.00  0.03  0.00  0.08  0.00
