#
#            Case D.S1       Station=  9
#            X= 101.6 mm      Tunnel Run#= 776   Ue/Uref=   0.800      Date= 616.88  Time=13.42
#            Bias Corrected data using 1/sqrt(U*U + V*V + W*W + (.01Ur)^2)
#
#                                |<---- normalized by 0.001 Ur^2 ----->|  |<-------------- normalized by 0.0001 Ur^3 -------------->|
#LR  Y(mm)  U/Ur   V/Ur   W/Ur    uu     vv     ww     uv     vw     uw     uuu   uvv   uww   vuu   vvv   vww   wuu   wvv   www   uvw
 1  0.00  0.000  0.000  0.000   0.00   0.00   0.00  -0.70  -0.27   0.00   0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1  0.25  0.262  0.002  0.078   7.77   0.64   4.65  -0.76  -0.32   1.13   1.54  0.04  0.88 -0.04  0.05  0.05 -0.24  0.04  0.68 -0.06
 2  0.38  0.300  0.002  0.087   7.79   0.91   4.89  -0.93  -0.28   0.73   1.29  0.04  0.78  0.09 -0.02  0.06 -0.42  0.01  0.55  0.08
 3  0.51  0.324  0.003  0.093   7.54   1.23   4.99  -1.08  -0.28   0.35   1.00 -0.03  0.65  0.16  0.04  0.14 -0.54  0.00  0.27  0.10
 4  0.63  0.346  0.003  0.100   7.08   1.47   5.16  -1.07  -0.25   0.17   0.95 -0.01  0.55  0.15  0.05  0.16 -0.12 -0.02  0.20  0.07
 5  0.76  0.357  0.003  0.100   6.74   1.60   5.17  -1.07  -0.22   0.06   0.63  0.01  0.70  0.17  0.05  0.11 -0.18 -0.02 -0.04  0.11
 6  1.02  0.378  0.003  0.102   6.65   1.90   5.32  -1.14  -0.24  -0.13   0.73  0.02  0.50  0.19  0.06  0.20 -0.18 -0.10 -0.14  0.14
 7  1.27  0.394  0.004  0.106   6.52   2.13   5.29  -1.18  -0.10  -0.33   0.72  0.05  0.54  0.02  0.05  0.18 -0.10 -0.03 -0.18  0.07
 8  1.52  0.403  0.004  0.106   6.39   2.21   5.35  -1.29  -0.08  -0.46   0.78  0.06  0.48  0.01  0.09  0.16  0.14 -0.09 -0.10  0.05
 9  1.78  0.418  0.005  0.104   6.74   2.39   5.45  -1.45   0.00  -0.45   0.47  0.04  0.47  0.09  0.05  0.16  0.06 -0.01  0.13  0.09
10  2.03  0.432  0.005  0.104   6.41   2.51   5.53  -1.43  -0.01  -0.38   0.70  0.09  0.56  0.06  0.01  0.15 -0.02 -0.04 -0.08  0.13
11  2.29  0.440  0.005  0.106   6.62   2.63   5.70  -1.42   0.11  -0.60   0.53  0.06  0.47  0.02  0.07  0.12  0.13 -0.05  0.12  0.10
12  2.54  0.449  0.006  0.105   6.57   2.56   5.80  -1.44   0.06  -0.72   0.57  0.05  0.58  0.04  0.12  0.12 -0.03 -0.10  0.01  0.13
13  2.79  0.458  0.007  0.105   6.71   2.68   5.75  -1.45   0.13  -0.64   0.37  0.06  0.30  0.07  0.05  0.18  0.01  0.01 -0.06  0.12
14  3.30  0.474  0.007  0.104   6.48   2.75   5.82  -1.50   0.27  -0.76   0.23  0.01  0.45  0.13  0.00  0.20  0.04 -0.08  0.00  0.11
15  3.81  0.488  0.008  0.106   6.62   2.91   5.99  -1.52   0.37  -0.88   0.18  0.06  0.33  0.05  0.20  0.11  0.07 -0.16 -0.17  0.17
16  4.32  0.502  0.010  0.105   6.43   2.93   5.91  -1.43   0.42  -1.04   0.30  0.05  0.40  0.18 -0.01  0.19  0.00 -0.05 -0.12  0.12
17  4.83  0.513  0.010  0.104   6.30   2.96   6.19  -1.37   0.51  -1.06   0.27 -0.03  0.23  0.26 -0.05  0.12  0.22 -0.02 -0.07  0.09
18  5.59  0.527  0.013  0.107   6.37   3.10   6.08  -1.40   0.63  -1.00  -0.01 -0.10  0.12  0.45  0.24  0.09 -0.01 -0.12  0.02  0.13
19  6.35  0.539  0.013  0.106   6.13   3.20   6.16  -1.39   0.74  -0.93   0.11  0.04  0.18  0.30  0.03  0.16  0.19  0.02  0.12 -0.01
20  7.11  0.554  0.015  0.107   5.92   3.28   6.12  -1.28   0.96  -1.07   0.16  0.01  0.28  0.15  0.01  0.16  0.07  0.00 -0.12  0.01
21  8.38  0.568  0.018  0.107   5.95   3.49   6.21  -1.30   1.16  -1.10   0.38  0.05  0.15  0.23  0.00  0.18  0.03  0.02  0.06  0.06
