 Filename:   3DC_CFC_02.DAT      

 3D converging nozzle (3Dc)
 Wall shear stress 
 Pitot tube D=1 mm

 Dinamic pressure                 999.98 Pa
 Acquisition time                   3.00 s
 Acquisition frequency            10000. Hz
 Number of samples                 30000
 Barometric pressure               960.1 mbar
 Air temperature (start)            31.8 C   
 Re 1m /10.E6                     2.4987
 Air density (start)              1.1182 kg/m**3 
 Air kin. viscosity (start)  0.17222E-04 m**2/s

 Date            26-JUL-90
 Time            12:49:22

*****************************************************

 y [mm] =     0.00

 x [mm] =     0.00

 temperature   [C] =     31.8

 density [kg/m**3] =  1.09126

 z [mm]   Cf*1000[-] 

-195.000    2.9905
-190.000    3.0126
-185.000    2.9853
-180.000    3.0010
-175.000    3.0194
-170.000    3.0006
-165.000    2.9861
-160.000    2.9969
-155.000    2.9852
-150.000    3.0083
-145.000    2.9944
-140.000    2.9912
-135.000    2.9903
-130.000    2.9962
-125.000    2.9895
-120.000    2.9858
-115.000    3.0042
-110.000    2.9988
-105.000    2.9953
-100.000    2.9866
 -95.000    3.0075
 -90.000    2.9961
 -85.000    3.0096
 -80.000    2.9956
 -75.000    3.0175
 -70.000    3.0140
 -65.000    3.0031
 -60.000    3.0168
 -55.000    3.0064
 -50.000    3.0026
 -45.000    2.9937
 -40.000    2.9837
 -35.000    3.0185
 -30.000    2.9968
 -25.000    2.9778
 -20.000    2.9761
 -15.000    2.9832
 -10.000    3.0087
  -5.000    2.9948
   0.000    3.0017
   5.000    2.9979
  10.000    2.9706
  15.000    2.9584
  20.000    2.9896
  25.000    2.9869
  30.000    2.9723
  35.000    2.9779
  40.000    2.9610
  45.000    2.9704
  50.000    2.9630
  55.000    2.9659
  60.000    2.9965
  65.000    2.9829
  70.000    2.9717
  75.000    2.9711
  80.000    2.9762
  85.000    2.9698
  90.000    2.9738
  95.000    2.9637
 100.000    2.9599
 105.000    2.9803
 110.000    2.9845
 115.000    2.9651
 120.000    2.9710
 125.000    2.9616
 130.000    2.9515
 135.000    2.9670
 140.000    2.9657
 145.000    2.9507
 150.000    2.9514
 155.000    2.9602
 160.000    2.9545
 165.000    2.9873
 170.000    2.9595
 175.000    2.9458
 180.000    2.9680
 185.000    2.9752
 190.000    2.9755
 195.000    2.9645

*****************************************************

 y [mm] =     0.00

 x [mm] =   250.00

 temperature   [C] =     31.9

 density [kg/m**3] =  1.09081

 z [mm]   Cf*1000[-] 

-195.000    2.8112
-190.000    2.8044
-185.000    2.8127
-180.000    2.8388
-175.000    2.8366
-170.000    2.8395
-165.000    2.8445
-160.000    2.8405
-155.000    2.8554
-150.000    2.8434
-145.000    2.8482
-140.000    2.8469
-135.000    2.8724
-130.000    2.8586
-125.000    2.8665
-120.000    2.8423
-115.000    2.8645
-110.000    2.8669
-105.000    2.8920
-100.000    2.8582
 -95.000    2.8677
 -90.000    2.8739
 -85.000    2.8766
 -80.000    2.8799
 -75.000    2.9017
 -70.000    2.9001
 -65.000    2.8814
 -60.000    2.9161
 -55.000    2.8771
 -50.000    2.9050
 -45.000    2.9007
 -40.000    2.8744
 -35.000    2.8823
 -30.000    2.8958
 -25.000    2.8710
 -20.000    2.8849
 -15.000    2.8761
 -10.000    2.8821
  -5.000    2.8733
   0.000    2.8907
   5.000    2.8712
  10.000    2.8691
  15.000    2.8754
  20.000    2.8829
  25.000    2.8801
  30.000    2.8647
  35.000    2.8784
  40.000    2.8710
  45.000    2.8707
  50.000    2.8527
  55.000    2.8834
  60.000    2.8709
  65.000    2.8476
  70.000    2.8741
  75.000    2.8381
  80.000    2.8411
  85.000    2.8381
  90.000    2.8521
  95.000    2.8382
 100.000    2.8203
 105.000    2.8482
 110.000    2.8487
 115.000    2.8484
 120.000    2.8268
 125.000    2.8242
 130.000    2.8344
 135.000    2.8346
 140.000    2.8346
 145.000    2.8065
 150.000    2.7941
 155.000    2.8190
 160.000    2.8061
 165.000    2.8126
 170.000    2.8011
 175.000    2.8170
 180.000    2.8039
 185.000    2.7891
 190.000    2.8049
 195.000    2.7872

*****************************************************

 y [mm] =     0.00

 x [mm] =   500.00

 temperature   [C] =     32.0

 density [kg/m**3] =  1.09044

 z [mm]   Cf*1000[-] 

-195.000    2.5982
-190.000    2.6051
-185.000    2.6109
-180.000    2.6172
-175.000    2.6282
-170.000    2.6420
-165.000    2.6367
-160.000    2.6520
-155.000    2.6656
-150.000    2.6383
-145.000    2.6745
-140.000    2.6691
-135.000    2.6666
-130.000    2.6843
-125.000    2.6973
-120.000    2.6937
-115.000    2.7061
-110.000    2.6973
-105.000    2.7192
-100.000    2.6965
 -95.000    2.7044
 -90.000    2.7260
 -85.000    2.7177
 -80.000    2.7108
 -75.000    2.7182
 -70.000    2.7261
 -65.000    2.7321
 -60.000    2.7529
 -55.000    2.7633
 -50.000    2.7407
 -45.000    2.7193
 -40.000    2.7480
 -35.000    2.7577
 -30.000    2.7467
 -25.000    2.7587
 -20.000    2.7264
 -15.000    2.7548
 -10.000    2.7387
  -5.000    2.7730
   0.000    2.7665
   5.000    2.7531
  10.000    2.7553
  15.000    2.7765
  20.000    2.7785
  25.000    2.7520
  30.000    2.7600
  35.000    2.7434
  40.000    2.7328
  45.000    2.7771
  50.000    2.7802
  55.000    2.7424
  60.000    2.7299
  65.000    2.7230
  70.000    2.7044
  75.000    2.7318
  80.000    2.7267
  85.000    2.7178
  90.000    2.7364
  95.000    2.6912
 100.000    2.6996
 105.000    2.7102
 110.000    2.7217
 115.000    2.7113
 120.000    2.6881
 125.000    2.6962
 130.000    2.6713
 135.000    2.6530
 140.000    2.6620
 145.000    2.6596
 150.000    2.6529
 155.000    2.6625
 160.000    2.6291
 165.000    2.6449
 170.000    2.6475
 175.000    2.6297
 180.000    2.6296
 185.000    2.6224
 190.000    2.5978
 195.000    2.5950

*****************************************************

 y [mm] =     0.00

 x [mm] =   750.00

 temperature   [C] =     32.1

 density [kg/m**3] =  1.08999

 z [mm]   Cf*1000[-] 

-195.000    2.4275
-190.000    2.4221
-185.000    2.4213
-180.000    2.4373
-175.000    2.4576
-170.000    2.4598
-165.000    2.4761
-160.000    2.4443
-155.000    2.4906
-150.000    2.5064
-145.000    2.4781
-140.000    2.4830
-135.000    2.4938
-130.000    2.5097
-125.000    2.5003
-120.000    2.5031
-115.000    2.5011
-110.000    2.5148
-105.000    2.5089
-100.000    2.5130
 -95.000    2.5310
 -90.000    2.5333
 -85.000    2.5418
 -80.000    2.5441
 -75.000    2.5463
 -70.000    2.5498
 -65.000    2.5325
 -60.000    2.5519
 -55.000    2.5579
 -50.000    2.5680
 -45.000    2.5747
 -40.000    2.5419
 -35.000    2.5576
 -30.000    2.5657
 -25.000    2.5642
 -20.000    2.5437
 -15.000    2.5468
 -10.000    2.5975
  -5.000    2.5845
   0.000    2.5602
   5.000    2.5516
  10.000    2.5709
  15.000    2.5660
  20.000    2.5796
  25.000    2.5722
  30.000    2.5567
  35.000    2.5581
  40.000    2.5917
  45.000    2.5961
  50.000    2.5686
  55.000    2.5734
  60.000    2.5494
  65.000    2.5869
  70.000    2.5701
  75.000    2.5467
  80.000    2.5610
  85.000    2.5549
  90.000    2.5628
  95.000    2.5451
 100.000    2.5469
 105.000    2.5358
 110.000    2.5251
 115.000    2.5366
 120.000    2.5097
 125.000    2.5197
 130.000    2.5348
 135.000    2.5198
 140.000    2.5375
 145.000    2.5282
 150.000    2.5071
 155.000    2.5167
 160.000    2.5128
 165.000    2.5145
 170.000    2.5131
 175.000    2.4937
 180.000    2.4895
 185.000    2.4885
 190.000    2.4898
 195.000    2.4876

*****************************************************

 y [mm] =     0.00

 x [mm] =   900.00

 temperature   [C] =     32.3

 density [kg/m**3] =  1.08954

 z [mm]   Cf*1000[-] 

-195.000    2.4909
-190.000    2.4727
-185.000    2.4868
-180.000    2.4729
-175.000    2.4840
-170.000    2.4738
-165.000    2.4583
-160.000    2.4520
-155.000    2.4634
-150.000    2.4597
-145.000    2.4532
-140.000    2.4595
-135.000    2.4532
-130.000    2.4358
-125.000    2.4384
-120.000    2.4473
-115.000    2.4419
-110.000    2.4285
-105.000    2.4320
-100.000    2.4453
 -95.000    2.4106
 -90.000    2.4271
 -85.000    2.4237
 -80.000    2.4531
 -75.000    2.4354
 -70.000    2.4556
 -65.000    2.4570
 -60.000    2.4469
 -55.000    2.4470
 -50.000    2.4645
 -45.000    2.4642
 -40.000    2.4412
 -35.000    2.4578
 -30.000    2.4313
 -25.000    2.4543
 -20.000    2.4542
