 Filename:   3DC_PST_01.DAT      

 3D converging nozzle (3Dc)
 Static pressure 
 Wall pressure taps

 Dinamic pressure                1000.18 Pa
 Acquisition time                   3.00 s
 Acquisition frequency            10000. Hz
 Number of samples                 30000
 Barometric pressure               971.8 mbar
 Air temperature (start)            28.5 C   
 Re 1m /10.E6                     2.5491
 Air density (start)              1.1182 kg/m**3 
 Air kin. viscosity (start)  0.16592E-04 m**2/s

 Date             3-MAY-90
 Time            10:33:59

  x [mm]    z [mm]    Pstat[Pa]  


     0.000  -350.000   80.9764
     0.000  -300.000   78.5750
     0.000  -250.000   77.7286
     0.000  -200.000   74.9805
     0.000  -150.000   71.3505
     0.000  -100.000   70.7400
     0.000   -50.000   70.2802
     0.000     0.000   71.4188
     0.000    50.000   72.2516
     0.000   100.000   73.9781
     0.000   150.000   74.6287
     0.000   200.000   76.8737
     0.000   250.000   80.1004
     0.000   300.000   83.3667
     0.000   350.000   86.6946

    25.000  -350.000   82.7157
    25.000  -300.000   80.3711
    25.000  -250.000   78.0084
    25.000  -200.000   74.5594
    25.000  -150.000   71.4478
    25.000  -100.000   70.4224
    25.000   -50.000   69.4823
    25.000     0.000   70.3828
    25.000    50.000   71.2717
    25.000   100.000   73.3166
    25.000   150.000   74.7380
    25.000   200.000   77.4074
    25.000   250.000   80.2281
    25.000   300.000   84.1483
    25.000   350.000   87.4284

    50.000  -350.000   84.4846
    50.000  -300.000   80.7246
    50.000  -250.000   78.1232
    50.000  -200.000   74.7340
    50.000  -150.000   70.3665
    50.000  -100.000   69.1308
    50.000   -50.000   68.0007
    50.000     0.000   68.9971
    50.000    50.000   70.1795
    50.000   100.000   72.1438
    50.000   150.000   73.8299
    50.000   200.000   77.0629
    50.000   250.000   80.2130
    50.000   300.000   84.7626
    50.000   350.000   88.0800

    75.000  -350.000   86.5946
    75.000  -300.000   82.5429
    75.000  -250.000   78.2406
    75.000  -200.000   74.3249
    75.000  -150.000   69.3271
    75.000  -100.000   68.3029
    75.000   -50.000   67.2501
    75.000     0.000   68.6822
    75.000    50.000   69.8085
    75.000   100.000   72.0021
    75.000   150.000   74.0179
    75.000   200.000   77.8477
    75.000   250.000   81.3543
    75.000   300.000   86.4338
    75.000   350.000   89.6328

   100.000  -350.000   88.3241
   100.000  -300.000   82.4927
   100.000  -250.000   78.6870
   100.000  -200.000   74.3623
   100.000  -150.000   68.8411
   100.000  -100.000   67.0342
   100.000   -50.000   66.1836
   100.000     0.000   66.0432
   100.000    50.000   67.5684
   100.000   100.000   69.7126
   100.000   150.000   71.8478
   100.000   200.000   76.0611
   100.000   250.000   80.1828
   100.000   300.000   86.3012
   100.000   350.000   90.5176

   125.000  -350.000   90.5567
   125.000  -300.000   84.7856
   125.000  -250.000   80.3367
   125.000  -200.000   74.0222
   125.000  -150.000   68.6287
   125.000  -100.000   66.5100
   125.000   -50.000   65.0055
   125.000     0.000   65.6997
   125.000    50.000   67.0891
   125.000   100.000   69.3142
   125.000   150.000   72.0339
   125.000   200.000   76.7098
   125.000   250.000   81.2998
   125.000   300.000   86.9587
   125.000   350.000   92.2261

   150.000  -350.000   93.5387
   150.000  -300.000   86.9863
