 Filename:   3DC_P3S_03.DAT      

 3D converging nozzle (3Dc)
 Mean velocity 
 3-hole probe 

 Dinamic pressure                1000.16 Pa
 Acquisition time                   3.00 s
 Acquisition frequency            10000. Hz
 Number of samples                 30000
 Barometric pressure               960.1 mbar
 Air temperature (start)            30.9 C   
 Re 1m /10.E6                     2.5088
 Air density (start)              1.0953 kg/m**3 
 Air kin. viscosity (start)  0.17034E-04 m**2/s

 Date            21-MAY-90
 Time            15:34:19

*****************************************************

 x [mm] =     0.00

 z [mm] =  -100.00

 temperature   [C] =     31.5

 density [kg/m**3] =  1.09264

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   42.8499    0.3567
  75.000   42.8593    0.3520
  70.000   42.8710    0.3624
  65.000   42.8589    0.3485
  62.000   42.8358    0.3630
  60.000   42.8064    0.3620
  58.000   42.8224    0.3756
  56.000   42.8131    0.3403
  54.000   42.8689    0.3344
  52.000   42.8692    0.3460
  50.000   42.8294    0.3469
  48.000   42.8677    0.3414
  46.000   42.8588    0.3362
  44.000   42.8408    0.3372
  42.000   42.8443    0.3197
  40.000   42.8016    0.3192
  38.000   42.8908    0.3244
  36.000   42.8327    0.3168
  34.000   42.8725    0.3110
  32.000   42.9045    0.3089
  30.000   42.8400    0.3199
  28.000   42.8669    0.3244
  26.000   42.8441    0.3225
  24.000   42.8877    0.3219
  22.000   42.8535    0.3078
  20.000   42.8595    0.3010
  19.000   42.8490    0.2686
  18.000   42.7914    0.2799
  17.000   42.6547    0.2789
  16.000   42.5006    0.2621
  15.000   42.2196    0.2443
  14.000   41.8125    0.2396
  13.000   41.2730    0.2100
  12.000   40.7183    0.1650
  11.000   40.0861    0.1591
  10.000   39.3210    0.1394
   9.000   38.5457    0.1072
   8.000   37.6619    0.1353
   7.000   36.7435    0.0273
   6.000   35.6185    0.1474
   5.000   34.6091    0.0923
   4.500   34.0004    0.0604
   4.000   33.2421    0.1516
   3.500   32.6364    0.1122
   3.000   31.8715    0.0624
   2.500   31.1298    0.0627
   2.000   30.0026    0.1472
   1.500   28.9190    0.1392
   1.000   27.4140    0.1252
   0.800   26.7055    0.0338
   0.650   26.0702    0.0093
   0.500   25.1139    0.1301
   0.350   23.9895    0.2423
   0.250   22.5493    0.2790

*****************************************************

 x [mm] =   250.00

 z [mm] =  -100.00

 temperature   [C] =     32.0

 density [kg/m**3] =  1.09027

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   42.9953    0.8093
  75.000   43.0034    0.6534
  70.000   43.0107    0.6820
  65.000   43.0053    0.6535
  62.000   42.9835    0.6723
  60.000   43.0212    0.6576
  58.000   43.0201    0.6598
  56.000   43.0057    0.6488
  54.000   43.0038    0.6402
  52.000   43.0349    0.6416
  50.000   43.0273    0.6472
  48.000   43.0436    0.6505
  46.000   43.0136    0.6421
  44.000   42.9793    0.6385
  42.000   43.0401    0.6160
  40.000   43.0169    0.6233
  38.000   43.0084    0.6157
  36.000   43.0132    0.6217
  34.000   42.9972    0.6210
  32.000   42.9864    0.6244
  30.000   42.9929    0.6268
  28.000   43.0326    0.6003
  26.000   43.0297    0.6124
  24.000   43.0003    0.5982
  22.000   43.0172    0.5801
  20.000   42.8548    0.5814
  19.000   42.6258    0.5636
  18.000   42.4177    0.5609
  17.000   42.0820    0.5535
  16.000   41.6808    0.5580
  15.000   41.1938    0.5136
  14.000   40.7088    0.5323
  13.000   40.0730    0.5208
  12.000   39.3806    0.5284
  11.000   38.7635    0.5463
  10.000   37.9327    0.5730
   9.000   37.2232    0.5095
   8.000   36.3377    0.5558
   7.000   35.5604    0.5951
   6.000   34.6344    0.6333
   5.000   33.5219    0.7177
   4.500   33.0314    0.6649
   4.000   32.3205    0.7420
   3.500   31.6887    0.7725
   3.000   31.1509    0.6883
   2.500   30.4120    0.7814
   2.000   29.3458    0.9040
   1.500   28.1488    0.9638
   1.000   26.7392    0.8509
   0.800   26.0070    0.8106
   0.650   25.4233    0.8716
   0.500   24.4175    1.0483
   0.350   23.2426    1.0732
   0.250   21.7682    1.0833

*****************************************************

 x [mm] =   500.00

 z [mm] =  -100.00

 temperature   [C] =     32.1

 density [kg/m**3] =  1.08984

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   42.9754    1.7178
  75.000   43.0036    1.6919
  70.000   42.9989    1.7184
  65.000   42.9866    1.7144
  62.000   43.0062    1.7043
  60.000   42.9647    1.7261
  58.000   42.9642    1.7110
  56.000   42.9423    1.7250
  54.000   43.0085    1.7278
  52.000   42.9810    1.7527
  50.000   42.9574    1.7433
  48.000   42.9827    1.7309
  46.000   43.0008    1.7174
  44.000   42.9693    1.7158
  42.000   43.0055    1.6905
  40.000   43.0098    1.7099
  38.000   42.9626    1.7147
  36.000   42.9634    1.7251
  34.000   42.9548    1.7089
  32.000   42.9572    1.7156
  30.000   42.9568    1.6955
  28.000   42.9856    1.6860
  26.000   42.8931    1.6910
  24.000   42.7531    1.6928
  22.000   42.4395    1.6878
  20.000   41.8141    1.7210
  19.000   41.4221    1.7238
  18.000   41.0310    1.7391
  17.000   40.5541    1.7448
  16.000   40.0261    1.8137
  15.000   39.5313    1.8187
  14.000   38.9001    1.9107
  13.000   38.3493    1.9343
  12.000   37.8170    1.9709
  11.000   37.1043    2.0175
  10.000   36.4131    2.0671
   9.000   35.7506    2.1840
   8.000   35.0123    2.2961
   7.000   34.2428    2.3766
   6.000   33.3638    2.5663
   5.000   32.4940    2.5747
   4.500   32.0084    2.5035
   4.000   31.2945    2.7338
   3.500   30.8348    2.8686
   3.000   30.1621    2.9549
   2.500   29.4172    3.0187
   2.000   28.6065    3.1425
   1.500   27.3682    3.1179
   1.000   25.9133    3.1662
   0.800   25.2089    3.4116
   0.650   24.4646    3.4195
   0.500   23.6985    3.4066
   0.350   22.4712    3.4269
   0.250   21.0298    3.3875

*****************************************************

 x [mm] =   750.00

 z [mm] =  -100.00

 temperature   [C] =     32.0

 density [kg/m**3] =  1.09036

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   43.0550    3.2824
  75.000   43.0788    3.2723
  70.000   43.0911    3.2925
  65.000   43.1183    3.2553
  62.000   43.0857    3.2743
  60.000   43.0811    3.2851
  58.000   43.0777    3.2661
  56.000   43.0972    3.2772
  54.000   43.1033    3.2808
  52.000   43.0447    3.2754
  50.000   43.0846    3.2619
  48.000   43.0912    3.2740
  46.000   43.0566    3.2740
  44.000   43.0891    3.2752
  42.000   43.0211    3.3026
  40.000   43.0938    3.2756
  38.000   43.1018    3.2509
  36.000   43.0656    3.2599
  34.000   43.0130    3.2685
  32.000   42.9326    3.2645
  30.000   42.8067    3.2808
  28.000   42.4925    3.3037
  26.000   41.9559    3.3689
  24.000   41.3436    3.4192
  22.000   40.5852    3.5370
  20.000   39.8132    3.6825
  19.000   39.3864    3.7780
  18.000   38.9064    3.8033
  17.000   38.4839    3.9329
  16.000   37.9859    4.0335
  15.000   37.5118    4.0519
  14.000   36.9648    4.2089
  13.000   36.4039    4.3353
  12.000   35.8644    4.5053
  11.000   35.3378    4.6938
  10.000   34.6368    4.8548
   9.000   33.9931    5.0176
   8.000   33.2553    5.3152
   7.000   32.5576    5.4416
   6.000   31.8228    5.5594
   5.000   30.8444    5.8482
   4.500   30.3675    6.0009
   4.000   29.8217    6.1233
   3.500   29.2798    6.2979
   3.000   28.7524    6.4202
   2.500   28.1690    6.4198
   2.000   27.1342    6.5504
   1.500   26.2411    6.5449
   1.000   24.9555    6.7476
   0.800   24.1917    6.7497
   0.650   23.4624    6.8951
   0.500   22.8113    6.7612
   0.350   21.5598    6.6228
   0.250   20.0367    6.5980

*****************************************************

 x [mm] =  1000.00

 z [mm] =  -100.00

 temperature   [C] =     32.3

 density [kg/m**3] =  1.08937

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   43.7364    3.9035
  75.000   43.7340    3.8874
  70.000   43.7532    3.9100
  65.000   43.7501    3.8791
  62.000   43.7674    3.8924
  60.000   43.7115    3.9043
  58.000   43.7181    3.9151
  56.000   43.7296    3.9009
  54.000   43.6909    3.9015
  52.000   43.7205    3.8738
  50.000   43.7203    3.8773
  48.000   43.6780    3.8896
  46.000   43.6685    3.8893
  44.000   43.6495    3.8865
  42.000   43.5938    3.8985
  40.000   43.3690    3.9327
  38.000   43.1403    3.9747
  36.000   42.8058    4.0197
  34.000   42.3536    4.1121
  32.000   41.7874    4.2136
  30.000   41.3106    4.3092
  28.000   40.6577    4.4341
  26.000   39.9748    4.5821
  24.000   39.3089    4.8355
  22.000   38.6016    5.0469
  20.000   37.8621    5.3038
  19.000   37.4188    5.3902
  18.000   37.1443    5.4659
  17.000   36.6835    5.7093
  16.000   36.2229    5.8792
  15.000   35.8560    6.0305
  14.000   35.3641    6.1842
  13.000   34.9315    6.3626
  12.000   34.4378    6.5805
  11.000   33.9234    6.7428
  10.000   33.3559    6.9234
   9.000   32.8172    7.1308
   8.000   32.1174    7.2358
   7.000   31.5008    7.5660
   6.000   30.6234    7.8133
   5.000   29.9881    7.9689
   4.500   29.5047    7.9905
   4.000   29.0501    8.1381
   3.500   28.5116    8.1056
   3.000   28.0538    8.0688
   2.500   27.4505    7.8490
   2.000   26.5010    8.1504
   1.500   25.5353    8.2116
   1.000   24.1594    7.9888
   0.800   23.5368    7.9223
   0.650   23.0726    7.7291
   0.500   22.1578    7.5085
   0.350   21.0746    7.5224
   0.250   19.5091    7.3632

*****************************************************

 x [mm] =  1250.00

 z [mm] =  -100.00

 temperature   [C] =     32.3

 density [kg/m**3] =  1.08919

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   44.2748    2.9026
  75.000   44.2863    2.8696
  70.000   44.2638    2.8665
  65.000   44.2878    2.8365
  62.000   44.2572    2.8408
  60.000   44.2202    2.8593
  58.000   44.2211    2.8746
  56.000   44.1983    2.8616
  54.000   44.1306    2.8591
  52.000   43.9945    2.8726
  50.000   43.7976    2.8968
  48.000   43.5305    2.9308
  46.000   43.2287    2.9634
  44.000   42.8381    2.9797
  42.000   42.4594    3.0259
  40.000   42.0177    3.1327
  38.000   41.5618    3.2153
  36.000   41.0882    3.3228
  34.000   40.5568    3.4652
  32.000   40.0643    3.5827
  30.000   39.5042    3.7807
  28.000   38.9847    3.9425
  26.000   38.4593    4.1007
  24.000   37.8709    4.3789
  22.000   37.2771    4.5495
  20.000   36.6392    4.9007
  19.000   36.3179    4.9757
  18.000   36.0176    5.1564
  17.000   35.6385    5.2472
  16.000   35.3092    5.3549
  15.000   34.9543    5.5196
  14.000   34.5164    5.6803
  13.000   34.1184    5.7702
  12.000   33.5958    5.9019
  11.000   33.1214    5.9590
  10.000   32.6699    6.0036
   9.000   32.1519    6.0968
   8.000   31.6000    6.0818
   7.000   30.8658    6.0024
   6.000   30.1119    6.0872
   5.000   29.3367    5.9138
   4.500   28.9613    5.8466
   4.000   28.5051    5.7197
   3.500   28.0052    5.6035
   3.000   27.3948    5.5002
   2.500   26.6853    5.3146
   2.000   25.9194    5.1553
   1.500   24.9591    4.9183
   1.000   23.7700    4.7175
   0.800   23.0395    4.5958
   0.650   22.5473    4.4141
   0.500   21.7737    4.3608
   0.350   20.5821    4.0056
   0.250   19.0968    4.0303

*****************************************************

 x [mm] =  1500.00

 z [mm] =  -100.00

 temperature   [C] =     32.3

 density [kg/m**3] =  1.08900

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   44.4269    1.5078
  75.000   44.4741    1.4804
  70.000   44.4662    1.4690
  65.000   44.3845    1.4407
