 Filename:   3DC_P3S_02.DAT      

 3D converging nozzle (3Dc)
 Mean velocity 
 3-hole probe 

 Dinamic pressure                 999.71 Pa
 Acquisition time                   3.00 s
 Acquisition frequency            10000. Hz
 Number of samples                 30000
 Barometric pressure               960.9 mbar
 Air temperature (start)            29.9 C   
 Re 1m /10.E6                     2.5192
 Air density (start)              1.0998 kg/m**3 
 Air kin. viscosity (start)  0.16925E-04 m**2/s

 Date            22-MAY-90
 Time            08:04:55

*****************************************************

 x [mm] =     0.00

 z [mm] =  -150.00

 temperature   [C] =     30.0

 density [kg/m**3] =  1.09887

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   42.7190    0.3070
  75.000   42.7587    0.2917
  70.000   42.7552    0.3138
  65.000   42.7508    0.2775
  62.000   42.7562    0.3014
  60.000   42.7076    0.3144
  58.000   42.7630    0.3081
  56.000   42.7351    0.3151
  54.000   42.7685    0.2901
  52.000   42.7284    0.2902
  50.000   42.7824    0.2846
  48.000   42.7624    0.2913
  46.000   42.7889    0.3052
  44.000   42.7565    0.3052
  42.000   42.7723    0.2808
  40.000   42.7638    0.2769
  38.000   42.7164    0.2766
  36.000   42.7400    0.2885
  34.000   42.7151    0.2763
  32.000   42.7838    0.2785
  30.000   42.7641    0.2814
  28.000   42.7331    0.2853
  26.000   42.7392    0.2667
  24.000   42.7423    0.2759
  22.000   42.7664    0.2819
  20.000   42.7167    0.2705
  19.000   42.7777    0.2378
  18.000   42.6820    0.2506
  17.000   42.5433    0.2133
  16.000   42.3949    0.2217
  15.000   42.1125    0.1860
  14.000   41.6839    0.1737
  13.000   41.1995    0.1280
  12.000   40.5853    0.1105
  11.000   39.9901    0.0418
  10.000   39.1894    0.0495
   9.000   38.4458   -0.0021
   8.000   37.5087   -0.0550
   7.000   36.5712   -0.0728
   6.000   35.5622   -0.0556
   5.000   34.3599   -0.0311
   4.500   33.8689   -0.0541
   4.000   33.2554   -0.0680
   3.500   32.5250   -0.0364
   3.000   31.8219   -0.1317
   2.500   30.9585   -0.1637
   2.000   30.0269   -0.0789
   1.500   28.9521   -0.0330
   1.000   27.4383   -0.1095
   0.800   26.7009   -0.1001
   0.650   25.9188   -0.0573
   0.500   25.1784   -0.1301
   0.350   23.9784    0.1444
   0.250   22.4352    0.1204

*****************************************************

 x [mm] =   250.00

 z [mm] =  -150.00

 temperature   [C] =     30.4

 density [kg/m**3] =  1.09716

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   42.8085    0.9297
  75.000   42.7921    0.9133
  70.000   42.8160    0.9305
  65.000   42.7950    0.8811
  62.000   42.7980    0.9197
  60.000   42.7623    0.9242
  58.000   42.7673    0.9252
  56.000   42.7788    0.9237
  54.000   42.8213    0.9034
  52.000   42.7646    0.9148
  50.000   42.7772    0.9047
  48.000   42.7804    0.9194
  46.000   42.7875    0.9233
  44.000   42.7552    0.9099
  42.000   42.7860    0.8925
  40.000   42.7701    0.8806
  38.000   42.7590    0.8799
  36.000   42.7380    0.8852
  34.000   42.7912    0.8886
  32.000   42.8194    0.8830
  30.000   42.8193    0.8786
  28.000   42.7607    0.9020
  26.000   42.7822    0.8892
  24.000   42.7571    0.8830
  22.000   42.7577    0.8717
  20.000   42.5547    0.8723
  19.000   42.3659    0.8418
  18.000   42.1429    0.8516
  17.000   41.8144    0.8195
  16.000   41.4357    0.8073
  15.000   40.9672    0.7894
  14.000   40.3656    0.7849
  13.000   39.7714    0.7898
  12.000   39.1702    0.7889
  11.000   38.5117    0.8097
  10.000   37.7375    0.8367
   9.000   36.9844    0.7825
   8.000   36.1914    0.7889
   7.000   35.4386    0.8372
   6.000   34.3845    0.9457
   5.000   33.4044    0.9874
   4.500   32.8779    1.0402
   4.000   32.2239    0.9553
   3.500   31.6029    1.0058
   3.000   30.9250    1.0727
   2.500   30.2534    1.1902
   2.000   29.2434    1.2845
   1.500   28.0919    1.3084
   1.000   26.6078    1.1960
   0.800   25.8953    1.1956
   0.650   25.1069    1.2637
   0.500   24.3480    1.4668
   0.350   23.1760    1.4494
   0.250   21.8008    1.3791

*****************************************************

 x [mm] =   500.00

 z [mm] =  -150.00

 temperature   [C] =     30.7

 density [kg/m**3] =  1.09594

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   42.5834    2.5247
  75.000   42.6334    2.5013
  70.000   42.6335    2.5080
  65.000   42.6405    2.4826
  62.000   42.6548    2.4929
  60.000   42.6345    2.4876
  58.000   42.6434    2.5022
  56.000   42.6090    2.5261
  54.000   42.5940    2.5339
  52.000   42.6332    2.5337
  50.000   42.6326    2.5267
  48.000   42.6403    2.5166
  46.000   42.5898    2.5329
  44.000   42.6550    2.5058
  42.000   42.5864    2.5214
  40.000   42.5949    2.5087
  38.000   42.6398    2.4913
  36.000   42.6349    2.5120
  34.000   42.6330    2.4983
  32.000   42.5818    2.5280
  30.000   42.5842    2.5305
  28.000   42.5646    2.5366
  26.000   42.5498    2.5183
  24.000   42.3429    2.5252
  22.000   41.9785    2.5146
  20.000   41.3372    2.5660
  19.000   41.0063    2.5510
  18.000   40.6245    2.5859
  17.000   40.1342    2.6071
  16.000   39.6305    2.6975
  15.000   39.0912    2.7065
  14.000   38.6137    2.8067
  13.000   38.0630    2.8416
  12.000   37.3671    2.8884
  11.000   36.7622    2.9686
  10.000   36.1050    3.0906
   9.000   35.2589    3.3180
   8.000   34.5656    3.4443
   7.000   33.8279    3.5034
   6.000   32.9611    3.7325
   5.000   32.0790    3.7552
   4.500   31.4857    3.9100
   4.000   30.9461    3.9907
   3.500   30.2781    4.3429
   3.000   29.7716    4.2848
   2.500   29.0089    4.4846
   2.000   28.0051    4.7157
   1.500   26.9135    4.7263
   1.000   25.6109    4.7823
   0.800   24.8716    4.9729
   0.650   24.1435    4.9953
   0.500   23.4016    4.9869
   0.350   22.3679    4.8658
   0.250   20.9763    4.6711

*****************************************************

 x [mm] =   750.00

 z [mm] =  -150.00

 temperature   [C] =     30.9

 density [kg/m**3] =  1.09518

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   42.8688    4.9769
  75.000   42.8813    4.9487
  70.000   42.9178    4.9767
  65.000   42.8824    4.9449
  62.000   42.9031    4.9607
  60.000   42.8934    4.9486
  58.000   42.8842    4.9636
  56.000   42.8604    4.9551
  54.000   42.8788    4.9267
  52.000   42.8825    4.9362
  50.000   42.8769    4.9250
  48.000   42.8801    4.9349
  46.000   42.8934    4.9380
  44.000   42.9067    4.9392
  42.000   42.8669    4.9425
  40.000   42.9133    4.9401
  38.000   42.9245    4.9200
  36.000   42.8480    4.9498
  34.000   42.8023    4.9706
  32.000   42.7113    4.9980
  30.000   42.5669    5.0028
  28.000   42.2687    5.0232
  26.000   41.7235    5.1183
  24.000   41.1367    5.2306
  22.000   40.3708    5.3932
  20.000   39.6156    5.5548
  19.000   39.1933    5.6809
  18.000   38.7284    5.8529
  17.000   38.2554    5.9836
  16.000   37.7614    6.1702
  15.000   37.3093    6.2359
  14.000   36.7853    6.3399
  13.000   36.2486    6.5950
  12.000   35.6741    6.8804
  11.000   35.1296    7.1231
  10.000   34.4739    7.3944
   9.000   33.8428    7.6847
   8.000   33.1970    7.8609
   7.000   32.3845    8.0495
   6.000   31.6379    8.3550
   5.000   30.8194    8.9999
   4.500   30.3576    9.1114
   4.000   29.9220    9.3048
   3.500   29.2583    9.4243
   3.000   28.7446    9.7288
   2.500   28.0973    9.7517
   2.000   27.1958    9.9471
   1.500   26.2223    9.9294
   1.000   24.8562   10.3052
   0.800   24.2413   10.2319
   0.650   23.6595   10.2147
   0.500   22.7987   10.2962
   0.350   21.6728   10.0149
   0.250   20.1805    9.9641

*****************************************************

 x [mm] =  1000.00

 z [mm] =  -150.00

 temperature   [C] =     31.0

 density [kg/m**3] =  1.09458

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   43.8967    6.0456
  75.000   43.8816    6.0521
  70.000   43.8819    6.0638
  65.000   43.8900    5.9886
  62.000   43.8915    5.9964
  60.000   43.8672    6.0042
  58.000   43.8611    5.9979
  56.000   43.8929    5.9718
  54.000   43.8752    5.9747
  52.000   43.8703    5.9715
  50.000   43.8672    5.9708
  48.000   43.8792    6.0048
  46.000   43.8784    5.9684
  44.000   43.7963    6.0002
  42.000   43.7708    5.9949
  40.000   43.6332    6.0068
  38.000   43.3518    6.0748
  36.000   43.0497    6.1384
  34.000   42.6125    6.2413
  32.000   42.1749    6.4016
  30.000   41.6239    6.5425
  28.000   40.9780    6.7527
  26.000   40.3735    6.9855
  24.000   39.6868    7.2602
  22.000   38.9930    7.5651
  20.000   38.2908    7.9155
  19.000   37.8748    8.1346
  18.000   37.5158    8.2922
  17.000   37.0389    8.5942
  16.000   36.6562    8.8543
  15.000   36.2516    9.0551
  14.000   35.7908    9.3179
  13.000   35.3828    9.5666
  12.000   35.0219    9.7355
  11.000   34.4915   10.0804
  10.000   33.9139   10.5433
   9.000   33.3968   10.8144
   8.000   32.8827   10.9962
   7.000   32.3413   11.2898
   6.000   31.6447   11.5290
   5.000   30.8926   11.8146
   4.500   30.4605   11.8826
   4.000   30.0451   12.0708
   3.500   29.4463   12.0836
   3.000   28.8535   12.0486
   2.500   28.3005   11.9785
   2.000   27.3719   11.9412
   1.500   26.3672   11.8637
   1.000   24.8203   11.7684
   0.800   24.2103   11.7565
   0.650   23.6878   11.4844
   0.500   22.8433   11.6323
   0.350   21.7488   11.1198
   0.250   20.1894   10.9876

*****************************************************

 x [mm] =  1250.00

 z [mm] =  -150.00

 temperature   [C] =     31.2

 density [kg/m**3] =  1.09408

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   44.6138    4.6324
  75.000   44.6233    4.5768
  70.000   44.6425    4.5639
  65.000   44.6382    4.4979
  62.000   44.6841    4.5035
  60.000   44.6438    4.4728
  58.000   44.5996    4.4732
  56.000   44.6031    4.4576
  54.000   44.6365    4.4400
  52.000   44.5101    4.4572
  50.000   44.4098    4.4510
  48.000   44.2537    4.4538
  46.000   44.0718    4.4574
  44.000   43.8398    4.4623
  42.000   43.4733    4.5345
  40.000   43.0148    4.6333
  38.000   42.5998    4.7227
  36.000   42.1649    4.8340
  34.000   41.7421    4.9706
  32.000   41.1736    5.2044
  30.000   40.6838    5.3952
  28.000   40.1328    5.6470
  26.000   39.6902    5.8585
  24.000   39.1673    6.1732
  22.000   38.6021    6.4821
  20.000   38.0624    6.9176
  19.000   37.7040    7.1404
  18.000   37.4734    7.2466
  17.000   37.2026    7.3746
  16.000   36.8379    7.6142
  15.000   36.5735    7.7083
  14.000   36.1377    7.9607
  13.000   35.8181    8.1343
  12.000   35.3900    8.2852
  11.000   35.0281    8.4319
  10.000   34.4892    8.5869
   9.000   33.9448    8.6909
   8.000   33.4663    8.6489
   7.000   32.7924    8.8775
   6.000   31.9393    8.6556
   5.000   31.0869    8.6119
   4.500   30.5325    8.5133
   4.000   29.9934    8.4890
   3.500   29.5072    8.2970
   3.000   28.8130    8.1052
   2.500   28.1683    8.1171
   2.000   27.3278    7.6615
   1.500   26.2388    7.3168
   1.000   24.9454    6.9422
   0.800   24.1230    6.8951
   0.650   23.5975    6.7204
   0.500   22.8081    6.7278
   0.350   21.7039    6.3472
   0.250   20.2271    6.1689

*****************************************************

 x [mm] =  1500.00

 z [mm] =  -150.00

 temperature   [C] =     31.3

 density [kg/m**3] =  1.09358

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   44.5415    2.4655
  75.000   44.5863    2.4170
  70.000   44.5647    2.4077
  65.000   44.5821    2.3548
  62.000   44.5914    2.3755
  60.000   44.5745    2.3240
  58.000   44.5222    2.3162
  56.000   44.4329    2.3031
  54.000   44.4043    2.2480
  52.000   44.2344    2.2208
  50.000   44.0917    2.1997
  48.000   43.7971    2.2161
  46.000   43.5711    2.2193
  44.000   43.1896    2.2613
  42.000   42.8576    2.2932
  40.000   42.5294    2.3617
  38.000   42.1541    2.4590
  36.000   41.7735    2.5289
  34.000   41.3374    2.6909
  32.000   40.9164    2.8304
  30.000   40.4928    3.0089
  28.000   40.0185    3.1805
  26.000   39.5851    3.3814
  24.000   39.1729    3.5566
  22.000   38.6339    3.8521
  20.000   38.2003    4.0341
  19.000   37.9225    4.2719
  18.000   37.6638    4.3736
  17.000   37.3395    4.4265
  16.000   37.1117    4.5647
  15.000   36.7199    4.6469
  14.000   36.3184    4.7627
  13.000   35.9069    4.8460
  12.000   35.4784    4.8945
  11.000   35.0194    4.8460
  10.000   34.3072    4.8752
   9.000   33.6219    4.8480
   8.000   33.0087    4.7804
   7.000   32.2178    4.5297
   6.000   31.3006    4.3234
   5.000   30.6136    3.8395
   4.500   30.1452    3.7242
   4.000   29.3644    3.5926
   3.500   28.8632    3.4617
   3.000   28.3209    3.2340
   2.500   27.6050    2.9470
   2.000   26.5979    2.8195
   1.500   25.7060    2.5805
   1.000   24.3336    2.2695
   0.800   23.5963    2.2072
   0.650   23.2711    2.0574
   0.500   22.3511    2.0111
   0.350   21.2846    2.0183
   0.250   19.9511    2.0413

*****************************************************

 x [mm] =  1750.00

 z [mm] =  -150.00

 temperature   [C] =     31.4

 density [kg/m**3] =  1.09314

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   44.4905    1.1143
  75.000   44.4977    1.0579
  70.000   44.4756    1.0451
  65.000   44.5343    0.9929
  62.000   44.4767    0.9965
  60.000   44.4199    0.9921
  58.000   44.3751    0.9520
  56.000   44.3129    0.9258
  54.000   44.2046    0.9068
  52.000   44.0516    0.8832
  50.000   43.8626    0.8280
  48.000   43.6345    0.8394
  46.000   43.4025    0.8640
  44.000   43.0906    0.8467
  42.000   42.8219    0.8558
  40.000   42.4467    0.9092
  38.000   42.0810    0.9891
  36.000   41.7135    1.0362
  34.000   41.4718    1.1040
  32.000   40.9694    1.1902
  30.000   40.6027    1.3013
  28.000   40.1618    1.3918
  26.000   39.8012    1.5558
  24.000   39.4417    1.7167
  22.000   39.0985    1.8495
  20.000   38.7068    2.0342
  19.000   38.4706    2.1095
  18.000   38.2370    2.2145
  17.000   37.8895    2.2878
  16.000   37.6053    2.4054
  15.000   37.2216    2.4341
  14.000   36.9454    2.4289
  13.000   36.4085    2.4824
  12.000   35.8895    2.4697
  11.000   35.4579    2.5182
  10.000   34.6853    2.5349
   9.000   34.0503    2.3412
   8.000   33.2722    2.3623
   7.000   32.6590    2.2211
   6.000   31.6518    2.0629
   5.000   30.6658    1.9214
   4.500   30.1632    1.8914
   4.000   29.5671    1.6803
   3.500   28.9753    1.6218
   3.000   28.3886    1.4981
   2.500   27.6567    1.5844
   2.000   26.6341    1.4887
   1.500   25.7868    1.1663
   1.000   24.3748    1.0516
   0.800   23.7902    0.9766
   0.650   23.1371    1.0119
   0.500   22.4401    1.0226
   0.350   21.4142    1.0186
   0.250   19.9984    1.1359

*****************************************************

 x [mm] =  2000.00

 z [mm] =  -150.00

 temperature   [C] =     31.4

 density [kg/m**3] =  1.09304

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   44.3360    0.7345
  75.000   44.3712    0.6994
  70.000   44.3512    0.6925
  65.000   44.3354    0.6573
  62.000   44.3328    0.6608
  60.000   44.2630    0.6383
  58.000   44.2819    0.6205
  56.000   44.1323    0.5976
  54.000   43.9891    0.5922
  52.000   43.8910    0.5825
  50.000   43.6722    0.5576
  48.000   43.4852    0.5238
  46.000   43.1781    0.5286
  44.000   42.9675    0.5354
  42.000   42.6107    0.5536
  40.000   42.3364    0.5721
  38.000   42.0545    0.6207
  36.000   41.7191    0.6694
  34.000   41.4164    0.7309
  32.000   41.0683    0.8186
  30.000   40.7516    0.8881
  28.000   40.3752    0.9837
  26.000   40.0550    1.0608
  24.000   39.7134    1.1422
  22.000   39.2638    1.2662
  20.000   38.8669    1.3702
  19.000   38.6230    1.4258
  18.000   38.3879    1.4908
  17.000   38.0039    1.4752
  16.000   37.6691    1.5980
  15.000   37.3409    1.5731
  14.000   36.8392    1.6704
  13.000   36.5533    1.6242
  12.000   36.0087    1.7025
  11.000   35.3635    1.7624
  10.000   34.8964    1.7392
   9.000   34.1482    1.7822
   8.000   33.5671    1.8043
   7.000   32.8811    1.7406
   6.000   32.0693    1.6961
   5.000   31.2198    1.6612
   4.500   30.6235    1.7598
   4.000   30.2837    1.6452
   3.500   29.8269    1.7840
   3.000   29.1698    1.6287
   2.500   28.6227    1.6736
   2.000   27.6470    1.6814
   1.500   26.5262    1.6022
   1.000   25.1595    1.4935
   0.800   24.4602    1.5807
   0.650   23.9025    1.5772
   0.500   23.1762    1.4878
   0.350   22.0482    1.5125
   0.250   20.5847    1.7643

*****************************************************

 x [mm] =  2250.00

 z [mm] =  -150.00

 temperature   [C] =     31.5

 density [kg/m**3] =  1.09261

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   44.3823    0.5588
  75.000   44.3865    0.5300
  70.000   44.3743    0.5343
  65.000   44.3520    0.5049
  62.000   44.3344    0.5126
  60.000   44.3027    0.5068
  58.000   44.2670    0.4716
  56.000   44.1428    0.4463
  54.000   44.0463    0.4422
  52.000   43.9044    0.4188
  50.000   43.7893    0.3963
  48.000   43.5765    0.4024
  46.000   43.3555    0.3881
  44.000   43.0993    0.3875
  42.000   42.8386    0.4053
  40.000   42.5563    0.4447
  38.000   42.2981    0.4407
  36.000   41.9913    0.5188
  34.000   41.6776    0.5330
  32.000   41.3864    0.5986
