 Filename:   3DC_P3S_01.DAT      

 3D converging nozzle (3Dc)
 Mean velocity 
 3-hole probe 

 Dinamic pressure                 999.73 Pa
 Acquisition time                   3.00 s
 Acquisition frequency            10000. Hz
 Number of samples                 30000
 Barometric pressure               967.5 mbar
 Air temperature (start)            27.9 C   
 Re 1m /10.E6                     2.5483
 Air density (start)              1.1147 kg/m**3 
 Air kin. viscosity (start)  0.16620E-04 m**2/s

 Date            20-JUL-90
 Time            09:50:39

*****************************************************

 x [mm] =     0.00

 z [mm] =  -200.00

 temperature   [C] =     28.6

 density [kg/m**3] =  1.11158

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   42.4192    0.3856
  70.000   42.4236    0.3723
  60.000   42.4492    0.4148
  55.000   42.4409    0.4349
  52.000   42.4672    0.3961
  50.000   42.4655    0.3905
  48.000   42.4620    0.3767
  46.000   42.4876    0.3874
  44.000   42.4629    0.3776
  42.000   42.4965    0.3949
  40.000   42.4698    0.3486
  38.000   42.4706    0.3752
  36.000   42.4711    0.3661
  34.000   42.4968    0.3833
  32.000   42.4841    0.3930
  30.000   42.5006    0.3729
  28.000   42.4766    0.3921
  26.000   42.4734    0.3730
  24.000   42.4974    0.3639
  22.000   42.4976    0.3451
  20.000   42.4815    0.3748
  19.000   42.4358    0.3838
  18.000   42.3976    0.3251
  17.000   42.2789    0.3361
  16.000   42.0953    0.2633
  15.000   41.7698    0.2950
  14.000   41.4461    0.2420
  13.000   40.9841    0.2509
  12.000   40.3396    0.1691
  11.000   39.6590    0.1190
  10.000   38.9888    0.0707
   9.000   38.1938    0.0104
   8.000   37.2705   -0.0113
   7.000   36.3832   -0.0505
   6.000   35.3893   -0.0586
   5.000   34.1946   -0.0698
   4.500   33.6344   -0.0840
   4.000   33.0241   -0.0303
   3.500   32.1733   -0.1022
   3.000   31.5529   -0.1288
   2.500   30.6388   -0.0752
   2.000   29.8225    0.0519
   1.500   28.6028    0.0682
   1.000   27.0655   -0.1175
   0.800   26.2079   -0.0200
   0.650   25.5415   -0.0226
   0.500   24.7894    0.1274
   0.350   23.4998    0.0885
   0.250   21.8600    0.3925

*****************************************************

 x [mm] =   250.00

 z [mm] =  -200.00

 temperature   [C] =     30.3

 density [kg/m**3] =  1.10474

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   42.4409    1.1579
  70.000   42.4644    1.1433
  60.000   42.4375    1.1314
  55.000   42.4361    1.1771
  52.000   42.4852    1.1454
  50.000   42.4672    1.1415
  48.000   42.4544    1.1554
  46.000   42.4590    1.1435
  44.000   42.4955    1.1334
  42.000   42.4835    1.1228
  40.000   42.5190    1.0904
  38.000   42.5158    1.0940
  36.000   42.5171    1.1376
  34.000   42.5240    1.1088
  32.000   42.4691    1.1314
  30.000   42.4857    1.1336
  28.000   42.4552    1.1675
  26.000   42.4599    1.1222
  24.000   42.4436    1.1192
  22.000   42.4260    1.1010
  20.000   42.2405    1.0969
  19.000   42.1335    1.1416
