 Filename:   3DC_P3S_04.DAT      

 3D converging nozzle (3Dc)
 Mean velocity 
 3-hole probe 

 Dinamic pressure                 999.69 Pa
 Acquisition time                   3.00 s
 Acquisition frequency            10000. Hz
 Number of samples                 30000
 Barometric pressure               959.4 mbar
 Air temperature (start)            32.1 C   
 Re 1m /10.E6                     2.4947
 Air density (start)              1.0900 kg/m**3 
 Air kin. viscosity (start)  0.17168E-04 m**2/s

 Date            22-MAY-90
 Time            14:25:40

*****************************************************

 x [mm] =     0.00

 z [mm] =     0.00

 temperature   [C] =     32.2

 density [kg/m**3] =  1.08923

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   42.9214    0.1027
  75.000   42.9476    0.0835
  70.000   42.9390    0.0868
  65.000   42.9317    0.0683
  62.000   42.9411    0.0775
  60.000   42.9634    0.0788
  58.000   42.9647    0.0719
  56.000   42.9898    0.0710
  54.000   42.9289    0.0698
  52.000   42.9589    0.0678
  50.000   42.9583    0.0699
  48.000   42.9701    0.0648
  46.000   43.0075    0.0717
  44.000   42.9558    0.0615
  42.000   42.9897    0.0518
  40.000   42.9551    0.0505
  38.000   42.9752    0.0561
  36.000   42.9547    0.0430
  34.000   42.9660    0.0290
  32.000   42.9922    0.0402
  30.000   42.9357    0.0485
  28.000   42.9394    0.0387
  26.000   42.9375    0.0446
  24.000   42.9906    0.0340
  22.000   42.9417    0.0268
  20.000   42.9438    0.0135
  19.000   42.9558   -0.0066
  18.000   42.8567    0.0080
  17.000   42.7880    0.0016
  16.000   42.6553   -0.0038
  15.000   42.3802    0.0000
  14.000   41.9887    0.0125
  13.000   41.5039   -0.0008
  12.000   40.9017    0.0232
  11.000   40.1814    0.0028
  10.000   39.4812    0.0383
   9.000   38.6483    0.0410
   8.000   37.7890    0.0831
   7.000   36.8538    0.0030
   6.000   35.8974    0.0357
   5.000   34.7317    0.0848
   4.500   34.1241    0.1700
   4.000   33.4809    0.1097
   3.500   32.6013    0.1493
   3.000   32.0201    0.0716
   2.500   31.2862    0.0723
   2.000   30.2689    0.1580
   1.500   29.0471    0.2040
   1.000   27.5790    0.1974
   0.800   26.8029    0.1372
   0.650   26.1441    0.0802
   0.500   25.2466    0.1262
   0.350   24.1302    0.2494
   0.250   22.7448    0.3469

*****************************************************

 x [mm] =   250.00

 z [mm] =     0.00

 temperature   [C] =     32.4

 density [kg/m**3] =  1.08810

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   43.1794    0.1567
  75.000   43.1519    0.1521
  70.000   43.1789    0.1479
  65.000   43.1524    0.1405
  62.000   43.2006    0.1405
  60.000   43.1866    0.1409
  58.000   43.1504    0.1272
  56.000   43.1372    0.1388
  54.000   43.1909    0.1326
  52.000   43.1594    0.1359
  50.000   43.1947    0.1272
  48.000   43.2104    0.1211
  46.000   43.2126    0.1201
  44.000   43.2188    0.1170
  42.000   43.2126    0.1189
  40.000   43.1838    0.0971
  38.000   43.1867    0.0944
  36.000   43.1960    0.0866
  34.000   43.2212    0.0986
  32.000   43.1465    0.1031
  30.000   43.1594    0.0913
  28.000   43.1786    0.0877
  26.000   43.1762    0.0817
  24.000   43.1843    0.0765
  22.000   43.1699    0.0638
  20.000   43.0150    0.0621
  19.000   42.8638    0.0584
  18.000   42.6185    0.0565
  17.000   42.3150    0.0516
  16.000   41.9377    0.0434
  15.000   41.4463    0.0548
  14.000   40.9211    0.0591
  13.000   40.3661    0.0442
  12.000   39.6995    0.0532
  11.000   38.9929    0.0659
  10.000   38.3058    0.1104
   9.000   37.6006    0.0574
   8.000   36.7270    0.0655
   7.000   35.6625    0.1164
   6.000   34.8544    0.1212
   5.000   33.7731    0.1667
   4.500   33.2089    0.1954
   4.000   32.6150    0.1691
   3.500   31.9741    0.1963
   3.000   31.2222    0.1848
   2.500   30.5769    0.1251
   2.000   29.5446    0.1761
   1.500   28.4809    0.2458
   1.000   26.9285    0.1579
   0.800   26.1772    0.0914
   0.650   25.6404    0.0599
   0.500   24.7606    0.1592
   0.350   23.4333    0.3486
   0.250   22.0618    0.3831

*****************************************************

 x [mm] =   500.00

 z [mm] =     0.00

 temperature   [C] =     32.5

 density [kg/m**3] =  1.08767

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   43.3229    0.1371
  75.000   43.3116    0.1123
  70.000   43.3067    0.1643
  65.000   43.3373    0.1608
  62.000   43.3391    0.1622
  60.000   43.3029    0.1624
  58.000   43.3340    0.1570
  56.000   43.3390    0.1442
  54.000   43.3141    0.1413
  52.000   43.2981    0.1568
  50.000   43.3384    0.1300
  48.000   43.3558    0.1402
  46.000   43.3409    0.1403
  44.000   43.3630    0.1285
  42.000   43.3119    0.1259
  40.000   43.3331    0.1183
  38.000   43.3203    0.1089
  36.000   43.3459    0.1220
  34.000   43.3219    0.1122
  32.000   43.3313    0.1317
  30.000   43.3071    0.1135
  28.000   43.3122    0.0941
  26.000   43.2376    0.0962
  24.000   43.1244    0.0812
  22.000   42.8151    0.0781
  20.000   42.2389    0.0795
  19.000   41.9340    0.0354
  18.000   41.4177    0.0475
  17.000   41.0122    0.0404
  16.000   40.5293    0.0647
  15.000   39.9172    0.0596
  14.000   39.4704    0.0754
  13.000   38.8329    0.0480
  12.000   38.3115    0.0826
  11.000   37.5826    0.1074
  10.000   36.8694    0.0798
   9.000   36.1815    0.0264
   8.000   35.4932    0.1429
   7.000   34.5834    0.2076
   6.000   33.7061    0.1687
   5.000   32.6342    0.1867
   4.500   32.2199    0.0944
   4.000   31.7881    0.0881
   3.500   31.0818    0.1462
   3.000   30.4394    0.2123
   2.500   29.7259    0.1735
   2.000   28.8311    0.2640
   1.500   27.7020    0.2596
   1.000   26.2820    0.1165
   0.800   25.6003    0.1061
   0.650   24.9567    0.1844
   0.500   24.1835    0.3087
   0.350   22.9132    0.3055
   0.250   21.5918    0.3743

*****************************************************

 x [mm] =   750.00

 z [mm] =     0.00

 temperature   [C] =     32.5

 density [kg/m**3] =  1.08767

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   43.4183   -0.0337
  75.000   43.4355   -0.0114
  70.000   43.4197    0.0174
  65.000   43.4331    0.0104
  62.000   43.4465    0.0391
  60.000   43.4481    0.0462
  58.000   43.4434    0.0624
  56.000   43.4095    0.0712
  54.000   43.4513    0.0618
  52.000   43.3783    0.0717
  50.000   43.4326    0.0563
  48.000   43.4196    0.0612
  46.000   43.4228    0.0419
  44.000   43.4396    0.0295
  42.000   43.4506    0.0267
  40.000   43.4534    0.0314
  38.000   43.4220    0.0361
  36.000   43.4540    0.0290
  34.000   43.4447    0.0343
  32.000   43.3165    0.0374
  30.000   43.2282    0.0187
  28.000   42.9040    0.0175
  26.000   42.4278    0.0043
  24.000   41.8500   -0.0061
  22.000   41.0464   -0.0012
  20.000   40.3382   -0.0194
  19.000   39.9021   -0.0406
  18.000   39.4129   -0.0082
  17.000   38.9103   -0.0063
  16.000   38.4112    0.0131
  15.000   37.9317    0.0117
  14.000   37.4615   -0.0070
  13.000   36.8670   -0.0385
  12.000   36.3232   -0.0253
  11.000   35.7276    0.0183
  10.000   35.0139    0.0661
   9.000   34.4057    0.0490
   8.000   33.8139    0.0355
   7.000   32.9728    0.0519
   6.000   32.2483    0.0183
   5.000   31.2599    0.0191
   4.500   30.8126    0.0407
   4.000   30.4308    0.0592
   3.500   29.8880    0.0586
   3.000   29.1519    0.1586
   2.500   28.5023    0.1402
   2.000   27.6794    0.1372
   1.500   26.7001   -0.0402
   1.000   25.3915    0.1623
   0.800   24.4943    0.1471
   0.650   23.9563    0.1293
   0.500   23.1439    0.1933
   0.350   21.9728    0.2616
   0.250   20.4443    0.2376

*****************************************************

 x [mm] =  1000.00

 z [mm] =     0.00

 temperature   [C] =     32.6

 density [kg/m**3] =  1.08737

 y [mm]   Q  [m/s]  yaw[deg]  

  80.000   43.7201   -0.1339
  75.000   43.7023   -0.1240
  70.000   43.6841   -0.1158
  65.000   43.6945   -0.1322
  62.000   43.7039   -0.1058
  60.000   43.6834   -0.1126
  58.000   43.6670   -0.0916
  56.000   43.7186   -0.0925
  54.000   43.6786   -0.0737
  52.000   43.6882   -0.0775
  50.000   43.7101   -0.0870
  48.000   43.7040   -0.0546
  46.000   43.6675   -0.0344
  44.000   43.6743   -0.0436
  42.000   43.5676   -0.0338
  40.000   43.4245   -0.0354
  38.000   43.1786   -0.0428
  36.000   42.8234   -0.0637
  34.000   42.4126   -0.0805
  32.000   41.8771   -0.0823
  30.000   41.3041   -0.0662
  28.000   40.7009   -0.1032
  26.000   40.0562   -0.0983
  24.000   39.3593   -0.0948
  22.000   38.5989   -0.0962
  20.000   37.8391   -0.0354
  19.000   37.5158   -0.1300
  18.000   37.0587   -0.1274
  17.000   36.6418   -0.1181
  16.000   36.1758   -0.0691
  15.000   35.7880   -0.0696
  14.000   35.2654   -0.0427
  13.000   34.7436   -0.0725
  12.000   34.2202   -0.0738
