%F0251a.pt1  Van den Berg et al. 35 deg. yawed wing
%J. Fluid Mech. vol. 70, p. 127 (1975).
% Columns of normalized values (min. = 0, max = 10000)
% from 1980-81 data library, followed by "true" values.
%Station numbers and x values are different for mean
%flow (this file) and turbulence measurements (pt2):-
%
%Stn. no 2,   3,   4,   6,   8,   10,   12,   14,   16,   18
%x (m) .52, .62, .72, .82, .92, 1.02, 1.12, 1.22, 1.32, 1.42
%___________________________________________________________
%
%
%Station   x(m)   Ue/Uref    Alpha     Cf     Betaw
    2     0.520   1.000     4.000  0.003155   1.5
%Max. and min values for each column:
%        y             U/Ue         W/Ue
%    1.601000E-02 1.003000E+00 1.900000E-02
%    1.500000E-04 3.700000E-01 2.000000E-03
%
%Norm.y U/Ue  W/Ue  True y, m      U/Ue        W/Ue
    0     0  7059  1.5000E-04  3.7000E-01  1.4000E-02
   32  1106  5294  2.0075E-04  4.4001E-01  1.1000E-02
   95  2338  6471  3.0067E-04  5.1800E-01  1.3001E-02
  158  3017  5882  4.0059E-04  5.6098E-01  1.1999E-02
  277  3728  7059  5.8932E-04  6.0598E-01  1.4000E-02
  410  4186  7059  8.0026E-04  6.3497E-01  1.4000E-02
  536  4566  7647  1.0001E-03  6.5903E-01  1.5000E-02
  662  4803  7647  1.1999E-03  6.7403E-01  1.5000E-02
  908  5229  8824  1.5901E-03  7.0100E-01  1.7001E-02
 1166  5703  9412  1.9993E-03  7.3100E-01  1.8000E-02
 1475  6019  8824  2.4894E-03  7.5100E-01  1.7001E-02
 1791  6288  8824  2.9905E-03  7.6803E-01  1.7001E-02
 2112  6667 10000  3.4996E-03  7.9202E-01  1.9000E-02
 2421  6888  8824  3.9897E-03  8.0601E-01  1.7001E-02
 3058  7488  9412  5.0000E-03  8.4399E-01  1.8000E-02
 3689  7994  5882  6.0008E-03  8.7602E-01  1.1999E-02
 4313  8515  6471  6.9904E-03  9.0900E-01  1.3001E-02
 4950  8784  5294  8.0007E-03  9.2603E-01  1.1000E-02
 5580  9115  4706  8.9999E-03  9.4698E-01  1.0000E-02
 6211  9447  2941  1.0001E-02  9.6800E-01  6.9997E-03
 6841  9747   588  1.1000E-02  9.8699E-01  2.9996E-03
 7465  9826  1765  1.1989E-02  9.9199E-01  5.0005E-03
 8102 10000  1176  1.3000E-02  1.0030E+00  3.9992E-03
 8733  9874   588  1.4001E-02  9.9502E-01  2.9996E-03
 9363 10000     0  1.5000E-02  1.0030E+00  2.0000E-03
10000  9889   588  1.6010E-02  9.9597E-01  2.9996E-03
%
%
%Station   x(m)   Ue/Uref    Alpha     Cf     Betaw
   3     0.620   0.996     4.300  0.003200   2.8
%Max. and min values for each column:
%    2.000000E-02 1.007000E+00 2.500000E-02
%    1.500000E-04 3.560000E-01 2.000000E-03
%Norm.y U/Ue  W/Ue  True y, m      U/Ue        W/Ue
    0     0  4348  1.5000E-04  3.5600E-01  1.2000E-02
   25  1029  3913  1.9963E-04  4.2299E-01  1.1000E-02
   76  2227  6522  3.0086E-04  5.0098E-01  1.7001E-02
  126  2857  6522  4.0011E-04  5.4199E-01  1.7001E-02
  227  3502  7826  6.0060E-04  5.8398E-01  2.0000E-02
  327  3978  9130  7.9910E-04  6.1497E-01  2.2999E-02
  428  4240  9130  9.9958E-04  6.3202E-01  2.2999E-02
  524  4547  8696  1.1901E-03  6.5201E-01  2.2001E-02
  736  4992  8261  1.6110E-03  6.8098E-01  2.1000E-02
  932  5346  9130  2.0000E-03  7.0402E-01  2.2999E-02
 1184  5684 10000  2.5002E-03  7.2603E-01  2.5000E-02
 1436  6022  9130  3.0005E-03  7.4803E-01  2.2999E-02
 1693  6329  8261  3.5106E-03  7.6802E-01  2.1000E-02
 1940  6667  8261  4.0009E-03  7.9002E-01  2.1000E-02
 2443  6959  7826  4.9994E-03  8.0903E-01  2.0000E-02
 2947  7573  7391  5.9998E-03  8.4900E-01  1.8999E-02
 3451  7911  5652  7.0002E-03  8.7101E-01  1.5000E-02
 3955  8310  3913  8.0007E-03  8.9698E-01  1.1000E-02
 4458  8602  3913  8.9991E-03  9.1599E-01  1.1000E-02
 4962  9032  4348  9.9996E-03  9.4398E-01  1.2000E-02
 5466  9263  2609  1.1000E-02  9.5902E-01  8.0007E-03
 5970  9555  1304  1.2000E-02  9.7803E-01  4.9992E-03
 6474  9631  1304  1.3001E-02  9.8298E-01  4.9992E-03
 6977  9816  2174  1.3999E-02  9.9502E-01  7.0002E-03
 7481  9754  1304  1.5000E-02  9.9099E-01  4.9992E-03
 7985  9969     0  1.6000E-02  1.0050E+00  2.0000E-03
 8992  9800     0  1.7999E-02  9.9398E-01  2.0000E-03
10000 10000     0  2.0000E-02  1.0070E+00  2.0000E-03
%
%
%Station   x(m)   Ue/Uref    Alpha     Cf     Betaw
   4     0.720   0.996     5.700  0.002895   4.55
%Max. and min values for each column:
%    2.200000E-02 1.004000E+00 4.200000E-02
%    1.500000E-04 3.680000E-01 2.000000E-03
%Norm.y U/Ue  W/Ue  True y, m      U/Ue        W/Ue
    0     0  8000  1.5000E-04  3.6800E-01  3.4000E-02
   23   928  8500  2.0026E-04  4.2702E-01  3.6000E-02
