%F0251a.pt2 Van den Berg et al. 35 deg. yawed wing
%Turbulence data
%Stn. no  1,    5,    7,    9,    11,    13,    15,    17
%x (m) .495, .795, .895, .995, 1.095, 1.195, 1.295, 1.395
%___________________________________________________________
%
%
%Station   x(m)     Ue/Uref    Alfa     Cf     Beta,w
%   1     0.495      1.000     4.00  0.003155   1.50
%Max and min. values for each column
% 2.00000E-02  8.81139E-03  3.72800E-03  4.40161E-03 -%1.00884E-04 -3.00000E-06 -2.51362E-03
% 2.50000E-03  2.50000E-05  2.60000E-05  3.10000E-05  %3.68055E-05  3.65881E-04  0.00000E+00
%Norm.y  u2    v2    w2    vw    uw    uv     y          u2/Qe       v2/Qe       w2/Qe       vw/Qe       uw/Qe       uv/Qe
    0 10000 10000 10000 10000  2189 10000  2.5000E-03  8.8114E-03  3.7280E-03  4.4016E-03 -1.0088E-04  2.8513E-04 -2.5136E-03
  286  9536  9614  9663     0  1716  9620  3.0005E-03  8.4037E-03  3.5851E-03  4.2543E-03  3.6806E-05  3.0258E-04 -2.4181E-03
  571  9187  9076  9333  6159  1685  9323  3.4993E-03  8.0971E-03  3.3859E-03  4.1101E-03 -4.7997E-05  3.0372E-04 -2.3434E-03
  857  8734  8539  9168  5283  2110  8874  3.9998E-03  7.6990E-03  3.1871E-03  4.0380E-03 -3.5936E-05  2.8805E-04 -2.2306E-03
 1429  7657  7685  8061  4951  1531  7944  5.0008E-03  6.7527E-03  2.8710E-03  3.5541E-03 -3.1365E-05  3.0941E-04 -1.9968E-03
 2000  6643  6605  7009  4263  1169  7093  6.0000E-03  5.8618E-03  2.4712E-03  3.0944E-03 -2.1892E-05  3.2276E-04 -1.7829E-03
 2571  5432  5575  5754  3553  2149  5900  6.9993E-03  4.7978E-03  2.0899E-03  2.5458E-03 -1.2116E-05  2.8661E-04 -1.4830E-03
 3143  4341  4498  4563  5392     0  4303  8.0003E-03  3.8392E-03  1.6912E-03  2.0253E-03 -3.7437E-05  3.6588E-04 -1.0816E-03
 3714  3106  3563  3294  5087  2735  2987  8.9995E-03  2.7541E-03  1.3450E-03  1.4707E-03 -3.3237E-05  2.6499E-04 -7.5082E-04
 4286  2032  2507  2215  6286  2104  2084  1.0001E-02  1.8104E-03  9.5409E-04  9.9909E-04 -4.9746E-05  2.8827E-04 -5.2384E-04
 4857  1052  1626  1343  8051  1836  1192  1.1000E-02  9.4933E-04  6.2795E-04  6.1797E-04 -7.4048E-05  2.9815E-04 -2.9962E-04
 5429   401   835   688  5664  6148   425  1.2001E-02  3.7733E-04  3.3512E-04  3.3170E-04 -4.1182E-05  1.3909E-04 -1.0683E-04
 6000   180   467   321  4711  8210   151  1.3000E-02  1.8316E-04  1.9888E-04  1.7130E-04 -2.8060E-05  6.3030E-05 -3.7956E-05
 6571    70   203   121  3328  9322    36  1.3999E-02  8.6505E-05  1.0115E-04  8.3884E-05 -9.0176E-06  2.2010E-05 -9.0490E-06
 7714    19    54    25  2891  9837     0  1.6000E-02  4.1694E-05  4.5991E-05  4.1927E-05 -3.0005E-06  3.0128E-06  0.0000E+00
 8857     6    11     5  2673  9919     0  1.8000E-02  3.0272E-05  3.0072E-05  3.3185E-05  1.0966E-09 -1.2064E-08  0.0000E+00
10000     0     0     0  2673 10000     0  2.0000E-02  2.5000E-05  2.6000E-05  3.1000E-05  1.0966E-09 -3.0000E-06  0.0000E+00
%
%
%Station   x(m)     Ue/Uref    Alfa     Cf     Beta,w
%   5     0.795      0.941     6.80  0.002915   7.63
%Max and min. values for each column
%3.000000E-02 1.193840E-02 4.897000E-03 5.557590E-03 -1.65724E-04 -1.54525E-04 -3.06104E-03
%2.500000E-03 3.300000E-05 3.800000E-05 3.900000E-05 1.819160E-04 1.774670E-04 0.000000E+00
%                                              y          u2/Qe       v2/Qe       w2/Qe       vw/Qe       uw/Qe       uv/Qe
    0 10000 10000 10000 10000  8242  9825  2.5000E-03  1.1938E-02  4.8970E-03  5.5576E-03 -1.6572E-04 -9.6161E-05 -3.0075E-03
  182  9881  9940  9924  6533  8974  9862  3.0005E-03  1.1797E-02  4.8678E-03  5.5156E-03 -4.5197E-05 -1.2046E-04 -3.0188E-03
  545  9603  9821  9823  2712 10000 10000  3.9988E-03  1.1466E-02  4.8100E-03  5.4599E-03  8.7636E-05 -1.5453E-04 -3.0610E-03
 1273  8727  9335  9431  1008  8686  9448  6.0008E-03  1.0423E-02  4.5739E-03  5.2436E-03  1.4687E-04 -1.1090E-04 -2.8921E-03
 2000  7412  8362  8547   478  7786  8274  8.0000E-03  8.8573E-03  4.1011E-03  4.7557E-03  1.6530E-04 -8.1022E-05 -2.5327E-03
 2727  5953  6907  7017     0  6583  6757  9.9993E-03  7.1203E-03  3.3941E-03  3.9114E-03  1.8192E-04 -4.1083E-05 -2.0683E-03
 3455  4455  5355  5242  2125  4207  5194  1.2001E-02  5.3369E-03  2.6400E-03  2.9318E-03  1.0804E-04  3.7798E-05 -1.5899E-03
 4182  3081  3632  3464  3549   937  2955  1.4001E-02  3.7011E-03  1.8028E-03  1.9506E-03  5.8539E-05  1.4636E-04 -9.0454E-04
 4909  1394  2153  1799  4908     0  1686  1.6000E-02  1.6926E-03  1.0841E-03  1.0318E-03  1.1294E-05  1.7747E-04 -5.1609E-04
 5636   456   994   668  4928  2376   373  1.7999E-02  5.7589E-04  5.2098E-04  4.0764E-04  1.0599E-05  9.8586E-05 -1.1418E-04
 6364   123   389   223  5377  4622     0  2.0001E-02  1.7944E-04  2.2702E-04  1.6206E-04 -5.0100E-06  2.4020E-05  0.0000E+00
 7091    37   119    63  5319  5255     0  2.2000E-02  7.7050E-05  9.5822E-05  7.3767E-05 -2.9937E-06  3.0052E-06  0.0000E+00
 7818    14    49    24  5319  5436     0  2.4000E-02  4.9668E-05  6.1809E-05  5.2245E-05 -2.9937E-06 -3.0039E-06  0.0000E+00
 8545     6    23     9  5319  5436     0  2.5999E-02  4.0143E-05  4.9176E-05  4.3967E-05 -2.9937E-06 -3.0039E-06  0.0000E+00
 9273     2     4     2  5233  5436     0  2.8001E-02  3.5381E-05  3.9944E-05  4.0104E-05 -4.0120E-09 -3.0039E-06  0.0000E+00
10000     0     0     0  5233  5436     0  3.0000E-02  3.3000E-05  3.8000E-05  3.9000E-05 -4.0120E-09 -3.0039E-06  0.0000E+00
%
%
%Station   x(m)     Ue/Uref    Alfa     Cf     Beta,w
%   7     0.895      0.906     9.00  0.002396   11.99
%Max and min. values for each column
%4.000000E-02 1.295940E-02 4.968000E-03 6.555600E-03 -2.19483E-04 -8.13863E-04 -3.01835E-03
%2.500000E-03 3.200000E-05 3.200000E-05 4.300000E-05 3.260520E-04 8.814090E-05 -2.00000E-06
%                                              y          u2/Qe       v2/Qe       w2/Qe       vw/Qe       uw/Qe       uv/Qe
    0  9798  9179  9780 10000  7722  9313  2.5000E-03  1.2698E-02  4.5628E-03  6.4123E-03 -2.1948E-04 -6.0839E-04 -2.8111E-03
  133  9890  9246  9788  8392  8554  9763  2.9988E-03  1.2817E-02  4.5958E-03  6.4175E-03 -1.3176E-04 -6.8343E-04 -2.9469E-03
  400 10000  9722 10000  5856  8957  9988  4.0000E-03  1.2959E-02  4.8308E-03  6.5556E-03  6.5867E-06 -7.1978E-04 -3.0147E-03
  933  9890 10000  9918  1633  9271 10000  5.9988E-03  1.2817E-02  4.9680E-03  6.5022E-03  2.3697E-04 -7.4811E-04 -3.0184E-03
