%f0251a.pt3 Van den Berg et al. 35 deg. yawed wing.
%Static pressure coefficient at wall (Cpw) and at y=75mm 
%(Cpe). Measurements at intervals of 0.05m starting from
% x= 0.42m. %Note that Cpe is not in 80/81 data library:
%values are recommended by Dr. van den Berg.
%Max. and min. values of norm. x and cpw
% 1.520000E+00 3.275000E-01
% 4.200000E-01 0.000000E+00
%
%Norm. x, Cpw  Stn.   x(m)          Cpw          Cpe
      0    153     4.2000E-01   5.0108E-03   5.0108E-03
    455     92     4.7000E-01   3.0130E-03   3.0130E-03
    909      0  2  5.2000E-01   0.0000E+00   0.0000E+00
   1364     15     5.7000E-01   4.9125E-04   4.9125E-04
   1818    366  3  6.2000E-01   1.1987E-02   1.1987E-02
   2273   1038     6.7000E-01   3.3995E-02   3.3995E-02
   2727   1908  4  7.2000E-01   6.2487E-02   6.2487E-02
   3182   2870     7.7000E-01   9.3993E-02   9.3993E-02
   3636   3954  6  8.2000E-01   1.2949E-01   1.2949E-01
   4091   4885     8.7000E-01   1.5998E-01   1.5998E-01
   4545   5924  8  9.2000E-01   1.9401E-01   1.9401E-01
   5000   6748     9.7000E-01   2.2100E-01   2.2100E-01
   5455   7557 10  1.0200E+00   2.4749E-01   2.4749E-01
   5909   8168     1.0700E+00   2.6750E-01   2.6750E-01
   6364   8718 12  1.1200E+00   2.8551E-01   2.8551E-01
   6818   9038     1.1700E+00   2.9599E-01   2.9996E-01
   7273   9282 14  1.2200E+00   3.0399E-01   3.1100E-01
   7727   9435     1.2700E+00   3.0900E-01   3.1898E-01
   8182   9603 16  1.3200E+00   3.1450E-01   3.2600E-01
   8636   9679     1.3700E+00   3.1699E-01   3.3350E-01
   9091   9847 18  1.4200E+00   3.2249E-01   3.3420E-01
   9545   9908     1.4700E+00   3.2449E-01
  10000  10000     1.5200E+00   3.2750E-01
